neighborhood_tabulation_area_1,city_buildings_with_high,street_furniture_parking,public_wi_fi_in_nyc_count,number_of_public_schools,empire_city_subway_coverage,mobile_broadband_adoption,supportive_housing_nycdhs,optimal_for_unlicensed,mobile_broadband_adoption_1,commercial_fiber_isp_choice,number_of_nycha_buildings,estimated_number_of_radio,home_broadband_adoption_by,empire_city_subway_coverage_1,home_broadband_adoption,street_mileage,low_income_housing_nycha,street_furniture_bus_stop,nyc_internet_master_plan,percentage_optimal_for,households_receiving_benefits,estimated_number_of_businesses,nyc_internet_master_plan_1,area_sq_mi,field_survey_findings,pole_with_equipment_installed,density_of_poles_reserved
West New Brighton-New Brighton-St. George,High,68,18,12,0.0,0.7168000000000001,0,YES,Low Connected,1.59,5,113.0,Low Connected,,0.6189,53,3184,21,1.08,0.13,882.0,603.0,Medium High,2.01,NONE,33.0,0.66
Washington Heights South,High,120,48,18,0.33,0.8001999999999999,316,YES,Medium Low Connected,2.38,6,17.0,Medium Low Connected,Medium High,0.6704000000000001,46,1685,36,0.32,0.31,1765.0,862.0,Medium Low,0.83,NONE,36.0,1.13
Woodhaven,Low,93,19,6,0.0,0.8336,0,YES,Medium High Connected,1.17,0,191.0,High Connected,,0.7737999999999999,54,0,17,1.52,0.02,484.0,499.0,High,1.33,"Average to high underground interference from existing utilities. 
Average to low make-ready requirements. Of the sample poles surveyed 33% required make-ready, and 0% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines and telecom drop that do not meet proper clearances.",20.0,0.44
Battery Park City-Lower Manhattan,High,155,52,18,1.2,0.938,0,NO,High Connected,4.75,0,56.0,High Connected,High,0.911,41,0,17,0.25,0.03,165.0,1231.0,Low,0.68,NONE,136.0,3.46
Hunts Point,Medium Low,26,3,11,0.14,0.7597,0,YES,Low Connected,1.4,1,69.0,Low Connected,Low,0.5735,56,1391,17,0.1,0.34,661.0,664.0,Low,1.78,"Average underground interference from existing utilities.  
Average to low make-ready requirements. Of the sample poles surveyed 37% required make-ready, and 12% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines, and some locations had power service drops and telecom service drops crossing the roadway without proper clearance.",48.0,1.23
Claremont-Bathgate,Medium High,16,4,30,0.44,0.7736,69,YES,Medium Low Connected,1.69,8,107.0,Low Connected,Medium High,0.5466,27,11717,11,0.13,0.93,1508.0,806.0,Low,0.59,NONE,42.0,1.85
Whitestone,Low,36,1,4,0.0,0.8033,0,YES,Medium High Connected,1.49,0,139.0,Medium High Connected,,0.7648,83,0,11,1.03,0.09,126.0,934.0,Medium High,2.48,NONE,29.0,0.42
Yorkville,High,97,14,6,0.54,0.8791,65,YES,High Connected,3.19,4,42.0,High Connected,High,0.8504,19,2191,29,0.48,0.05,536.0,1696.0,Medium Low,0.49,NONE,26.0,1.47
Grymes Hill-Clifton-Fox Hills,,4,0,3,0.0,0.7693000000000001,0,YES,Low Connected,1.51,0,901.0,Low Connected,,0.6058,32,0,8,0.71,0.23,489.0,673.0,Medium Low,1.35,NONE,22.0,0.72
East Harlem South,High,81,20,33,0.51,0.7720999999999999,54,YES,Medium Low Connected,3.05,25,41.0,Medium Low Connected,High,0.625,30,14463,34,0.27,0.14,1291.0,1067.0,Medium Low,0.6,NONE,36.0,1.67
Charleston-Richmond Valley-Tottenville,Medium Low,1,1,4,0.0,0.7406999999999999,0,YES,Low Connected,1.39,0,174.0,High Connected,,0.7857,83,0,2,0.75,0.04,125.0,640.0,Medium Low,5.23,NONE,34.0,0.42
Washington Heights North,Medium Low,96,25,22,0.38,0.8027,0,YES,Medium High Connected,2.49,0,58.0,Medium High Connected,Medium High,0.7240000000000001,28,0,24,0.29,0.41,741.0,735.0,Medium Low,0.81,NONE,15.0,0.82
Great Kills,Low,25,2,5,0.0,0.809,0,NO,Medium High Connected,1.4,0,246.0,High Connected,,0.7913,79,0,13,1.39,0.0,244.0,665.0,Medium High,3.21,NONE,37.0,0.48
Rugby-Remsen Village,Medium Low,57,1,15,0.0,0.7702,0,YES,Medium Low Connected,1.48,0,130.0,Medium Low Connected,,0.6704000000000001,45,266,20,1.85,0.08,1038.0,873.0,High,1.17,NONE,26.0,0.96
Hollis,Low,17,1,5,0.0,0.8456999999999999,0,YES,High Connected,1.41,0,95.0,Low Connected,,0.5872999999999999,30,140,4,0.55,0.07,238.0,346.0,Medium Low,0.82,NONE,0.0,0.17
Auburndale,Low,28,1,6,0.0,0.7948000000000001,0,YES,Medium Low Connected,1.26,0,170.0,Medium High Connected,,0.7593000000000001,49,0,14,0.68,0.05,98.0,1071.0,Medium Low,1.23,NONE,14.0,0.49
East New York (Pennsylvania Ave),Medium Low,0,0,18,0.0,0.8194,0,YES,Medium High Connected,2.37,2,56.0,Medium Low Connected,,0.625,26,2130,17,0.95,0.2,1366.0,1040.0,Medium High,0.7,NONE,19.0,0.96
Crotona Park East,Medium High,0,0,17,0.17,0.7928000000000001,46,YES,Medium Low Connected,1.45,1,64.0,Low Connected,Low,0.5979,25,682,10,0.09,0.92,723.0,579.0,Low,0.59,NONE,19.0,0.96
Ocean Parkway South,Low,51,0,1,0.0,0.6933,0,YES,Low Connected,1.02,0,100.0,Medium Low Connected,,0.6624,21,0,4,0.77,0.12,170.0,2196.0,Medium Low,0.64,Average to high underground interference from existing utilities.,2.0,0.14
Forest Hills,Low,272,30,11,0.0,0.8151,0,YES,Medium High Connected,1.28,5,48.0,Medium High Connected,,0.7698,67,0,31,3.53,0.35,617.0,2028.0,High,2.07,NONE,27.0,0.63
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,High,122,18,14,0.0,0.7604000000000001,0,YES,Low Connected,1.07,7,86.0,Medium High Connected,,0.7729,80,4710,35,2.45,0.25,711.0,2474.0,High,2.27,NONE,25.0,0.45
Fordham South,Medium Low,57,9,12,0.45,0.8159000000000001,0,YES,Medium High Connected,1.84,1,64.0,Low Connected,Medium High,0.5822999999999999,11,0,8,0.11,0.56,1113.0,885.0,Low,0.23,NONE,24.0,2.27
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,High,141,125,33,0.0,0.8604999999999999,466,YES,High Connected,2.13,10,111.0,High Connected,,0.8073999999999999,53,7360,31,1.73,0.43,795.0,2601.0,High,1.02,NONE,41.0,1.36
Woodlawn-Wakefield,Low,49,3,6,0.19,0.7816,60,YES,Medium Low Connected,1.64,0,40.0,Low Connected,Medium Low,0.591,45,0,11,0.16,0.14,881.0,513.0,Low,1.43,"Average underground interference from existing utilities.  
Low make-ready requirements. Of the sample poles surveyed 36% required make-ready, and 0% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines and spacing issues with current utility attachments in the telecom space.
Additionally, some locations had telecom service drops crossing the roadway without proper clearance. 
Area suitable for fixed wireless.",39.0,1.04
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Low,0,3,9,0.0,0.7893000000000001,0,YES,Medium Low Connected,1.44,0,154.0,High Connected,,0.7741,93,0,10,1.11,0.04,183.0,1389.0,Medium High,6.63,NONE,50.0,0.54
park-cemetery-etc-Bronx,,12,34,0,,0.8264,0,,Medium High Connected,0.5,0,,Medium High Connected,,0.7623000000000001,117,0,20,,,0.0,,,7.92,,15.0,0.22
Homecrest,Medium Low,182,1,3,0.0,0.7656000000000001,0,YES,Low Connected,1.53,0,138.0,Medium High Connected,,0.748,36,0,18,1.52,0.11,433.0,2165.0,High,1.08,NONE,10.0,0.44
Jackson Heights,Medium Low,226,25,9,0.0,0.8367,0,YES,High Connected,1.13,0,62.0,Medium High Connected,,0.7613,62,0,26,3.23,0.31,1753.0,994.0,High,1.72,NONE,17.0,0.84
Douglas Manor-Douglaston-Little Neck,Medium Low,44,2,5,0.0,0.7737,0,YES,Medium Low Connected,1.2,0,63.0,High Connected,,0.8049,91,0,4,0.86,0.03,25.0,393.0,Medium Low,2.45,NONE,8.0,0.09
Elmhurst,High,179,39,11,0.0,0.8344,0,YES,Medium High Connected,1.34,0,55.0,Medium Low Connected,,0.6887000000000001,46,0,21,2.44,0.3,1141.0,1683.0,High,1.17,"Average to High underground interference from existing utilities.  
Average to high make-ready requirements. Of the sample poles surveyed 50% required make-ready, and 33% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines, poles with power attachment removed leaving only the telecom space remaining, and spacing issues with current utility attachments in the telecom space.
Additionally, some locations had power service drops and telecom service drops crossing in the same space without proper clearance between the two.",11.0,0.61
Clinton,High,197,46,21,0.78,0.8534,427,YES,High Connected,4.05,2,24.0,High Connected,High,0.7964,31,648,17,0.34,0.23,796.0,5428.0,Medium Low,0.66,NONE,52.0,1.71
Lower East Side,Medium High,36,7,23,0.38,0.6834,379,YES,Low Connected,2.46,32,32.0,Low Connected,Medium High,0.4775999999999999,45,23974,36,0.37,0.28,2614.0,2480.0,Medium Low,0.84,High underground interference from existing utilities.,89.0,2.0
Prospect Lefferts Gardens-Wingate,Medium Low,84,20,17,0.0,0.7390000000000001,151,YES,Low Connected,1.94,1,109.0,Medium Low Connected,,0.6642,32,333,33,2.35,0.7,1295.0,899.0,High,1.13,NONE,23.0,1.22
Dyker Heights,Medium Low,83,7,5,0.0,0.8019,0,NO,Medium High Connected,1.8,0,149.0,Medium High Connected,,0.7519,35,0,13,1.39,0.0,472.0,1462.0,Medium High,1.07,Average underground interference from existing utilities.,6.0,0.29
University Heights-Morris Heights,Low,17,8,18,0.19,0.8008,259,YES,Medium Low Connected,1.59,5,53.0,Low Connected,Medium Low,0.5884,37,2536,17,0.21,0.66,1723.0,725.0,Low,0.76,NONE,55.0,1.89
Ocean Hill,Medium Low,12,13,15,0.0,0.8491,187,YES,High Connected,1.22,5,144.0,Medium Low Connected,,0.6518,32,4319,15,1.13,0.42,814.0,508.0,Medium High,0.72,NONE,17.0,0.63
Longwood,Medium High,5,4,17,0.33,0.7706999999999999,123,YES,Medium Low Connected,1.8,2,40.0,Medium Low Connected,Medium High,0.6257,15,1262,9,0.11,0.99,850.0,650.0,Low,0.38,NONE,25.0,2.53
New Dorp-Midland Beach,Low,48,23,5,0.0,0.7503,0,NO,Low Connected,1.45,0,152.0,Medium High Connected,,0.7668,53,0,23,0.75,0.0,238.0,1133.0,Medium Low,1.99,NONE,14.0,0.28
Norwood,Medium High,86,11,11,0.31,0.7948000000000001,0,YES,Medium Low Connected,1.83,0,30.0,Medium Low Connected,Medium Low,0.631,21,0,16,0.17,0.86,1362.0,1110.0,Low,0.56,NONE,40.0,2.43
Stuyvesant Heights,Medium Low,23,6,29,0.0,0.8317,140,YES,Medium High Connected,1.26,13,95.0,Medium Low Connected,,0.6545000000000001,41,6544,40,2.24,0.21,1426.0,729.0,High,1.13,NONE,19.0,0.73
East New York,Medium High,29,15,33,0.0,0.8292,110,YES,Medium High Connected,2.11,12,102.0,Medium Low Connected,,0.6988,123,14725,33,2.86,0.17,2842.0,726.0,High,4.2,"Average underground interference from existing utilities.  
Average make-ready requirements. Of the sample poles surveyed 66% required make-ready, and 17% required pole replacement. 
General findings for this area include; boxed utilities in some locations, and spacing issues with current utility attachments in the telecom space.
Additionally, some locations had power service drops and telecom service drops crossing in the same space without proper clearance between the two. 
Area suitable for fixed wireless.",35.0,0.63
Annadale-Huguenot-Prince's Bay-Eltingville,Medium Low,10,5,9,0.0,0.8284999999999999,0,NO,Medium High Connected,1.37,0,109.0,High Connected,,0.7931,101,0,12,0.93,0.0,153.0,870.0,Medium High,5.06,NONE,55.0,0.54
Erasmus,Low,77,12,12,0.0,0.7322,45,YES,Low Connected,1.39,0,245.0,Medium Low Connected,,0.6354,17,0,10,0.97,0.43,532.0,1290.0,Medium High,0.52,NONE,11.0,1.35
Morrisania-Melrose,Medium Low,6,6,23,0.4,0.7757999999999999,256,YES,Medium Low Connected,1.75,7,37.0,Low Connected,Medium High,0.607,24,6299,15,0.15,1.0,1242.0,664.0,Low,0.61,NONE,36.0,1.71
Clinton Hill,Low,51,15,11,0.0,0.856,78,YES,High Connected,1.71,0,149.0,High Connected,,0.7777,27,0,17,1.45,0.61,371.0,1188.0,High,0.74,NONE,16.0,0.81
Richmond Hill,Medium Low,95,29,14,0.0,0.8531,0,NO,High Connected,1.4,0,107.0,Medium High Connected,,0.7495999999999999,61,0,34,1.56,0.001,722.0,741.0,High,1.83,NONE,19.0,0.57
Briarwood-Jamaica Hills,Low,64,2,14,0.0,0.8442000000000001,0,YES,High Connected,1.26,0,191.0,Medium High Connected,,0.7576999999999999,42,0,17,1.31,0.34,326.0,1121.0,Medium High,1.05,Average underground interference from existing utilities.,13.0,0.45
Greenpoint,Low,57,15,5,0.0,0.8599,0,YES,High Connected,1.32,0,81.0,Medium High Connected,,0.7565000000000001,39,0,4,1.5,0.53,288.0,1675.0,High,1.27,NONE,9.0,0.44
Midwood,Medium Low,128,1,7,0.0,0.7336,0,YES,Low Connected,1.58,0,135.0,Medium Low Connected,,0.6731999999999999,38,0,18,1.74,0.3,526.0,1708.0,High,1.28,NONE,16.0,0.55
Baisley Park,Medium Low,0,17,10,0.0,0.8534,0,YES,High Connected,1.24,3,73.0,Low Connected,,0.5861,51,947,13,0.98,0.05,442.0,539.0,Medium High,1.58,NONE,6.0,0.49
Pomonok-Flushing Heights-Hillcrest,Medium Low,34,1,4,0.0,0.774,0,YES,Medium Low Connected,1.38,3,100.0,Medium Low Connected,,0.703,54,4219,33,1.09,0.29,628.0,856.0,Medium High,1.39,NONE,16.0,0.52
Maspeth,Medium Low,53,1,6,0.0,0.8175,0,YES,Medium High Connected,1.18,0,15.0,High Connected,,0.7737999999999999,50,0,16,1.04,0.08,226.0,1261.0,Medium High,1.28,NONE,3.0,0.18
Far Rockaway-Bayswater,Low,36,11,17,0.0,0.7333,0,YES,Low Connected,1.22,2,83.0,Medium Low Connected,,0.6507999999999999,58,1573,9,1.47,0.26,1052.0,524.0,High,1.94,NONE,2.0,0.09
park-cemetery-etc-Manhattan,,18,44,0,,0.0,0,,Low Connected,1.69,0,,Low Connected,,0.0,97,0,8,,,0.0,,,3.28,,60.0,1.07
Cypress Hills-City Line,Medium Low,57,10,16,0.0,0.8631,0,NO,High Connected,2.15,0,140.0,Medium High Connected,,0.7367,39,0,6,1.29,0.02,671.0,923.0,Medium High,0.99,NONE,7.0,0.51
