campaign_id,stat_time_day,country_code,clicks,impressions,spend,conversion,conversion_rate,cost_per_conversion,cpc,cpm,ctr,real_time_conversion,source_relation,_fivetran_synced
1,2025-04-15,US,220,10000,154.6,70,0.318,2.571,0.73,9.8,0.022,65,"",2025-04-21 10:00:00
2,2025-04-16,CA,210,9800,150,65,0.31,2.615,0.72,10,0.021,60,"",2025-04-21 10:00:00
3,2025-04-17,GB,180,9500,138.2,58,0.322,2.759,0.7,9.7,0.019,55,"",2025-04-21 10:00:00
4,2025-04-18,AU,200,9900,145.9,66,0.33,2.727,0.74,10.3,0.02,62,"",2025-04-21 10:00:00
1,2025-04-19,US,230,10000,165.6,72,0.313,2.639,0.76,10.4,0.023,70,"",2025-04-21 10:00:00
2,2025-04-20,CA,195,9700,140,61,0.313,2.623,0.71,9.6,0.02,58,"",2025-04-21 10:00:00
3,2025-04-10,GB,185,9600,135,59,0.319,2.712,0.69,9.8,0.019,56,"",2025-04-21 10:00:00
4,2025-04-11,AU,205,9800,145.9,68,0.332,2.647,0.75,10.1,0.021,64,"",2025-04-21 10:00:00
1,2025-04-12,US,215,9900,150.9,69,0.321,2.623,0.74,10.2,0.022,66,"",2025-04-21 10:00:00
2,2025-04-13,CA,225,10000,160,71,0.316,2.676,0.77,10.5,0.023,68,"",2025-04-21 10:00:00
2,2025-04-13,US,100,5000,100,80,0.254,2.545,0.654,9.54,0.0125,40,"",2025-04-21 10:00:00
