dbn,_01_removals,_11_removals,_02_expulsions,_09_expulsions,administrative_district,_09_superintendent,_09_principal,_06_principal,_05_principal,sy1718_total_removals,_12_removals,_08_principal,_12_superintendent,_06_removals,_05_superintendent,_12_principal,location_category,_07_superintendent,_03_expulsions,_09_removals,_05_removals,_11_principal,_03_superintendent
09X073,R,R,R,R,9,R,R,R,R,8,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X094,26,R,R,R,10,R,R,R,9,115,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M281,R,R,R,R,2,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
12X446,R,R,R,R,12,R,R,R,R,30,R,R,R,R,R,8,High school,R,R,R,R,R,R
10X024,R,R,R,R,10,R,R,R,R,9,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
04M182,R,R,R,R,4,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X391,R,R,R,R,10,R,R,18,R,122,R,19,R,24,R,R,Junior High-Intermediate-Middle,7,R,R,R,R,R
11X249,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R
02M534,R,R,R,R,2,R,7,R,R,38,R,R,R,R,R,R,High school,R,R,R,R,7,R
16K309,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
15K154,R,R,R,R,15,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
03M479,R,R,R,R,3,R,R,R,R,0,R,R,R,R,R,R,High school,R,R,R,R,R,R
03M333,R,R,R,R,3,R,R,R,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R
11X270,R,R,R,R,11,R,56,R,R,137,R,R,R,R,R,R,High school,R,R,R,R,14,R
10X046,7,R,R,R,10,R,R,R,R,27,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
15K032,9,R,R,R,15,R,R,R,R,44,R,R,R,R,R,R,Elementary,R,R,R,10,R,R
04M038,R,R,R,R,4,R,R,R,R,63,R,R,R,R,R,R,Elementary,R,R,R,13,R,R
