location_street_a,ny_state_senate_district,total_population,population_section_8_transition,excluding_park_acres,hud__,community_distirct
SURF AVE,23,989,0,5.5,NY005363,13
E 169TH ST,32,"3,673",0,12.81,NY005362,3
E HOUSTON ST,27,,,0.53,NY005248,3
COLUMBIA ST,27,218,0,1.08,NY005111,3
CLYMER ST,18,"1,791",289,5.33,NY005376,1
E 147TH ST,29,967,0,2.69,NY005080,1
FDR DR,27,"2,408",0,11.73,NY005008,3
W 163RD ST,31,176,0,0.58,NY005284B,12
KNICKERBOCKER AVE,18,543,,6.89,NY005263,4
BLAKE ST,19,907,0,5.72,NY005117,5
AC POWELL BLVD,30,3,0,0.12,NY005359,10
162ND ST,14,156,0,0.5,NY005203,12
THIRD AVE,59,503,0,1.06,NY005063,6
W 156TH ST,31,250,0,1.46,NY005070,12
BOERUM ST,18,971,0,4.22,NY005195,1
E 169TH ST,32,92,,0.44,NY005346,3
DWIGHT ST,26,"4,343",0,33.34,NY005001,6
W 176TH ST,31,60,0,0.2,NY005229,12
FDR DRIVE,29,"1,075",0,3.06,NY005220J,11
W 102ND ST,30,287,0,0.55,NY005244B,7
STILLWELL AVE,23,"3,614",764,33.79,NY005380,13
B 38TH ST,10,"1,454",0,13.31,NY005086,14
BLAKE AVE,25,450,0,2.3,NY005084,16
QUINCY ST,25,140,0,1.61,NY005269,3
LENOX AVE,30,"1,234",190,4.63,NY005375,10
SAINT NICHOLAS AVE,30,253,0,0.62,"NY005076G - BLDG 1, NY005076I - BLDG 2, 3,  NY005076J - BLDG 4",10
ROCKAWAY AVE,25,"1,229",0,5.56,NY005081,16
WATSON AVE,32,165,0,0.69,NY005249,9
WESTCHESTER AVE,32,347,0,3.16,NY005226,2
PROSPECT AVENUE,32,,,0.59,NY005387,3
WESTCHESTER AVE,29,"2,012",0,8.79,NY005049,1
SARATOGA AVE,25,240,0,1.26,NY005067,16
158TH ST,"14, 15",798,0,9.02,NY005004,12
HOWARD AVE,25,394,0,4.54,NY005225,16
71ST AVE,16,"3,887",0,47.83,NY005271C,8
PARK AVE,25,"2,013",0,20.79,NY005220I,3
MANOR RD,24,873,0,12.21,NY005268A,2
MORRIS AVE,29,"2,184",0,11.43,NY005216B,1
WATSON AVE,34,"2,913",0,30.77,NY005022,9
"34TH, 35TH AVES",16,752,0,3.84,NY005093,7
DYCKMAN ST,31,"1,966",0,13.09,NY005183A,12
B 58TH ST,10,"3,729",,32.33,NY005244D,14
PARK AVE,25,"2,486",0,11.98,NY005046,3
BAILEY AVE,31,405,0,2.29,NY005106,7
6 QUEENS,"10, 14",4,0,1.07,NY005199,
589 AMSTERDAM AVE,47,287,0,0.58,NY005056,7
9 QUEENS,"10, 14, 36",15,0,1.11,NY005158,
E 121ST ST,30,183,0,1.46,NY005254,11
W 64TH ST,47,313,48,0.83,NY005366,7
7 QUEENS,"10, 14",10,0,0.8,NY005198,
BROOME ST,27,686,0,2.08,NY005100,3
LEWIS AVE,25,646,0,3.36,NY005083,3
WYTHE AVE,18,"1,186",0,4.2,NY005141,1
W 125TH ST,30,"3,804",0,15.05,NY005030,9
LINDEN BLVD,19,"2,611",852,25.89,NY005369,5
RICHMOND RD,23,864,0,11.74,NY005271B,2
MADISON ST,27,"3,708",0,18.51,NY005220B,3
E 2ND ST,27,116,0,1.23,NY005181A,3
FDR DR,27,"1,143",0,5.94,NY005181D,3
RICHARDS ST,26,732,0,5.63,NY005029,6
E 128TH ST,30,355,0,1.49,NY005173,11
W 20TH ST,23,425,0,2.14,NY005161,13
ANDERSON AVE,29,364,,0.84,NY005312,4
RANDALL AVE,34,"2,396",0,32.83,NY005015,10
