phone,district_indistrict_2,bbl,latitude,district_otherzone_2,census_tract,latepickup,nyceec_current_some,district_2,district_outdistrict,district_outdissibs_2,contact_name,longitude,district_outdistrict_2,meals,programcode3,income_flg,website,magnet
718-624-7520,,3002380007.0,40.695717,,502.0,Contact program for time,,,,,Sally Zarcone,-73.992831,,Contact program,,,imagineelc.com,
718-252-6333,,3064990058.0,40.627087,,46201.0,,,,,,Mrs. Gutfreund,-73.975748,,Breakfast/Lunch/Snack(s),,,,
718-339-2464,x,3066810169.0,40.602084,,41401.0,Contact program for time,,,,x,Antonella Bove,-73.970013,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/21/k215,
718-378-0400,,2037480015.0,40.829767,,68.0,,,,,,Annie Williams,-73.870728,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
718-384-8063,,3023910001.0,40.714785,,551.0,,,,,,Lilliana Minier-Alvarez,-73.963,x,Breakfast/Lunch/Snack(s),,,www.ps84k.org,
718-972-0804,,3056080047.0,40.640918,,112.0,,,,,,Malka Wolner,-73.995817,,Contact program,,,,
718-292-4502,,2022800040.0,40.806351,,25.0,,,,,,Dr. Giovanna Delucchi,-73.921196,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/07/x043,
718-796-9645,,2057010105.0,40.878322,,289.0,,,,,,Alexandra,-73.906556,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/10/x207,
212-876-5522,,1016400139.0,40.797577,,182.0,,,,,,Lorraine Hasty,-73.94128,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/04/m057,
718-514-8724,,3052950047.0,40.641793,,226.0,,x,,,,Basha Teitelbaum,-73.986693,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,yeled.org,
718-284-2184,,3048770052.0,40.65228,,814.0,,,,,,Tashoy Saddler,-73.940122,,Contact program,,May have income or other eligibility requirements. Contact for more information.,fochdaycare.com,
718-493-7736,,3013550023.0,40.674656,,307.0,5:30pm,,,x,,Karena Thompson,-73.927794,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/16/k335,
718-649-7880,,3044770001.0,40.666417,,1116.0,,,,x,,Machael Spencer Edwards,-73.876563,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/19/k202,
718-438-0008,,3008667501.0,40.636101,,104.0,,,,,,Paul Mak,-74.010542,,Contact program,,,,
718-270-6018,,3012890025.0,40.667253,,321.0,,,,,,Kimberly Hodge,-73.952195,,Breakfast/Lunch/Snack(s),,,mec.cuny.edu,
718-861-0759,,2029320001.0,40.835286,,149.0,,,,x,,Carol Otero,-73.900751,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/09/x110,
212-625-1828,,1003090011.0,40.717159,,16.0,6:30pm,,,,,Anna Zhu,-73.990596,,Breakfast/Lunch/Snack(s),,,victoriachildrensgroup.com,
718-252-7777,,3067310001.0,40.619994,,768.0,,,,,,Yitty Tillim,-73.964101,,Contact program,,,ohrshraga.org,
646-459-6032,,1017750001.0,40.80582,,242.0,,,,,,Elisa Diaz,-73.938463,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,www.a-b-c.org,
718-375-9506,x,3066310001.0,40.608604,,424.0,,,,,x,Sue Caleca,-73.974847,x,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/21/k177,
718-292-4742,,2022980001.0,40.808034,,23.0,3:35pm,,,,,Dr. Alison Coviello,-73.926204,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/07/x154,
718-293-2006,,2025170001.0,40.838321,,211.0,,,,,,Debbie Blanco,-73.924537,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,cmcs.org,
212-219-2286,,1004230022.0,40.718647,,18.0,,x,,,,Martha Lee,-73.993586,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,cpc-nyc.org,
718-871-4301,,3054080055.0,40.631512,,478.0,6pm,,,,,Olha Shamilov,-73.977299,,Breakfast/Lunch/Snack(s),,,,
718-549-8580,,2058710547.0,40.908305,,337.0,6pm,,,,,Hugh Keenan,-73.902903,,Breakfast/Lunch,,,smcsriverdale.org,
718-220-4750,,2030840001.0,40.850666,,391.0,,,,,,Elsie A Rosa,-73.886996,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,http://www.cmcs.org/,
718-854-7777,,3056140042.0,40.640388,,112.0,Contact program for time,,,,,Chaya Fischer,-73.996451,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
718-493-1100,,3014280047.0,40.662347,,87401.0,,,,,,Estee Lieblich,-73.938285,,Contact program,,,bnosmenachem.org,
718-583-1511,,2029520014.0,40.840627,,367.0,5:30pm,,,,,Lucia Pineda,-73.891433,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,helpusa.org,
718-364-0085,,2031460072.0,40.856723,,38301.0,,,,,,Ann Keegan,-73.897885,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/10/x209,
718-514-8980,,3053690006.0,40.639418,,486.0,,,,,,Bella Lemmer,-73.978914,,Lunch,,May have income or other eligibility requirements. Contact for more information.,yeled.org,
718-332-8656,,3059890001.0,40.626187,,138.0,Contact program for time,,,,,Vlad Gorny,-74.02632,,Breakfast/Lunch/Snack(s),,,bambidaycare.com,
718-456-5437,,4034810039.0,40.704976,,589.0,,,,,,Michelle Softy,-73.902925,,Breakfast/Lunch/Snack(s),,,thegryc.org,
718-796-0335,,2059200456.0,40.891762,,309.0,,,,,,Linda Herman,-73.912208,,Lunch/Snack(s),,,riverdaletemplens.org,
718-797-9844,,3017510003.0,40.693499,,241.0,,x,,,,Moshe Kohn,-73.954949,,Lunch/Snack(s),,,,
718-860-1630,,2027470001.0,40.822719,,119.0,,,,,,Yokasta Pena,-73.889435,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/08/x075,
718-562-3410,,2032790050.0,40.866931,,40702.0,,,,,,Anna York,-73.884217,,Contact program,,May have income or other eligibility requirements. Contact for more information.,,
718-681-7172,,2028730027.0,40.842943,,21302.0,,,,x,,Lilia Navarrete,-73.920563,,Lunch/Snack(s),,,schools.nyc.gov/schoolportals/09/x199,
