locationname,contact_email,district_1,nyceec_targetlang,uniforms,nyceec_siblings_none,nyceec_services_all,nyceec_targetlang_2,nyceec_targetlang_1,pkc_outdistrict_none,district
Imagine Brooklyn Heights,sally@imagineelc.com,,,Contact program,,x,,,,13
The Cheder,cheder_upk@netzero.net,,x,Contact program,,x,,,,21
P.S. 215 Morris H. Weiss,ABove@schools.nyc.gov,,,Contact program,,,,,,21
Sound Dale Center for ECE,bronxdaledaycare@yahoo.com,,,No,,x,,,,12
P.S. 84 Jose De Diego,lminieralvarez@schools.nyc.gov,x,,No,,,,,,14
Nesivos Bais Yaakov,tgoldstein@nesivosby.com;cwolner@nesivosby.com,,,Contact program,,,,,,15
P.S. 43 Jonas Bronck,GDelucc@schools.nyc.gov,,,Contact program,,,,,,7
P.S. 207,Akravit2@schools.nyc.gov,x,,No,,,,,,10
James Weldon Johnson,LHasty@schools.nyc.gov,x,,Contact program,,,,,,4
Yeled V'Yalda 1257,wgoldberg@yeled.org,,,Contact program,x,,x,,,15
Friends of Crown Heights 4,saddler@foch.biz,,,Yes,,x,,,,18
P.S. 335 Granville T. Woods,kthomps2@schools.nyc.gov,x,,Yes,,,,,,16
P.S. 202 Ernest S. Jenkyns,MSpence6@schools.nyc.gov,x,,Contact program,,,,,,19
Brooklyn Chinese-American Association,future@bca.net,,,Contact program,,x,,,,20
Ella Baker Charles Romain CDC of Medgar Evers,janetm@mec.cuny.edu,,,Contact program,,x,,,,17
P.S. 110 Theodore Schoenfeld,cotero@schools.nyc.gov,x,,Yes,,,,,,9
Victoria Children's Center,Admin@victoriachildrensgroup.com,,x,No,,x,,,,2
Yeshiva Ohr Shraga,generaloffice@ohrshraga.org,,,Contact program,,,,,,21
ABC/Echo Park ECDC,mrooney@a-b-c.org,,x,No,,x,,,,5
P.S. 177 The Marlboro,scaleca@schools.nyc.gov,,,No,,,,,,21
P.S. 154 Jonathan D. Hyatt,acoviello@schools.nyc.gov,,,Yes,,,,,,7
Sacred Heart Head Start,mserrano@cmcs.org,,,Contact program,,x,,,,9
Garment Industry Day Care Center,kwong2@cpc-nyc.org,,,No,x,,,,,2
Sweet Home Day Care Center,dmitriyuspenskiy@hotmail.com,,,No,,x,,,,20
Saint Margaret of Cortona,principal@smcsriverdale.org,,,No,,x,,,,10
St. Martin of Tours Head Start,erosa@cmcs.org,,,No,,x,,,,10
Action Nursery,actionnursery@thejnet.com,,,Contact program,,x,,,,15
Bnos Menachem,office@bnosmenachem.org,,,Contact program,,,,,,17
Help III,lpineda@helpusa.org,,,Yes,,x,,,,12
P.S. 209,AKeegan2@schools.nyc.gov,x,,Contact program,,,,,,10
"Yeled V'Yalda ECC, Inc.",nauerbach@yeled.org,,,Contact program,,,,,,20
Bambi Day Care IV,info@bambiacademy.com,,x,Contact program,,x,,,,20
GRYC Little Stars at Fairview,lstarsprek@thegryc.org,,,No,,x,,,,24
Riverdale Temple Nursery School,nsdirector.rtns@gmail.com,,,No,,x,,,,10
Bnos Square of Williamsburg,mkohn@bnossquare.org,,,No,x,,,,,13
P.S. 75 School of Research and Discovery,ypena5@schools.nyc.gov,x,,No,,,,,,8
"MARC Academy and Family Center, Inc.",Ayork@marcafc.org,,,Contact program,,,,,,10
P.S. 199 The Shakespeare School,lnavarr@schools.nyc.gov,x,,Yes,,,,,,9
Bumble Bees R Us 8,Jacqueline@bumblebeesrus.com,,,No,,x,,,,20
P.S. 160 Walt Disney,kgray6@schools.nyc.gov,x,,Yes,,,,,,11
Brooklyn Arts and Science Elementary School,SBeauvo@schools.nyc.gov,,,Contact program,,,,,,17
"Baybee Lounge Daycare, Inc.",baybeelounge@gmail.com,,,Yes,,x,,,,19
"Boys & Girls Harbor, Inc.",jperalta@theharbor.org,,,No,,x,,,,4
Children's Aid Society Taft Early Childhood Center,beverlyl@childrensaidsociety.org,,,Contact program,,x,,,,4
Clarkson Early Childhood Center,8801cecc@gmail.com,,,Yes,,x,,,,18
East New York Elementary School of Excellence,jhuger@schools.nyc.gov,x,,Yes,,,,,,19
Hudson Guild Children's Center I,emendez@hudsonguild.org,,x,Contact program,,x,,,,2
Addie Mae Collins 2,dspann@addiemaecollins.org,,,Contact program,,x,,,,4
Learning Through Play Pre-K Center at 105 Willis Avenue,crahyne2@schools.nyc.gov,,,Yes,,,,,,7
P.S. 108 Sal Abbracciamento,chahn3@schools.nyc.gov,,,No,,,,,,19
Al Madinah School Site 2,almadinahinfo@gmail.com,,,Yes,,x,,,,20
Castle Bridge School,JZuckerman@schools.nyc.gov,,,Contact program,,,,,,6
P.S. 115 Daniel Mucatel School,lborgese@schools.nyc.gov,x,,Yes,,,,,,18
P.S. 200 Benson School,amancin@schools.nyc.gov,,,Contact program,,,,,,20
P.S. 189,ssuero@schools.nyc.gov,x,,Yes,,,,,,6
Trabajamos Community Head Start,pcordero.trabajamos@gmail.com,,,Contact program,,x,,,,10
Stuyvesant Heights Day Care/New Vision One,stuychurch@optimum.net,,,Yes,,x,,,,13
Tompkins Children's Center,mthompson@bksny.org,,,Contact program,,x,,,,14
Ciditty Kiddie Pre-K,iris7092002@yahoo.com,,,Yes,,x,,,,8
Leggett Memorial,mbarr@unionsettlement.org,,,No,,x,,,,4
Mosaic Pre-K Center at 80-55 Cornish Avenue,jgarcia38@schools.nyc.gov,,,No,,,,,,24
Yeshivat Shaare Torah,gigigoldie@aol.com,,,Contact program,,,,,,15
P.S. 89 Cypress Hills,ARichard@schools.nyc.gov,,,Yes,,,,,,19
P.S. 11 Purvis J. Behan,ahope@schools.nyc.gov,x,,Contact program,,,,,,13
WHEDco Early Childhood Discovery Center,svasconcelos@whedco.org,,,Contact program,,x,,,,9
Bonjour Capital,hehaughton@gmail.com,,,Contact program,,,,,,13
P.S. 110 Florence Nightingale,KFeuer@schools.nyc.gov,,,Contact program,,,,,,1
P.S. 93 William H. Prescott,SPhilip@schools.nyc.gov,x,,Contact program,,,,,,13
Saint John Chrysostom School,b243@adnyeducation.org,,,Yes,,x,,,,12
Manhattan Nursery School,contact@manhattannurseryschool.com,,,No,,x,,,,2
P.S. 397 Foster-Laurie,mcasseu2@schools.nyc.gov,x,,Yes,,,,,,17
P.S. 197 John B. Russwurm,nspann@schools.nyc.gov,x,,Yes,,,,,,5
Citizens Care DCC 3,citizenscare1@gmail.com,,,No,,x,,,,5
Union Carver Early Childhood Program,adonadelle@unionsettlement.org,,,Contact program,,x,,,,4
Lenox Hill Neighborhood House,wjimenez@lenoxhill.org,,,No,,x,,,,2
P.S. 86 Kingsbridge Heights,ftyson@schools.nyc.gov,,,No,,,,,,10
P.S. 129 John H. Finley,opierre@schools.nyc.gov,x,,Yes,,,,,,5
P.S. 84 Lillian Weber,elolis@schools.nyc.gov,,,No,,,,,,3
LSSMNY: Early LIFE Children's Center 11,mwaldman@lssny.org,,x,No,,x,,,,5
P.S. 112 Bronxwood,atucci@schools.nyc.gov,x,,Contact program,,,,,,11
Cornerstone Day Care Center,cornerstone6@optimum.net,,,Contact program,,x,,,,16
Saint Johns Place Family Center Day Care Program,carolyn@stjohnsplace.org,,,Contact program,,x,,,,17
P.S. 192 The Magnet School for Math and Science Inquiry,lisaac@schools.nyc.gov,,,No,,,,,,20
Gan Yisroel,ll@ganyisroel.org,,,Contact program,x,,x,,,20
Smart Start Early Childhood Center,smartstart@verizon.net,,,No,,x,,,,20
P.S. 87 William Sherman,sguirguis@ps87.info,,,No,,,,,,3
P.S./M.S. 29 Melrose School,MGotlin@schools.nyc.gov,,,Contact program,,,,,,7
Hidec,hidec@verizon.net,,,No,,x,,,,21
Saint Brigid School,jdelucia@stbrigidschoolny.com,,,No,,x,,,,1
Birch Family Services,marjory.antoine@birchfamilyservices.org,,,No,,x,,,,18
P.S. 188 Michael E. Berdy,ftudda@schools.nyc.gov,x,,Contact program,,,,,,21
P.S. 310 Marble Hill,ECardon2@schools.nyc.gov,x,,Contact program,,,,,,10
P.S. 19 Asher Levy,jflanagan@schools.nyc.gov,,,Yes,,,,,,1
P.S. 1 Alfred E. Smith,CLau@schools.nyc.gov,x,,No,,,,,,2
P.S. 333 The Museum School,rgerman3@schools.nyc.gov,,,Yes,,,,,,8
B.Above Worldwide Institute - Tomer Devorah,cklein@babove.com,,,Contact program,,x,,,,15
P.S. 328 Phyllis Wheatley,Mdesforges@schools.nyc.gov,x,,No,,,,,,19
Fort George Child Center 1,eguzman@ftgeocenterhs.org,,,Contact program,,x,,,,6
Community Life Center 1,Sharayne.mcneill@clcheadstart.org,,,No,,x,,,,4
P.S. 24,agalan@schools.nyc.gov,,,No,,,,,,15
Stillwell Avenue Prep School,stillwellprep@yahoo.com,,,No,,x,,,,20
"Tabernacle Church of God Day Care Center, Inc.",tabernacledcc1@gmail.com,,,Yes,,x,,,,13
P.S. 5 Dr. Ronald Mcnair,LGates@schools.nyc.gov,x,,Contact program,,,,,,16
New York Center for Child Development,drsroka@aol.com,,,Contact program,,x,,,,5
Highbridge Advisory Council Early Childhood Center #3,jtapia@hacfs.com,,,Yes,,x,,,,9
Salvation Army - Bronx Citadel,novie.walker@use.salvationarmy.org,,,Contact program,,x,,,,7
Hamilton Madison House EarlyLearn Center 4,syenecooper@hmhonlie.org,,,Contact program,,x,,,,2
Saint Clare of Assisi School,theresa.bivona@archny.org,,,No,,x,,,,11
All My Children Daycare UWS,dasbinah@yahoo.com,,,Contact program,,x,,,,3
Brooklyn Chinese American Association - Bay Ridge DCC,bca4202@bca.net,,,No,,x,,,,15
Bais Yaakov D'Chassidei Gur,esmith@thejnet.com,,,No,x,,x,,,21
St. Lucy Early Childhood Academy,minneci@stlucys.org,,,No,,x,,,,11
P.S. 5 Ellen Lurie,lthomas25@schools.nyc.gov,x,,Yes,,,,,,6
P.S. 145 The Bloomingdale School,nrusso10@schools.nyc.gov,x,,Yes,,,,,,3
P.S. 107,khamm2@schools.nyc.gov,,,Yes,,,,,,8
P.S. 54 Samuel C. Barnes,SSmall11@schools.nyc.gov,x,,Yes,,,,,,13
P.S. 36 Unionport,emaresca@schools.nyc.gov,,,Yes,,,,,,8
P.S. 146 Edward Collins,rlauren@schools.nyc.gov,x,,Contact program,,,,,,8
St. Gregory The Great Catholic Academy,sgg991@yahoo.com,,,Yes,,x,,,,17
Beth Jacob of Borough Park,avivahimy@gmail.com,,x,No,,x,,,,20
Rose Hill Pre-K Center at 5500 Broadway,WRodriguez3@schools.nyc.gov,,,Yes,,,,,,10
P.S. 65 Mother Hale Academy,JGonzalez@schools.nyc.gov,,,Contact program,,,,,,7
Brooklyn Explorers Academy,Christine@brooklynexplorersacademy.com,,,No,,,,,,15
West Harlem EarlyLearn,arhwhhs@aol.com,,x,Yes,,x,,,,5
P.S. 770 New American Academy,jsaratovsky@thenewamericanacademy.org,,,Yes,,,,,,17
1199 Future of America Learning Center,bonnie.mallonga@1199ccc.org,,,Yes,,x,,,,10
Traditional Day Care Center,tdcc1112@gmail.com,,x,No,,x,,,,18
United Bronx Parents,canegron@promesa.org,,,Contact program,,x,,,,9
P.S. 199 Frederick Wachtel,RBacarella@schools.nyc.gov,,,Contact program,,,,,,21
P.S. 191 The Riverside School for Makers and Artists,LKevill@schools.nyc.gov,x,,Contact program,,,,,,3
