property_name,ambulatory_surgical_center,estimated_data_flag_fuel_2,hospital_general_medical_13,financial_office_number_of_1,mailing_center_post_office,leed_us_project_id,fuel_oil_4_use_kbtu,property_use_detail_alerts,other_water_sources_combined_1,data_center_pdu_input_site,data_center_it_energy,data_center_it_equipment,hospital_general_medical_3,property_floor_area_building,laboratory_gross_floor_area,energy_star_certification_3,primary_property_type_epa,national_median_energy_star,convenience_store_without,council_district,medical_office_percent_that,zoo_gross_floor_area_ft,movie_theater_gross_floor,office_percent_that_can_be_1,strip_mall_gross_floor_area,estimated_data_flag_natural,water_wastewater_investment,percent_better_than_national_2,restaurant_gross_floor_area,retail_store_percent_that,weather_normalized_site_energy,retail_store_computer_density,electricity_grid_purchase,indirect_ghg_emissions_metric,source_energy_use_kbtu,residence_hall_dormitory,retail_store_cash_register,multifamily_housing_number_1,parent_property_id,multifamily_housing_resident,hospital_general_medical_5,performing_arts_gross_floor,retail_store_worker_density,veterinary_office_gross_floor,site_energy_use_kbtu,water_wastewater_estimated,wholesale_club_supercenter,hotel_gross_floor_area_ft,electricity_use_generated_1,food_sales_gross_floor_area,hospital_general_medical_17,medical_office_number_of
"Plaza 52, LLC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,297836,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,90.6,Not Available,Yes,Not Available,Not Available,6329,Not Available,Not Available,Not Available,0,2396.5,80211793.8,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,29498359.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
230 West 38th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4215458.3,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.,Not Available,Not Available,Not Available,Not Available,Not Available,157059,Not Available,No,Office,50,Not Available,3.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,100,5901020.2,0.32,Not Available,139.1,9626649.4,Not Available,0.16,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,0.48,Not Available,5925467.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
845 Third Avenue,Not Available,Not Available,Not Available,7,Not Available,Not Available,Not Available,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.,Not Available,Not Available,Not Available,Not Available,Not Available,342387,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,100,41296379.3,0.21361,0,3560.1,88374568.5,Not Available,0.26701,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,1.22824,Not Available,41803558.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
250 West 57th,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Not Available,Not Available,Not Available,601586,Not Available,No,Office,50,Not Available,3.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,100,39401525.4,1.84525,0,1993.6,92548830.9,Not Available,0.69992,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,2.1634,Not Available,39957948.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
595 West End Ave,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4351384,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,55190,Not Available,No,Multifamily Housing,50,Not Available,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5690912.5,Not Available,0,107.8,8668316.2,Not Available,Not Available,18,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,5784743.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ATCO - 555 Fifth Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,<b>417021069506007 Jewelry Store</b> has bills that form gaps between dates in the selected timeframe. Please resolve gaps for this meter.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; The meter <b>Data Center -- IT Energy Apply Estimates</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,Not Available,Not Available,Uninterruptible Power Supply (UPS) supports only IT Equipment (preferred),Not Available,Not Available,244534,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,1800,100,Not Available,0.77914,Not Available,Not Available,Not Available,Not Available,0.08348,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,1.58611,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AMBASSADOR APTS INC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,50070,Not Available,No,Multifamily Housing,50,Not Available,24.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,160583.6,Not Available,10684.76196,13.1,505364.9,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,160944.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
200 East 84th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,137469,Not Available,No,Multifamily Housing,50,Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,100,11147817.8,0.2,0,188.8,16584131,Not Available,0.4,90,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,1,Not Available,11182900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
23 ARLO RD OM,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,39667,Not Available,No,Multifamily Housing,50,Not Available,49.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4952432.8,Not Available,0,16.5,5560036.4,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,4891950.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Court Square Place,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; The meter <b>UNFCU Data Center -- IT Energy Apply Estimates</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,Not Available,Not Available,Uninterruptible Power Supply (UPS) supports only IT Equipment (preferred),Not Available,Not Available,275252,Not Available,No,Office,50,Not Available,26.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,Not Available,25063765.5,Not Available,0,1456.6,63784575.1,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,25112188.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
