property_id,address_1,non_refrigerated_warehouse,census_tract,city,other_number_of_computers,hospital_general_medical_6,multifamily_housing_gross,self_storage_facility_gross,percent_better_than_national_1,address_2,college_university_gross,electricity_use_generated_2,senior_care_community_gross,repair_services_vehicle_shoe,data_center_it_site_energy,hotel_room_density_number,water_alerts,egrid_output_emissions_rate,multifamily_housing_government,percent_of_recs_retained,hospital_general_medical_9,multifamily_housing_number_5,lifestyle_center_gross_floor,data_center_ups_system,hotel_gym_fitness_center,energy_cost,energy_cost_intensity_ft,financial_office_gross_floor,weather_normalized_site_eui,estimated_data_flag_fuel_1,estimated_data_flag_fuel,medical_office_percent_that_1,distribution_center_gross,custom_property_id_1_name,hospital_general_medical_7,bowling_alley_gross_floor,multifamily_housing_number_2,municipally_supplied_potable_2,national_median_total_ghg,hotel_worker_density_number,office_number_of_workers,hospital_general_medical,multifamily_housing_percent_1,custom_property_id_1_id,stadium_open_gross_floor,convention_center_gross_floor,retail_store_walk_in,laboratory_number_of_computers,energy_power_station_gross,hotel_percent_that_can_be,library_gross_floor_area,hospital_general_medical_10,number_of_buildings
2387304,44 Gramercy Park North,Not Available,68.0,New York,Not Available,Not Available,93280,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water Meter</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,10,Not Available,Not Available,Not Available,141405.85,1.51592918,Not Available,63.7,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,1017994,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
1772081,1370 Avenue of the Americas,Not Available,104.0,New York,Not Available,Not Available,Not Available,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1566378.72,4.885391,94831,123.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3316.7,Not Available,159.86,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,0
2266601,51-15 Beach Channel Drive,Not Available,97204.0,Far Rockaway,Not Available,4,Not Available,Not Available,Not Available,Peninsula Hospital,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,173,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,0.00801,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,324.48,Not Available,4301900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,164.7,1
2638325,21 East 10th street,Not Available,61.0,New York,Not Available,Not Available,56939,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1032045,Not Available,Not Available,0.5,Not Available,Not Available,Not Available,Not Available,Not Available,1
2606983,400 Rugby Road,Not Available,520.0,Brooklyn,Not Available,Not Available,77478,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,72.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2611600,543-551 West 43rd street,Not Available,129.0,New York,Not Available,Not Available,Not Available,150644,63.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,193043,1.2814519,Not Available,36.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,337.180024,231,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
1567409,550 First Avenue,Not Available,62.0,New York,Not Available,20,Not Available,Not Available,0.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>522 First Ave</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,667,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,203.8,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,0.00045,Not Available,Not Available,Not Available,38411.9,Not Available,Not Available,7099,Not Available,1085694;1081693;1081694;1085695;1081692;1085588;1087297;1088433;1805035,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3315,12
2383947,58 West 58th Street,Not Available,11201.0,New York,Not Available,Not Available,204841,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water Meter</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,12,Not Available,Not Available,Not Available,494130.54,2.41226348,Not Available,133.1,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1035078,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2023135,390 GREENWICH STREET,Not Available,39.0,NEW YORK,Not Available,Not Available,Not Available,Not Available,640,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,359.8,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,3012.9,Not Available,3259.28,Not Available,Not Available,1002813,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2271554,282 Lafayette Ave,Not Available,197.0,Bklyn,Not Available,Not Available,Not Available,Not Available,12.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,562.6,Not Available,Not Available,Not Available,Not Available,3055532,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
