permitid,fullpermitno,axle6weight,permitallowedfrom,axle5space,truckmake,loadwidth,loadweight,endcountyline,axle4space,axle9space,truckstate,permitdate,startcity,permitteecompany
632339,PN4J-2023922-30114,14850.0,2023-09-22T22:00:00.000Z,30.0,PETERBUILT,11.06,64000,,4.06,,PA,2023-09-25T00:00:00.000Z,,Harris Camden Terminal Equipment Co
531347,I55I-202182-20226,,2021-08-02T11:00:00.000Z,,Dodge,8.06,14275,,3.0,,GA,2021-08-03T00:00:00.000Z,Queens,Players In NYC inc
598978,NDC9-20221214-46660,19500.0,2022-12-14T22:00:00.000Z,30.0,MACK,13.08,85973,,4.06,,NJ,2022-12-15T00:00:00.000Z,,Harris Camden Terminal Equipment Co
587475,AEG7-2022929-35916,21438.0,2022-09-29T20:00:00.000Z,5.05,LIEBHERR,9.1,156663,,9.02,,NY,2022-10-02T00:00:00.000Z,BROOKLYN,BAY CRANE SERVICE INC.
639110,E56Q-2023126-36397,,2023-12-06T10:00:00.000Z,10.0,KENWORTH,8.06,12000,OUTERBRIDGE 440,34.0,,NJ,2023-12-08T00:00:00.000Z,QUEENS,Harris Camden Terminal Equipment Co
559742,D82U-2022322-9444,,2022-03-22T05:00:00.000Z,3.0,Ford,8.06,16600,,3.0,,PA,2022-03-23T00:00:00.000Z,BROOKLYN,BRASS TACTICS (APPLE STUDIOS LLC
610170,TG9X-202331-9129,,2023-03-01T10:00:00.000Z,4.06,KENWORTH,8.06,18250,GWB,37.06,,WA,2023-03-03T00:00:00.000Z,,"Smokey Point Distributing, INC."
633024,J3SK-2023929-30747,13807.0,2023-09-29T00:01:00.000Z,18.04,KENWORTH,10.0,95880,,5.0,33.1,NY,2023-10-01T00:00:00.000Z,,BAY CRANE SERVICE INC.
546958,DPAP-2021122-34871,,2021-12-02T03:00:00.000Z,4.06,PETERBILT,8.0,49000,,34.0,,GA,2021-12-03T00:00:00.000Z,FLUSHING,UDS PRODUCTIONS LLC
596349,C6BC-20221130-44313,,2022-11-30T10:00:00.000Z,4.06,FRTL,8.06,10000,GOTHALS BR I 278 NJ,35.0,,IA,2022-12-01T00:00:00.000Z,BROOKLYN,RUAN TRANSPORT CORPORATION
591179,MVY4-20221021-39416,,2022-10-21T10:00:00.000Z,,GMC,1.06,6000,,4.0,,NY,2022-10-25T00:00:00.000Z,Bronx,Consolidated Edison Overhead Bronx Co.
564117,M7M8-2022419-13696,,2022-04-19T02:00:00.000Z,3.0,Ram,8.0,15240,,3.0,,GA,2022-04-20T00:00:00.000Z,Flushing,Whens Lunch LLC
605995,I1CU-202323-5111,5000.0,2023-02-03T22:00:00.000Z,4.05,FREIGHTLINER,8.06,21000,NY NJ LINE @ I95 GWB,39.0,,NJ,2023-02-06T00:00:00.000Z,,HEM
574150,ZK8W-2022627-23142,5000.0,2022-06-27T10:00:00.000Z,5.0,PETERBILT,8.06,20000,NJ @ GOETHALS BRIDGE,30.08,,PA,2022-06-29T00:00:00.000Z,STATEN ISLAND,LESTER R SUMMERS INC
532832,IUB4-2021816-22014,18333.0,2021-08-16T22:00:00.000Z,30.0,FREIGHTLINER,12.0,109250,,4.05,4.05,NJ,2021-08-16T00:00:00.000Z,,MERGER TOWING
602827,UAQ4-2023119-2323,,2023-01-19T10:00:00.000Z,4.06,KENWORTH,9.06,39000,,42.0,,CT,2023-01-20T00:00:00.000Z,,"Augur's Specialized Transport, Llc"
593541,C54X-2022117-41529,,2022-11-07T18:00:00.000Z,,Lone Star,8.05,5500,,,,NY,2022-11-09T00:00:00.000Z,Queens,Planned Parenthood
567289,GRF3-2022511-16870,19200.0,2022-05-11T22:00:00.000Z,4.06,KENWORTH,11.02,64000,,39.02,,NJ,2022-05-12T00:00:00.000Z,,Harris Camden Terminal Equipment Co
540053,UYFE-2021107-28563,5600.0,2021-10-07T00:01:00.000Z,4.0,KW,8.06,20000,WESTCHESTER @ I-95,34.0,,VT,2021-10-09T00:00:00.000Z,,R HULETT TRUCKING LLC
