phone_number,website,priority02,priority03,latitude,expgrade_span_min,bus,year_at_scale,total_students,priority07,campus_name,bbl
718-387-1125,www.elpuente.us,Then to New York City residents,,40.705898,,"B24, B32, B39, B44, B44-SBS, B46, B48, B57, B60, B62, Q54",,245,,,3022070002.0
718-486-2550,www.brooklynprephs.org,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,40.715073,,"B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59",,494,,Harry Van Arsdale Educational Campus,3023300011.0
212-334-4663,http://schools.nyc.gov/SchoolPortals/02/M298,Then to New York City residents,,40.716553,,"B39, BxM18, M103, M14A, M15, M15-SBS, M22, M5, M9, X28",,423,,,1003010003.0
718-861-0521,www.flhfhs.org,Then to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,40.83087,,"Bx11, Bx19, Bx21, Bx27, Bx35, Bx36, Bx4, Bx4A",,470,,,2030130001.0
718-558-9801,www.nychscl.org,Then to New York City residents who attend an information session,Then to Queens students or residents,40.713218,,"Q1, Q17, Q2, Q3, Q31, Q34, Q36, Q43, Q6, Q65, Q76, Q77, Q8, X68",,418,,,4098580100.0
718-776-2815,www.nycacademy.org,Then to New York City residents who attend an information session,Then to Queens students or residents,40.711849,,"Q110, Q17, Q2, Q3, Q76, Q77, X64",,372,,,4104430001.0
718-968-1072,www.btahs.org,Then to New York City residents,,40.633285,,"B103, B47, B6, B82, BM1",,395,,South Shore Educational Campus,3079980005.0
718-420-2100,http://schools.nyc.gov/SchoolPortals/31/R445,Then to New York City residents,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area,40.634573,,"S40, S44, S46, S53, S57, S59, X10",,1628,,,5011210001.0
718-302-5092,http://schools.nyc.gov/SchoolPortals/14/K322,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,40.697152,,"B15, B38, B43, B44, B46, B47, B48, B54, B57",,113,,,3017430018.0
212-749-5800,www.wadleigharts.org,"Then to Districts 3, 5 and 6 students or residents",Then to New York City residents,40.802207,,"M1, M10, M11, M116, M2, M3, M4, M7",,445,,,1018300019.0
718-438-3893,www.uascriminaljustice.org,Priority to continuing 8th graders,Then to Brooklyn students or residents who attend an information session,40.634875,,"B11, B16, B35, B67, B8",,496,,,3053620021.0
212-475-4773,www.essexstreetacademy.org,Then to New York City residents,,40.716778,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",,358,,Seward Park Educational Campus,1004080030.0
718-609-3330,www.actvf.org,Priority to New York City residents,,40.742956,,"B32, B43, B62, Q103, Q99",,515,,,4000060008.0
212-831-5153,http://schools.nyc.gov/SchoolPortals/04/M409,Then to New York City residents,,40.798884,,"Bx15, BxM7, BxM9, M100, M101, M102, M103, M116, M15, M15-SBS, M35, M60-SBS, M98",,283,,,1017970100.0
718-665-4128,www.ichs.weebly.com,,,40.81004,,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",,463,,,2022860036.0
