phone,latitude,community_council,published,brooklyn,anti_discrimination_human_rights,bronx,faith_based_organization,address2,professional_association,nonprofit,other_government_organization,city,:@computed_region_efsh_h5xi,description
2129662786.0,40.705456,1.0,Published,N,N,N,N,,N,Y,N,New York,11726.0,"Established in 1994, the Asian American Business Development Center, Inc. (AABDC) is a 501(c)(3) non-profit organization whose mission is to assist Asian-owned businesses to compete in the mainstream marketplace."
2129296720.0,,,Published,N,Y,N,N,,N,Y,N,New York,,
2128454400.0,40.686816,28.0,Published,N,N,N,N,,N,Y,N,Jamaica,24669.0,Center for AIDS Outreach & Prevention
212594957700.00%,40.750559,4.0,Published,N,N,N,N,2nd Floor,N,Y,N,New York,12080.0,
2123624020.0,40.785838,6.0,Published,Y,N,Y,N,,N,Y,N,New York,12421.0,"Mission Statement

Directions for Our Youth works in the most troubled schools, in the most distressed neighborhoods to help those students most in need. Our goal is to provide leadership and inspiration through workshops, mentors, college visits, the arts and recreation. Directions focuses on community development and youth empowerment. We adhere to the principles of equality, fair play and cooperation. Our work is a part of a tradition begun by the settlement house movement, informed by the civil rights movement and expanded by a commitment to global citizenship.
Directions strives to ensure that young people receive the necessary resources for attaining health, education and information which will enable sound decision-making. Finally, Directions for Our Youth partners with other nonprofit organizations, government agencies, foundations and corporations to extend the reach and impact of our mission."
3478796798.0,40.839569,17.0,Published,N,Y,Y,N,suite 5b,N,Y,N,bronx,11269.0,"A true inclusion intergenerational, interdisciplinary performing arts youth center serving youth with different and traditional abilities improving their literacy through the performing arts....."
2124867745.0,40.758392,5.0,Published,Y,N,Y,N,,Y,Y,N,New York,12419.0,
2126399675.0,,,Published,Y,N,Y,N,,N,N,N,New York,,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming.ï¿½Our central task is administering available City, state, and federal funds to effective community-based organizations.ï¿½Selected organizations must be in touch with the needs of the people they serve, devoted to the highest principles of community service, and committed to sound fiscal management."
7186398370.0,40.747387,25.0,Published,N,N,N,N,,N,Y,N,Jackson Heights,14783.0,"The American Family Community Services was established to provide an Educational services, including English as a Second Language an other Languages, Civic Awareness, and to offer a Social Services Counseling with the mission to increase the functioning and self-sufficient of the individuals, families, youth, and adults population from diverse cultural background to the residents of the New York City, and the New York State area."
2127445022.0,40.766925,5.0,Published,N,N,N,N,,N,Y,N,NEW YORK,12083.0,"Lenox Hill Neighborhood House is the oldest and largest social services and educational organization on the Upper East Side of Manhattan.  Operating out of multiple East Side sites, we are a vibrant community organization and serve 20,000 people in need each year who live, work or go to school on Manhattan's East Side and on Roosevelt Island.  Our constituents include older adults, homeless and formerly homeless adults, children and families, recent immigrants, disabled persons and thousands more.  We have a 114-year history rich in community activism and innovation, addressing systemic problems such as the lack of affordable housing, the needs of an aging population and the inadequacies of the public education system.  Founded in 1894 as a free kindergarten for the children of nearby immigrant factory workers, we remain dedicated to improving the quality of life for all individuals and families in need in our community."
2126399675.0,,,Published,Y,N,Y,N,,N,N,N,New York,,"The Center for Economic Opportunity (CEO) was established by Mayor Bloomberg on December 18, 2006 to implement innovative ways to reduce poverty in New York City. .ï¿½ The CEO works with City agencies to design and implement evidence-based initiatives aimed at poverty reduction, and manages an Innovation Fund through which it provides City agencies annual funding to implement such initiatives. CEO oversees a rigorous evaluation of each program to determine which are successful in demonstrating results towards reducing poverty and increasing self-sufficiency among New Yorkers. The CEO is led by Executive Director Veronica White and reports directly to Deputy Mayor Linda Gibbs. Along with its partner agencies, the Center will continue to put into action the recommendations that have been made by the Commission for Economic Opportunity."
7182302100.0,,,Published,Y,N,N,N,,N,Y,N,Brooklyn,,"As an independent system, separate from the New York City and Queens libraries, Brooklyn Public Library serves the borough's 2.5 million residents, offering thousands of public programs, millions of books and use of more than 850 free Internet-accessible computers. Just some of the many things you can do at BPL:

Use our Articles & Databases to conduct research.
Learn about Brooklyn's rich history at the Brooklyn Collection. 
Get all the information you need to start your own enterprise at the Business Library. 
Learn a new language at the Multilingual Center. 
Attend an author reading, poetry discussion or other public program offered throughout the year. 


And much more. It's free - and it's at your doorstep in one of Brooklyn's 60 public libraries."
2125492668.0,,,Published,N,Y,N,N,,N,Y,N,New York,,
7186515490.0,40.742571,26.0,Published,N,N,N,N,,N,Y,N,Woodside,14787.0,"Services:

ENGLISH AS A SECOND LANGUAGE PROGRAM:

English as a second language (ESL) classes are given in various parishes throughout Queens. Daytime and evening sessions are available for beginning, intermediate,and advanced students.

CITIZENSHIP CLASSES AND EXAMS

Classes in preparation for U.S. citizenship are offered four times per year in February, May, August, and November.  The INS- approved US citizenship test is offered four times per year in March, June, September, and December.

IMMIGRATION LEGAL ASSISTANCE

The legal department offers consultations on any immigration problem.

OCCUPATIONAL TRAINING

Training is offerd in basic computer skills, computer graphics, workplace and residential cleaning and culinary arts.

NEWSLETTER: ""Welcome"""
7185201513.0,40.713686,29.0,Published,N,N,N,N,,N,Y,N,Kew Gardens,24011.0,"Arms Acres Outpatient Clinics are designed to provide a broad range of treatment to clients in need of alcohol or substance abuse counseling. Outpatient services are
flexible in orientation and content, and assist clients in need of chemical dependency treatment."
2129420043.0,40.866001,10.0,Published,N,N,N,N,,N,Y,N,New York,13092.0,"Not for profit community based organizationw with youth programs, adult literacy, prevention, and two licensed clinics: mental health and chemical dependence treatment."
2126399675.0,,,Published,Y,N,Y,N,,N,N,N,New York,,"ACCESS NYC is a free service that identifies and screens for over 30 City, State, and Federal human service benefit programs. You may use this service anonymously or you have the option to create an account.

In addition to screening for a number of benefit programs, you may also use ACCESS NYC to apply online for the School Meals program. For all other programs, you will need to take additional steps outside of ACCESS NYC to apply for benefits. ACCESS NYC will help fill out some of the applications to make the process easier and will provide information on Agency office locations that are near you. Please contact the Agencies directly to complete their applications."
7184511020.0,40.641355,45.0,Published,Y,N,N,N,,Y,Y,N,Brooklyn,16866.0,"TOP DEVELOPMENT CORPORATION
""Working to build the Community for the New Millennium""

TOP Development is a non-profit organization that is committed to assisting individuals and families to improve their lives and strengthen their communities.  

We are committed to implementing programs, providing services and resources that will uplift, empower, motivate and equipped individuals to improve their quality of life.

For further information about our services and or workshop dates please contact us."
,40.840657,18.0,Published,N,N,Y,N,,N,Y,N,Bronx,11271.0,
7185888200.0,40.827412,16.0,Published,N,N,Y,N,,N,Y,N,Bronx,10929.0,"When bestowing the nation’s oldest and most prestigious community award (""All America City"") on the Bronx, the National Civic League acknowledged Mid-Bronx Council for its work in helping to turn their borough into one of the nation’s top ten communities—"
7186806179.0,40.638827,38.0,Published,Y,N,N,N,,N,Y,N,Brooklyn,18180.0,"Our mission is to inspire our youth with the spirit and ideals of good citizenship. Taking advantage of youth energy, enthusiasm and a desire to play ball, we mold and shape their development, encouraging them to become socially, emotionally, physically, and cognitively competent. We train them in the behavior and attitudes necessary for good sportsmanship on and off the field.  The program stresses the development of physical conditioning, teamwork, timelines, preparedness, respect for oneâ€™s self and others, ethnic harmony, improved communication and socialization skills, decision-making, and a healthy respect for rules and fair play."
7188682961.0,,,Published,N,N,N,N,,N,Y,N,Far Rockaway,,"Aside from its special education and regular education school, with an enrollment of 160 children. On Our Way is presently serving an additional 150 children in their homes, play groups, day care centers, and schools, ranging from infancy to 12 years of a"
2127419110.0,40.73273,3.0,Published,Y,N,Y,N,,N,Y,N,New York,12077.0,"The organization is fully committed to the spiritual, cultural, educational, economic and social empowerment of African Ancestral women. It is dedicated to advocate for women's rights through a redefined philosophy and holistic objectives that use workshops with open discussions to empower and achieve the organization's mission."
2129472915.0,,,Published,N,Y,N,N,,N,Y,N,New York,,"We research, explore, and educate the public about the scope and prevalence of gender-based censorship, and work to have this problem redefined as a human rights abuse that violates the right to free expression of more than half the world's population."
2128327605.0,40.764111,4.0,Published,N,N,N,N,,N,Y,N,New York,10090.0,"For over 100 years, Grace Institute has provided tuition-free, practical job training in a supportive learning community for underserved New York area women of all ages and from many different backgrounds. In the tradition of its founding family, Grace is dedicated to the development of the personal and business skills necessary for self-sufficiency, employability and an improved quality of life."
7188336633.0,40.636916,43.0,Published,Y,N,N,N,,N,Y,N,Brooklyn,18180.0,
2126399675.0,,,Published,Y,N,Y,N,,N,N,N,New York,,"Mayor Bloomberg and Schools Chancellor Klein launched Children First, a new vision for New York City public schools, in 2003. Through Children First, the Mayor and Chancellor sought to fundamentally transform the school system they inherited in 2002 when the State Legislature granted the Mayor control of the school system. They aimed to transform a system that had allowed generations of students to leave school without the skills and knowledge they needed to succeed, turning it into a system of 1,400-plus excellent schools, capable of helping the Cityï¿½s 1.1 million school children learn the skills and receive the support they deserve and need to succeed. Mayor Bloomberg and Chancellor Klein believe education reform requires a comprehensive and integrated plan, involving changes in strategy, leadership, management, people, and programming. Three inter-related principles are the driving forces behind the Children First reforms: leadership, empowerment, and accountability. Schools need strong leaders who are empowered to make decisions and who are accountable for results."
7183684619.0,,,Published,Y,N,N,N,,N,Y,N,Brooklyn,,"See ""Small Business Development Center, Baruch College"""
7185336459.0,40.746817,3.0,Published,N,N,N,N,,N,Y,N,New York,11722.0,
9173613116.0,,,Published,Y,N,N,N,,N,Y,N,Brooklyn,,"SHALOM 2 YOU was founded in 2006 to provide health education, prevention and support services for African-American women 50+ infected/affected with HIV/AIDS. Substance abuse prevention/recovery, diabetes, breast cancer, obesity and other healthcare issues common to Bed-Stuy Brooklyn are also addressed. 

SHALOM 2 YOU welcomes all women who want to improve their health and have a feeling of well-being and peace of mind."
212639967500.00%,,,Published,Y,Y,Y,N,,N,N,N,New York,,"The Mayor's Office for People with Disabilities works hand-in-hand with other City agencies to assure that the voice of the disabled community is represented and that City programs and policies address the needs of people with disabilities. We have developed a number of informative brochures and directories that detail programs, services, activities, and other resources that are accessible to people with disabilities. In addition, we work with organizations on specific issues affecting people with disabilities, and arrange activities and events that aim to bring about dialog that leads to meaningful outcomes."
7187867110.0,40.741828,26.0,Published,N,N,N,N,,N,Y,N,Woodside,14787.0,
2125646057.0,40.757285,3.0,Published,N,Y,N,N,,N,Y,N,NY,12080.0,"DAMAYAN Migrant Workers Association, Inc. is an independent non-profit grassroots organization based in New York and New Jersey that upholds and promotes the rights and welfare of Filipino migrant workers. It also raises awareness and organizes around issues of migrant workers, particularly domestic workers, to understand the root causes of these issues. Damayan is a Filipino word that means helping each other.

At the core of DAMAYAN is the leadership of highly committed Filipina domestic workers - nannies, babysitters, cooks, and housekeepers. Realizing that ninety percent of the 1,700 Filipino women who leave the Philippines everyday become domestic workers in foreign countries, DAMAYAN currently focuses on organizing Filipina domestic workers in New York and New Jersey, while being open for membership to all migrant workers and individuals who want to be involved."
2129419090.0,40.723903,3.0,Published,N,N,N,N,,N,Y,N,New York,12076.0,"The Door's mission is to empower young people to reach their potential by providing comprehensive youth development services in a diverse and caring environment. Each year over 8,000 young people, most referred by their peers, come to The Door for primary health care, prenatal care and health education, mental health counseling, legal services, GED, ESL, tutoring and homework help, college preparation and computer classes, career development services and training, job placement, daily meals, arts, sports and recreational activities. 

The only criterion for Door membership is age (12-21). Of the 8,000 current members, the majority are between 17 and 20 years of age, with the average being 18. Most are African-American or Hispanic; a growing number are immigrants from China."
7184768449.0,40.7463,26.0,Published,N,N,N,N,,N,Y,N,Woodside,14787.0,
7188865454.0,40.756645,20.0,Published,N,N,N,N,,N,Y,N,Flushing,14190.0,"Rooted in a tradition and history of community service, outreach and philantrhopy to some of New York City's most socially and economically troubled neighborhoods, the Boy's Club of New York (BCNY) strives to sustain an environment that nurtures individual talent, strenghtens family and promotes strong citizenship while fostering a passion for learning. We encourage our participants to seek the highest standards of scholarship, moral development, and physical achievement. Working closely with our membership and their families, our professional staff encourages the emotional, social, physical, educational and vocational growth of the agency's entire membership and extended family."
8888887702.0,,,Published,Y,N,Y,N,,N,Y,N,New York,,"The largest Asian American domestic violence organization in the nation, for over 25 years the New York Asian Women's Center (NYAWC) has helped women overcome violence and govern their own lives, free of abuse. The Center also raises public awareness about domestic violence and urges equality and opportunity for all women."
2127481225.0,40.748208,3.0,Published,N,N,N,N,,N,Y,N,New York,11722.0,"APEX is a 501 (c) 3 nonprofit in New York City dedicated to providing mentoring and educational services to an Asian American youth population. Now in its seventeenth year, APEX has attracted thousands of volunteers and has served thousands of youth, many of whom are now mentors and volunteers themselves."
7184635735.0,,,Published,N,N,N,N,,N,Y,N,Jamaica,,"The Autism Society is the leading voice and resource of the entire autism community in education, advocacy, services, research and support. The Autism Society is committed to meaningful participation and self-determination in all aspects of life for individuals on the autism spectrum and their families. The Autism Society accomplishes its ongoing mission through close collaboration with a successful network of chapters, members and supporters."
7186581563.0,40.716221,24.0,Published,N,N,N,N,,N,Y,N,Jamaica,24340.0,
7182241919.0,40.766084,19.0,Published,N,N,N,N,,N,Y,N,Little Neck,14197.0,"FAMILY FOCUS is a not-for-profit, fully accredited multi-service adoption agency. Our administrative offices are located in Eastern Queens, New York, with satellite offices in Albany and Newburgh. While we place children from anywhere in the United States, we only license families from the twenty-one counties from the Capital District through Metropolitan New York City and Long Island. Our agency is also approved in New Jersey and Connecticut."
7188833172.0,40.71725,24.0,Published,N,N,N,N,,N,N,N,Jamaica,24340.0,"We have an American Diabetes Association Recognized Diabetes Self-Management Education program- we provide 1:1 counseling and group education to people who are diagnosed with type 1 diabetes or type 2 diabetes.
the education is done in a classroom setting, we also offer a diabetes support group which meets once a month, every 4th Thursday of every month."
7182750983.0,,,Published,N,N,N,N,,N,Y,N,Elmhurst,,"Promotes individual and family well-being through the provision of out-patient diagnostic and treatment services within a bilingual and bicultural milieu.  Services provided by the clinic include individual and group psychotherapy, marital and family counseling, psychopharmaceutical therapy, crisis intervention and case management."
8008380879.0,,,Published,N,N,N,N,,N,Y,N,Freehold,,"Today, the Well Spouse mission remains to provide emotional peer-to-peer support to the wives, husbands, and partners of the chronically ill and/or disabled. We offer this support through our various programs  and events. Our members can share their thoug"
,,,Published,N,N,N,N,,N,Y,N,New York,,
,,,Published,N,N,N,N,,N,Y,N,New York,,
