phone_number,psal_sports_coed,:@computed_region_92fq_4b7q,council_district,partner_other,psal_sports_boys,priority06,bin,:@computed_region_sbqj_enih,language_classes,partner_financial,priority03,partner_nonprofit,boro,expgrade_span_min,city,school_type
212-928-1202,,39,,,"Basketball, Volleyball",,,21,Spanish,,Then to Bronx students or residents who have lived in the United States two years or fewer and whose home language is Spanish,,Manhattan,,New York,
718-221-1097,,11,40.0,,"Basketball, Bowling, Handball, Outdoor Track, Rugby, Soccer, Volleyball",,3107227.0,44,"French, Spanish",,Then to Brooklyn students or residents,"Institute for Student Achievement (ISA),CORO New York Leadership Center, College for Every Student(CFES)",Brooklyn,,Brooklyn,
718-688-7200,,25,42.0,,,,3413878.0,47,,,Then to New York City residents,,Brooklyn,6.0,Brooklyn,New School
718-373-6400,,45,47.0,"National Aeronautics Space Administration (NASA), Langley Research Center (NASA/NABSE), Minority University-Space Interdisciplinary Network (MU-SPIN), Vienna-Brooklyn School Exchange Program with KMS Pazmanitengasse, MOUSE, Passport to Knowledge (P2K), Odyssey of the Mind Inc./Creative Competitions Inc., New York Aquarium, WISE Foundation (Financial Literacy).","Basketball, Cross Country, Football, Outdoor Track, Soccer, Softball, Volleyball",,3194998.0,35,"Chinese, French, Italian, Russian, Spanish","Citigroup, Ernst & Young , Federal Reserve Bank of New York (FRBNY), Fitch Rating, HSBC, KPMG, Moodys, Office of Comptroller of the Currency (OCC), Securities Industries Association (SIA), Teachers Insurance Annuity Association and College Retirement Equities (TIAA-CREF), CitiCorp.",For K56B only: Open only to students whose home language is Chinese,"National Academy Foundation (NAF), Prospect Park Alliance Volunteer Corps, GenerationOn, ASPIRA of New York, WISE.",Brooklyn,,Brooklyn,
718-545-7095,,4,22.0,Careers in Culinary Arts Program (C-CAP),"Basketball, Bowling, Cross Country, Fencing, Golf, Gymnastics, Handball, Soccer, Softball, Swimming, Tennis, Volleyball & JV Volleyball",,4467709.0,72,"Chinese, French, Italian, Modern Greek, Spanish, Spanish Native Language Arts",,,,Queens,,Astoria,
212-586-2943,"Bowling, Tennis",10,3.0,"Celebrity Chefs: Marc Murphy, Scott Conant, Amanda Freitag, Aaron Sanchez, Alex Guarnashelli, Geoffrey Zakarian, Chris Santos,Ingrid Hoffmann and many others. Restaurant Internships- Food Network, Union Square Hospitality Group (Shake Shack, Blue Smoke, Gramercy Tavern, The Modern); Pier 60, City Crab, ARK Restaurant Corporation (Bryant Park Grill, Rio Grande); Amy's Bread, Tom Cat Bakery, Craft Restaurant,Beacon Restaurant, Miss Mamie's Spoonbread Too, Mangianaro's, Great Performances, Carrot Top Pastries, Sazon, Sofrito, Ditch Plains, Illilli.","Basketball & JV Basketball, Handball, JV Softball",,1083802.0,10,Spanish,Municipal Credit Union,,"Food Education Fund, Youth Service Opportunity Project, Generation Citizen, Cooing with Kids (CWK)-Guy Fieri.",Manhattan,,New York,CTE School
718-875-1473,,38,33.0,,,,3348041.0,54,Spanish,,,"National Academy Foundation (NAF), Project Lead The Way, National Action Council for Minorities in Engineering",Brooklyn,,Brooklyn,CTE School
718-832-4201,,27,39.0,,"Basketball, Softball, Volleyball",,3025510.0,50,Spanish,,Then to Brooklyn students or residents,"Project 826-STEW magazine, Reel Works (video documentary production)",Brooklyn,,Brooklyn,
718-438-3893,,18,44.0,New York Police Department (NYPD),,Then to New York City residents,3125676.0,39,Spanish,,Then to Brooklyn students or residents who attend an information session,Urban Assembly,Brooklyn,,Brooklyn,All-Girls School
718-937-6005,Cricket,33,26.0,"City Hall Academy, Youth in Government, AMERIGROUP","Baseball, Basketball, Soccer, Tennis, Volleyball",,4004874.0,72,"Chinese (Mandarin), Spanish Native Language Arts",,,"South Asian Youth Action (SAYA), Anti-Defamation League, Facing History and Ourselves, Virtual Enterprise Organization, Human Rights Commission, Gilder Lehrman Institute of American History, Junior Achievement, New Immigrant Community Empowerment (NICE), Queens Public Library, Metropolitan Museum of Art, Long Island City Partnership",Queens,,Long Island City,International School
718-636-4900,Bowling,48,35.0,MS2 (Math and Science for Minority Students) Program at Phillips Academy,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball",,3029702.0,44,"French, Haitian-Creole, Russian, Spanish",,For K50C only: Fifty percent (50%) of the incoming 9th graders for this program will be English proficient students and fifty percent (50%) Russian speaking English Language Learners,"Arthur Ashe Institute for Urban Health, Toussaint L'Overture Leadership Academy",Brooklyn,,Brooklyn,CTE School
212-246-2183,"Bowling, Handball, Outdoor Track",10,3.0,"Virtual Enterprises, Network for the Teaching of Entrepreneurship (NFTE)","Basketball, Softball",,1026646.0,10,Spanish,,Then to Manhattan students or residents,"New Visions for Public Schools, iMentor",Manhattan,,New York,CTE School
212-262-8113,,10,3.0,"City Parks Foundation, Urban Park Rangers, Christadora, NYS Department of Environmental Conservation","Basketball, Cross Country, Handball, Soccer, Softball, Tennis, Volleyball",,1026841.0,10,"French, Italian, Spanish",,,"The Nature Conservancy, Leaders in Environmental Action for the Future (LEAF), Sponsors for Educational Opportunity, Student Conservation Association, New York City Public Library, Council on the Environment of New York City, New York Aquarium, National Outdoor Leadership School",Manhattan,,New York,
212-496-0700,,19,6.0,,"Basketball, Bowling, Cross Country, Fencing, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,1030341.0,12,"French, Italian, Japanese, Spanish",,Students must audition for each program (studio) to which they are applying,"Junior Achievement, Red Cross, United Nations Association, American Cancer Society",Manhattan,,New York,Specialized School
718-937-3010,,33,26.0,"Metropolitan Transit Authority, New York State Unified Court System, LIC Business Development Corp.","Basketball, Bowling, Softball, Volleyball",,4003259.0,66,"Spanish, Spanish Native Language Arts","Chase Investment, Capital One, Astoria Federal Savings Bank",,"School-to-Work Alliance, Long Island City Business Development Corporation, Legal Momentum, Junior Achievement, High Schools That Work, Day One Community Education",Queens,,Long Island City,CTE School
718-564-2540,,11,40.0,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Tennis, Volleyball",,3336215.0,43,"French, Spanish",,Then to New York City residents,PENCIL,Brooklyn,,Brooklyn,
718-495-0863,,17,41.0,,,Then to New York City residents,3042157.0,46,Spanish,,Then to Brooklyn students or residents who attend an information session,"READ Program, Brownsville Youth Court",Brooklyn,,Brooklyn,All-Boys School
718-817-7700,,40,11.0,"U.S. Department of State, New York State Supreme Court, The New York City Bar Association, New York City School Construction Authority, Metropolitan Transit Authority, Council on Foreign Relations","Basketball & JV Basketball, Bowling, Cross Country, Fencing, Football, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball, Wrestling",,2094706.0,34,"Chinese, French, Italian, Japanese, Latin, Modern Greek, Spanish",Credit Suisse,,"Bronx Zoo, Hennessy Family Foundation",Bronx,,Bronx,Specialized School
718-330-9390,,38,33.0,Young Women’s Leadership Foundation,"Basketball, Volleyball",,3006401.0,48,"Chinese (Mandarin), French, Spanish",,Then to Brooklyn students or residents,Ramapo for Children,Brooklyn,,Brooklyn,
718-696-6010,,2,12.0,,"Basketball, Softball, Volleyball",,2057045.0,30,"French, Spanish",,Then to Bronx students or residents,,Bronx,,Bronx,
718-824-3152,,31,18.0,,,,2022205.0,26,"French, Japanese, Spanish",,Then to New York City residents who attend an information session,"College Board, The Green Institute, DreamYard, Academy for Educational Development",Bronx,,Bronx,
718-575-5580,Wrestling,24,24.0,Townsend Harris Alumni Association,"Basketball & JV Basketball, Bowling, Cross Country, Fencing, Football, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball & JV Volleyball, Wrestling",,4538714.0,65,"Classical Greek, French, Hebrew, Japanese, Latin, Spanish",,,"The Dana Alliance for Brain Initiatives, Gilder Lehrman Institute of American History, The Mercy Center, The Stock Market Game, For Inspiration and Recognition of Science and Technology (FIRST) Robotics, World Vision",Queens,,Flushing,
718-681-8287,,42,16.0,"Kaplan, Aussie",,,2002497.0,27,"French, Spanish",,,"Literacy Inc., Learning Leaders, PENCIL, Teach for America",Bronx,,Bronx,
718-485-3789,Double Dutch,17,41.0,"Expanded Success Initiative, Digital Ready, NYC Teaching Collaborative, Creating Healthy Places, iLearn","Basketball, Football, Volleyball",,3081419.0,46,Spanish,,Then to Brooklyn students or residents,"Sponsors for Educational Opportunity (academic enrichment), Leadership Program, Pencil Partnerships (link to corporate partnership), PENCIL Fellowship, READ (community service)",Brooklyn,,Brooklyn,
718-643-9315,Wrestling,38,33.0,"Apple Distinguished Program: Recognized by Apple as a distinguished program for innovation, leadership, and educational excellence.","Bowling, Soccer",,3000216.0,54,French,,,"Internationals Network for Public Schools, New York Cares, What Kids Can Do, iMentor, Big Brothers Big Sisters, Learning Leaders, International Rescue Committee, Solar One, Cold Spring Harbor Laboratory, Recycle-a-Bike, Foodbank for New York, generationON, UNICEF, Mercy Corps Action Center, The Tolerance Center, The Advocacy Lab",Brooklyn,,Brooklyn,"Consortium, International School"
718-776-4728,,16,23.0,,"Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball & JV Volleyball",,4166101.0,63,Spanish,,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area.,,Queens,,Queens Village,
718-935-3660  ,,39,10.0,,,,1076776.0,22,N/A (Expected: Spanish),,Then to Manhattan students or residents  ,,Manhattan,9.0,New York,"NYC P-Tech 9-14, New School"
212-586-0981,"Bowling, Cross Country, Tennis",10,3.0,American Council of Engineering Companies (New York),"Basketball & JV Basketball, Handball, Volleyball",,1083802.0,10,"German, Spanish",BNP Paribas,,The Urban Assembly,Manhattan,,New York,
718-782-0918,Cross Country,30,34.0,,,,3070825.0,56,Spanish,,Then to New York City residents,"New Visions for Public Schools, Center for Urban Pedagogy, Urban Workshop NYC, iMentor",Brooklyn,,Brooklyn,
212-722-6507,,35,8.0,,,,1052433.0,14,Spanish,,,,Manhattan,,New York,
212-245-2807,,19,6.0,,"Basketball & JV Basketball, Bowling, Cross Country, Fencing, Indoor Track, Outdoor Track, Soccer, Softball, Tennis",,1030328.0,12,"French, Spanish",,,,Manhattan,,New York,Consortium School
718-230-6363,,48,35.0,,"Basketball, Cricket, Cross Country, Indoor Track, Outdoor Track, Soccer",,3029686.0,44,"French, Spanish",,Then to Brooklyn students or residents,"Margaret's Place/Joe Torre Safe at Home Foundation, New York League of Conservation Voters, Safe Horizon, Nature Conservancy",Brooklyn,,Brooklyn,
718-667-3222,Fencing,14,50.0,,"Basketball & JV Basketball, Bowling, Cross Country, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball & JV Volleyball",,5107621.0,76,Russian,,,,Staten Island,,Staten Island,Specialized School
718-991-7238,Swimming,31,18.0,,"Softball, Swimming",,2027459.0,26,Spanish Native Language Arts,,,"College Action: Research & Action (CARA), New York College Advising Corps (NYU-Helmsley Foundation Grant)",Bronx,,Bronx,International School
718-595-8400,"Bowling, Cricket, Handball, Wrestling",5,25.0,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball & JV Volleyball",,4045629.0,68,"Chinese, Chinese Native Language Arts, French, Spanish, Spanish Native Language Arts",,,,Queens,,Elmhurst,
