_fivetran_id,customer_id,date,_fivetran_synced,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,ad_network_type,base_campaign,clicks,conversions,conversions_value,cost_micros,device,impressions,interaction_event_types,interactions,view_through_conversions,id-active_view_viewability
H6V7GPpMfFSGJcU3IdZ+VtmoU0s=,2121450128,2021-02-01,2021-06-29 17:10:11,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,49,0,0,36150000,MOBILE,166,[CLICK],49,0,9935249409-0
zZLU3FlGI+tmnd8ls0tHqfUN0nk=,2121450128,2021-02-03,2021-06-29 17:10:11,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,35,0,0,24570000,MOBILE,170,[CLICK],35,0,344106493-0
y6SNqcAp67QLymKqZd5CP/XPS10=,2121450128,2021-01-24,2021-06-29 17:09:02,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,36,0,0,28190000,MOBILE,191,[CLICK],36,0,9935249409-0
DHzEhang5jWjaqBBck+ntZUGGio=,2121450128,2021-02-05,2021-06-29 17:10:11,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,18,0,0,22590000,MOBILE,113,[CLICK],18,0,344106493-0
w5ouWgnJhxVQ8ibKQYpkWX96S+c=,2121450128,2021-01-26,2021-06-29 17:09:02,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,39,0,0,23720000,MOBILE,248,[CLICK],39,0,9935249409-0
0DoQTRfvG4SGy+JXOCPQtYiWf7k=,2121450128,2021-02-10,2021-06-29 17:10:11,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,32,0,0,16520000,MOBILE,133,[CLICK],32,0,9935249409-0
0p6C9uJoom3XO+vEM+Jm5mJ8TIo=,2121450128,2021-01-29,2021-06-29 17:10:11,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,27,0,0,33470000,MOBILE,216,[CLICK],27,0,9935249409-0
Ua9ItFMfOthrhql75d8r1hLhWbQ=,2121450128,2021-02-04,2021-06-29 17:10:11,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,28,0,0,18400000,MOBILE,139,[CLICK],28,0,9935249409-0
cNf2dGyNuvesKY0GCYukUT8g1Zo=,2121450128,2021-02-24,2021-06-29 17:10:16,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,0,0,0,0,MOBILE,39,[],0,0,9935249409-0
9hs8KvE57LFbQ+X2U/yeyD9sHN4=,2121450128,2021-01-05,2021-06-29 17:08:56,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,2,0,0,3250000,MOBILE,71,[CLICK],2,0,9935249409-0
1/FkSsZbtUrjOwsp3mDNcwkzzjw=,2121450128,2021-02-25,2021-06-29 17:10:16,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,2,0,0,2590000,MOBILE,84,[CLICK],2,0,9935249409-0
qFmfBTHKODIVv3SPMQdwGfhlP1c=,2121450128,2021-01-31,2021-06-29 17:10:11,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,2,0,0,2300000,MOBILE,36,[CLICK],2,0,9935249409-0
7UoZJ65gISZRBTsPdX+cFAUlNCw=,2121450128,2021-01-17,2021-06-29 17:09:00,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,2,0,0,1690000,MOBILE,43,[CLICK],2,0,9935249409-0
czWFISdLS74pZQDbmlj/eLtGPw8=,2121450128,2021-02-21,2021-06-29 17:10:15,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,2,0,0,4720000,MOBILE,80,[CLICK],2,0,9935249409-0
#ERROR!,2121450128,2021-02-26,2021-06-29 17:10:17,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,3,0,0,10650000,MOBILE,78,[CLICK],3,0,9935249409-0
eSOrO3+78ULQHJ3KGFoyZnWxTDU=,2121450128,2021-01-06,2021-06-29 17:08:57,0,0,0,0,SEARCH,customers/2121450128/campaigns/9935249409,3,0,0,2520000,MOBILE,47,[CLICK],3,0,9935249409-0
