phone_number,code1,eligibility6,grade9swdfilledflag6,directions1,grade9gefilledflag1,code9,admissionspriority43,bbl,grade9swdapplicantsperseat5,grade9geapplicants4,seats6specialized,method8,grade9geapplicantsperseat5,common_audition3,requirement4_6,offer_rate9,interest3,requirement2_3,admissionspriority12,requirement2_6,requirement1_6,school_sports,method7,requirement3_4,campus_name,admissionspriority42,bin,admissionspriority74,appperseat1specialized,admissionspriority34,admissionspriority17,grade9swdfilledflag7,grade9geapplicants3,grades2018,auditioninformation5,code10,grade9swdfilledflag5,admissionspriority44,grade9swdapplicantsperseat9,academicopportunities5,seats102,grade9geapplicants10,grade9swdapplicants1,eligibility1,earlycollege,seats9ge6,admissionspriority18,requirement2_5,city,website,psal_sports_boys,attendance_rate,census_tract,eligibility5,offer_rate3,grade9geapplicantsperseat9,prgdesc6,code7,addtl_info1
718-294-8111,Y27A,,,,Y,,,2028590077.0,,,,,,,,,,,,,,"As we expand, we plan to offer additional PSAL sports.",,,DOE New Settlement Community Campus,,2008336.0,,,,,,,6-12,,,,,,,,,103.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/09/X327,"Baseball, Basketball",0.899999976,209.0,,,,,,Community School; Community Service Expected; Extended Day Program; Summer Orientation; Uniform
718-277-1069,L53A,,,,N,,,3042780001.0,,,,,,,,,,,Priority to New York City residents who attend an information session,,,"Boys Basketball, Girls Basketball, Track, Girls Volleyball, Cheerleading",,,,,3095977.0,,,,,,,9-12,,,,,,Students participate in theatrical productions throughout the school year.,Yes-5,,53.0,,,,,,Brooklyn,schools.nyc.gov/SchoolPortals/19/K683,Basketball,0.839999974,1118.0,,,,,,
212-928-1202,M62A,,,"Every Thursday (December through May) from 9am to 11am. Please contact Mrs. Pena, the guidance counselor",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-12,,,,,,,,,17.0,,,,,,Manhattan,http://schools.nyc.gov/SchoolPortals/06/M552/default.htm,"Baseball, Basketball",0.910000026,,,,,,,Uniform
718-299-7490,X06R,,,,N,,,2029300001.0,,,,,,,,,,,,,,Will be based on student interest,,,,,2009659.0,,,,,,,9-12,,,,,,,,,45.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/09/X276,"Baseball, Basketball, Soccer",0.75,165.0,,,,,,College Trips; Community School; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Internship Expected; Saturday Programs; Student/Parent Orientation; Summer Bridge Program; Uniform
718-403-9544,K91A,,,,N,,,3003970011.0,,,,,,,,,,,Priority to Brooklyn students or residents,,,"Girls Track Club, Cheerleading Team, Step Team, Football Club",,,,,3006356.0,,,,,,,9-12,,,,,,"Classroom Inc., Castle Learning, SAT Prep, Counseling in Schools Stepping Stones Program, Brooklyn Historical Society after-school program",Yes-10,,75.0,,,,,,Brooklyn,www.cobblehillhighschool.org,"Baseball, Basketball",0.829999983,69.0,,,,,,
718-333-7860,K38R,,,,N,,,3068830001.0,,,,,,,,,,,,,,"Basketball, Volleyball, Weightlifting",,,Lafayette Educational Campus,,3186454.0,,,,,,,9-12,,,,,,,,,22.0,"Students eligible for these programs are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging ,or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,,Brooklyn,schools.nyc.gov/SchoolPortals/21/K337,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",0.910000026,306.0,,,,,,
718-944-5610,X48A,,,,N,,,2046330040.0,,,,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,Evander Childs Educational Campus,Then to New York City residents,2057045.0,,,,,,,9-12,,,,,,,Yes-10,,91.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/11/X544,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Swimming",0.790000021,372.0,,,,,,Internships
212-925-1080,M67B,,,,Y,,,1004910016.0,,,,,,,,,,,Priority to Manhattan students or residents,,,,,,,,1007378.0,,,,,,,9-12,,,,,,,Yes-6,,182.0,,,,,,Manhattan,http://schools.nyc.gov/SchoolPortals/02/M615/default.htm,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track",0.879999995,37.0,,,,,,Internships
718-658-5407,Q24A,,Y,,Y,,,4097740001.0,2.0,522.0,,Zoned Guarantee,2.0,,,,Humanities & Interdisciplinary,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",Open to New York City residents,,Demonstrated Interest: School Visit,,Ed. Opt.,Attendance and Punctuality,,,4448767.0,,,,Open to New York City residents,Y,393.0,9-12,"Select, study, memorize and perform a 1-3 minute monologue of drama or comedy. Applicants will also be interviewed and asked for a writing sample.",,N,,,"CUNY College Now Program includes English, Computer Application, Criminal Justice, Psychology, Sci & Tech, Nutrition, Speech Communication and others",Yes-10,,108.0,,,58.0,Guaranteed offer to students who apply and live in the zoned area,Attendance,Jamaica,www.Hillcrestweb.com,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Soccer, Tennis, Volleyball, Wrestling",0.899999976,448.0,,,,"CTE Law Academy courses include Forensics, Criminal Justice, Criminology, Constitutional Law and Legal Studies; Preparation for public and community careers in legal, federal/state/local government agencies; College credit for selected courses; High School Law Institute at Columbia University and NYU; Participation in New York State Mock Trials, Moot Court competition and Police Explorers; Paid internship opportunities with the Justice Resource Center.",Q24T,Saturday Programs
718-392-3330,Q30J,,,,Y,,,4002490001.0,,,,,,,,,,,,,,,,,,,4003442.0,,,,,,,9-12,,,,,,All students enroll in college classes and receive extra support through seminar classes.,,,278.0,,1.0,,,,Long Island City,www.mchslic.com,"Baseball, Basketball, Soccer, Volleyball, Wrestling",0.930000007,179.0,,,,,,Internships
