fax_number,auditioninformation4,method5,method4,start_time,seats105,college_career_rate,prgdesc4,offer_rate4,admissionspriority28,eligibility3,psal_sports_coed,state_code,admissionspriority23,finalgrades,admissionspriority56,directions6,prgdesc9,grade9geapplicantsperseat7,requirement3_2,requirement3_8,admissionspriority22,requirement1_4,requirement2_2,specialized,geoeligibility,requirement2_8,grade9gefilledflag9,common_audition5,code8,admissionspriority46,prgdesc8,seats5specialized,grade9geapplicantsperseat6,language_classes,admissionspriority26,ptech,grade9swdapplicants8,seats9ge7,seats9swd10,prgdesc10,interest8,shared_space,grade9gefilledflag7,appperseat3specialized,interest5,admissionspriority110,admissionspriority35,community_board,requirement5_7,grade9geapplicantsperseat4,admissionspriority21,seats107,boro,prgdesc5,directions2,admissionspriority16,pct_stu_safe,pbat,grade9swdapplicantsperseat4,admissionspriority62,grade9swdapplicants2
718-454-4892,,,,8:10am,,0.63499999,,,,,Double Dutch,NY,,6-12,,,,,,,Then to New York City residents who attend an information session,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,12.0,,,,,Q,,,,0.800000012,,,,17.0
212-234-4975,,,,8:15am,,0.614000022,,,,,Stunt,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,9.0,,,Then to New York City residents,,M,,,,0.870000005,,,,
718-472-9117,,,,8:30am,,0.675999999,,,,,Golf,NY,,6-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,2.0,,,Then to New York City residents,,Q,,,,0.939999998,,,,
718-860-8232,,,,8:30am,,,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,"Italian, Spanish",,,,,,,,Yes,,,,,,9.0,,,Then to New York City residents who attend an information session,,X,,,,0.850000024,,,,
718-987-5872,,,,7:45am,,0.910000026,,,,,"Golf, Stunt",NY,,9-12,,,,,,,,,,1.0,,,,,,,,,,"Chinese (Mandarin), French, German, Russian, Spanish",,,,,,,,,,,,,,2.0,,,,,R,,,,0.99000001,,,,
718-277-1873,,,,8am,,0.374000013,,,,,,NY,,9-12,,,,,,,Then to New York City residents,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,5.0,,,Then to New York City residents,,K,,,,0.810000002,,,,23.0
718-631-7880,"Students will be taken through a series of ballet, modern and jazz dance combinations which they must perform in small groups. Students must also perform a dance solo prepared in advance of the dance audition.",Zoned Guarantee,Audition,9am,Yes,0.768999994,"Students study ballet, modern, and jazz techniques along with choreography. Students also have the opportunity to explore additional forms of dance by attending live performances and participating in school productions.",,,Open only to Queens students or residents,"Golf, Stunt",NY,,9-12,,,,,,,Then to Queens students or residents who attend an information session,"Course Grades: Math (65-100), Science (65-100)",,,Open only to Queens students/residents,,,,,,,,,"French, German, Spanish",,,,,,,,Yes,,,Zoned,,,11.0,,4.0,,,Q,,,,0.769999981,,9.0,,117.0
718-771-4815,,,,8am,,0.462000012,,,,,Cricket,NY,,6-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,9.0,,,Then to Brooklyn students or residents,,K,,,,0.860000014,,,,
718-271-4041,,,,8:20am,,0.257999986,,,,,Cricket,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,4.0,,,,,Q,,,,0.850000024,1.0,,,
212-362-5926,,,,8:30am,,0.836000025,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,7.0,,,,,M,,,,0.860000014,,,,
718-392-3315,,,,8am,,0.69599998,,,,,Golf,NY,,9-12,,,,,,,,,,,,,,,,,,,,"American Sign Language, French, Italian, Spanish",,,,,,,,Yes,,,,,,2.0,,,Then to Queens students or residents,,Q,,,,0.930000007,1.0,,,
718-733-3085,,,,8am,,,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,6.0,,,Then to New York City residents who attend an information session,,X,,,,0.779999971,,,,
718-601-0821,,,,8:50am,,,,,,,Cricket,NY,,9-12,,,,,,,,,,,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,7.0,,,Then to New York City residents who attend an information session,,X,,,,0.810000002,,,,10.0
212-674-8021,,,,8:30am,,0.646000028,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,3.0,,,Then to Manhattan students or residents who attend an information session,,M,,,,0.870000005,,,,
