code1,method1,academicopportunities1,program4,grade9geapplicantsperseat1,end_time,grade9geapplicantsperseat8,bus,seats9ge3,requirement3_6,directions5,admissionspriority51,neighborhood,program10,applicants4specialized,interest2,admissionspriority64,seats9swd7,grade9geapplicants5,eligibility2,grade9geapplicants6,admissionspriority63,seats9swd2,requirement4_4,admissionspriority14,international,interest9,common_audition4,prgdesc3,admissionspriority37,requirement6_3,building_code,program8,code6,grade9swdapplicantsperseat1,requirement5_5,requirement4_7,seats9swd3,seats1specialized,requirement3_1,program6,requirement1_8,grade9swdapplicants7,requirement5_4,prgdesc2,subway,ell_programs,grade9geapplicantsperseat2,requirement1_5,interest6,common_audition7,grade9geapplicants1,program7,requirement2_4,admissionspriority33,grade9gefilledflag10,prgdesc7,grade9swdapplicantsperseat6,primary_address_line_1,grade9geapplicants9,method6,grade9swdfilledflag2,overview_paragraph,program3,seats9ge1,school_email,academicopportunities3,grade9gefilledflag3
NO CODE,Test,"Many Advanced Placement (AP) courses and electives, especially in math and science",,,3:18pm,,"Q1, Q110, Q111, Q112, Q113, Q114, Q17, Q2, Q20A, Q20B, Q24, Q25, Q3, Q30, Q31, Q34, Q36, Q4, Q40, Q41, Q42, Q44-SBS, Q5, Q54, Q56, Q6, Q60, Q65, Q76, Q8, Q83, Q84, Q85, Q9, X64",,,,,Jamaica,,,,,,,,,,,,,,,,,,,Q774,,,,,,,104.0,,,,,,,"E, J, Z to Jamaica Center - Parsons / Archer",English as a New Language,,,,,,,,,,,,94-50 159th Street,,,,Queens High School for the Sciences at York College is dedicated to providing a rigorous curriculum in collaboration with York College that emphasizes the sciences and mathematics. The schoolÂ’s philosophy is that students are more successful when nurtured in a small learning community. The school mission is to develop a community of diligent learners and independent thinkers who are inspired to attain academic excellence and prepare them for the competitive environment and challenges of higher education.,,,LGibson4@qhss.org,CUNY College Now; Course offerings vary each year based on student interest,
K17H,Screened,"CTE program(s) in: Business, Management & Administration, Law and Public Safety",Vocal Music,28.0,3:45pm,,"B16, B37, B4, B63, X27, X37",28.0,,,,Bay Ridge,,,Performing Arts,,,,,,,4.0,,Priority to Brooklyn students or residents,,,,"In addition to studying the required music courses, students will develop their ability to perform on a musical instrument, study music theory, and enhance solo and ensemble techniques.",,,K490,,K17Z,7.0,,,6.0,,,Zoned,,,,"Students will be trained in the Joffrey Ballet SchoolÂ’s technique in Classical Ballet, Contemporary Dance, Jazz, Improvisation, Dance History, Dance Composition, and Pointe. Students eligible for Honors and AP classes will be programmed accordingly.",,"English as a New Language; Transitional Bilingual Education: Arabic, Chinese, Spanish",8.0,Audition,Zoned,,2567.0,,,,,,,8301 Shore Road,,Zoned Guarantee,N,"Fort Hamilton High School is the largest comprehensive urban high school in a suburban setting and is referred to as the jewel in the crown of the Bay Ridge community. Based on the philosophy that all students can succeed, Fort Hamilton High School strives to set the standard for excellence and is a magnet program citywide for the performing arts. The school facility has experienced a renaissance: a modern science lab and state-of-the-art dance room for the Joffrey Ballet Academy. The school is replete with state-of-the-art technology including SmartBoards in every classroom, Mobile Labs, and iPad Labs.",Instrumental Music,92.0,FortHamiltonHS@fthamiltonhs.org,"VA Hospital Program, Dramatic Arts, Peer Mediation & Negotiation, Virtual Enterprise",N
Y28A,Limited Unscreened,"Advisory, Leadership Classes",,7.0,3:20pm,,"Bx11, Bx17, Bx19, Bx27, Bx35, Bx4, Bx46, Bx4A, Bx5, Bx6",,,,,Hunts Point,,,,,,,,,,,,,,,,,,,X392,,,7.0,,,,,,,,,,,"2, 5 to Intervale Ave ; 6 to Hunts Point Ave",English as a New Language,,,,,455.0,,,,,,,928 Simpson Street,,,,"Our mission is to provide students of all academic abilities with the intellectual and social tools to lead alert, literacy-rich lives. Our project-based curriculum is designed to prepare students to become globally-minded activists with a sophisticated understanding of the political, cultural, economic and social forces that have shaped their communities and the world around them. Our faculty and partners work tirelessly to ensure that our school is a learning environment open to all students, regardless of academic ability, and that every student is prepared for college and the world beyond. We value academic challenge, social justice, individualization, and high-quality teaching.",,65.0,dvazque4@schools.nyc.gov,Academic requirements include a final student exit project and presentation in each subject,
M81H,Audition,"College courses in grade 11 and 12 at New York University (NYU), John Jay College and Hunter College",Dance,10.0,3:30pm,,"BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M5, M50, M57, M7, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM24, QM3, QM4, QM5, QM6, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9",23.0,,,,Clinton,,,Performing Arts,,,,,,,4.0,Audition,Priority to continuing 8th graders,,,,"Classical Vocal Music students attend conservatory classes in vocal technique, sight reading, musicianship, ear training and ensemble singing. Students study an extensive vocal repertory, music history, theory, performance technique and movement for singers. Students participate in ensemble and solo performances throughout the year.",,,M017,,,6.0,,,4.0,,Attendance,,,,,"Built around the core values: excellence, engagement and empathy. Students take two hours of conservatory-style class daily in acting, movement/devising, voice & speech and theater studies. Each grade also participates in supplementary performance projects including classics, new play commissions and student-created work. Goal is to develop exemplary artists who are equally engaged citizens.","1, C, E to 50th St ; 2, 3, 7, S to Times Square-42nd St ; A to 42nd St-Port Authority Bus Terminal ; B, D to 7th Ave ; F, M to 47-50th Sts Rockefeller Center ; N, Q, R to 49th St",English as a New Language,14.0,,,,239.0,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (2.1-4.5)",,,,,328 West 48th Street,,,N,"Located in the heart of ManhattanÂ’s theater district, this small, personalized school partners with top-rated New York City Arts organizations to provide professional-level training in the performing arts and a competitive academic program. Recognized for our unique arts instruction, we attract master performers and industry players that help guide our students toward the most competitive colleges and conservatories. Our special relationships with local organizations provide access to some of the most modern training facilities in New York City. Our alumni have gone on to prestigious conservatories and appeared in many Broadway productions, box office films, and hit television shows.",Classical Vocal Music,23.0,admissions@ppasshare.org,"Theater and Tap Dance, Ballet, Song Preparation, Private and Group Vocal Technique, Music Theory, Theater Exploration",Y
Y65A,Limited Unscreened,CTE program(s) in: Architecture and Construction,,6.0,3:45pm,,"Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx22, Bx36, Bx9",,,,,Belmont,,,,,,,,,,,,,,,,,,,X660,,,7.0,,,,,,,,,,,,English as a New Language,,,,,480.0,,,,,,,2474 Crotona Avenue,,,,"The High School for Energy and Technology is committed to fostering a safe and nurturing culture of learning in a practical program that prepares students for professional careers in engineering and building technology. Students are supported as they move through our college and career preparatory sequence. We balance our challenging academic program with hands-on, project-based learning. Our graduates have both college and career options based on the values of sustainability. We offer local and national partnerships that provide students with the tools they need to succeed in the engineering and technical fields.",,86.0,hsenergytech@gmail.com,"College Trips, College and Career Counseling",
Q99A,Ed. Opt.,"CTE program(s) in: Business, Management & Administration, Manufacturing Production",,11.0,4pm,,"Q23, Q38, Q58, Q88, QM10, QM11, QM12",,,,,Corona,,,,,,,,,,,,,,,,,,,Q456,,,10.0,,,,,,,,,,,,English as a New Language; Transitional Bilingual Education: Spanish,,,,,1721.0,,,,,,,105-25 Horace Harding Expy N,,,,"The High School for Arts and Business is committed to providing opportunities for our students to achieve excellence in academic, career, and technical pursuits. Our individualized programming helps students earn an Advanced Regents diploma and continue on to the college or career path of their choice. Through broad-based educational experiences, our students develop technological and artistic literacy using an interactive approach. Our culturally diverse school community features partnerships that support personal growth and emphasize global understanding, leadership, and integrity.",,162.0,azambra@schools.nyc.gov,"Six to Ten Credit Program in the Visual & Performing Arts, Career Pathways, CUNY College Now, Journalism, Playwriting, Criminal Justice Unit, Business Law",
Q03A,Screened: Language,Students complete Performance-based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,2.0,3:55pm,,"Q29, Q38, Q53, Q58, Q72",,,,,Elmhurst,,,,,,,,,,,,,1.0,,,,,,Q744,,,1.0,,,,,,,,,,,7 to Junction Blvd,English as a New Language,,,,,143.0,,,,,,,45-10 94th Street,,,,"The Pan American International High School is a diverse learning community of recently-immigrated English Language Learners (ELLs). Our primary focus is English language development, while providing opportunities for students to enhance their Spanish language skills. Our partnerships with organizations such as Urban Arts cultivate the leadership of students in their communities through service, learning projects, internships, and the arts. We are committed to creating an environment that celebrates studentsÂ’ individual identities while preparing them to be successful in college and become productive members of the global community.",,92.0,laquino@panamericanihs.org,"Electives, After-School Activities, Internships, Involvement with community organizations, Make the Road New York, College Prep",
L44A,Limited Unscreened,iLearnNYC: Program for expanded online coursework and self-paced learning,,2.0,3:05pm,,"B103, B47, B6, B82, BM1, BM2",,,,,Canarsie,,,,,,,,,,,,,,,,,,,K515,,,5.0,,,,,,,,,,,,English as a New Language,,,,,158.0,,,,,,,6565 Flatlands Avenue,,,,"This is a small school with a supportive culture. We prepare students with knowledge, skills, confidence, and motivation. We prepare students for college by developing critical thinking, problem solving, collaboration, and real world applications. Through our partnerships with Cornell University and Brooklyn College, we provide a rigorous curriculum emphasizing the sciences and the environment, internship opportunities, and numerous Advanced Placement (AP) courses. Through environmental field experiences, engaging course work, and a small supportive school culture our students are empowered to succeed in their future endeavors.",,68.0,emazzol@schools.nyc.gov,"Painting Classes, Health and Nutrition Courses, Electives such as Forensics, Environmental Chemistry, Pre-Calculus",
M90A,Ed. Opt.,Interdisciplinary curriculum with technology integration; Advisory; College Advisement; Regents and RCT examination skill support,,2.0,4:30pm,,"Bx15, BxM10, BxM6, BxM7, BxM8, BxM9, M100, M101, M102, M103, M116, M15, M15-SBS, M35, M60-SBS, M98",,,,,East Harlem North,,,,,,,,,,,,,,,,,,,M045,,,4.0,,,,,,,,,,,"4, 5 to 125th St ; 6 to 116th St",English as a New Language,,,,,166.0,,,,,,,2351 First Avenue,,,,"Coalition School for Social Change utilizes a challenging curriculum and emphasizes college and career preparation. Hands-on learning, cutting-edge technology, and small-group learning are all important aspects of our curriculum. Through our many partnerships, online learning opportunities, and Advanced Placement (AP) Courses, students engage in challenging coursework and a variety of culturally enriching programs. Coalition School for Social Change is committed to helping students develop into leaders, independent thinkers, and life-long learners.",,100.0,admissions@coalitionschool.org,,
Q30J,Screened,Performance/Portfolio-based assessment required in sophomore and senior years,,18.0,2:20pm,,"B24, B62, Q100, Q101, Q102, Q32, Q39, Q60, Q67",,,,,Hunters Point-Sunnyside,,,,,,,,,,,,,,,,,,,Q520,,,19.0,,,,,Attendance and Punctuality,,,,,,"7 to 33rd St ; E, M, R to Queens Plaza",English as a New Language,,,,,1436.0,,,,,,,45-35 Van Dam Street,,,,Our mission is to offer students opportunities to achieve success by providing a small personalized environment on a college campus. We provide tangible experiences that help students connect to the next stages of their academic and social lives as well as their careers. There is open access to the campus of LaGuardia Community College and students may enroll in college classes as part of their high school instructional program. All students are expected to graduate with a minimum of 24 college hours.,,82.0,jgonzalez10@schools.nyc.gov,"Starting in the 10th grade, students become eligible to apply for college courses",
