id,last_updated_date,_fivetran_synced,campaign_id,creation_date,default_bid,name,serving_status,state
421,2022-07-11 22:38:16.551000,2022-12-13 17:10:16.297,2187,2022-07-11 22:38:16.551000,1.75,Red 7,CAMPAIGN_PAUSED,enabled
422,2022-07-11 22:38:16.551000,2022-12-13 17:10:16.297,2187,2022-07-11 22:38:16.551000,2,Red 8,AD_GROUP_STATUS_ENABLED,enabled
423,2022-07-11 22:38:16.551000,2022-12-13 17:10:16.297,2187,2022-07-11 22:38:16.551000,1.9,Red 9,AD_GROUP_STATUS_ENABLED,enabled
501,2022-11-09 14:37:05.332000,2022-12-13 17:11:08.594,5555,2022-11-09 14:37:05.332000,1.45,All,AD_GROUP_STATUS_ENABLED,enabled
502,2022-11-09 14:37:05.332000,2022-12-13 17:11:08.594,5555,2022-11-09 14:37:05.332000,1.6,Premium,AD_GROUP_STATUS_ENABLED,enabled
503,2022-07-15 10:20:00.000000,2022-12-13 17:10:16.297,2188,2022-07-15 10:20:00.000000,2.1,Blue 1,AD_GROUP_STATUS_ENABLED,enabled
504,2022-07-15 10:20:00.000000,2022-12-13 17:10:16.297,2188,2022-07-15 10:20:00.000000,1.85,Blue 2,AD_GROUP_STATUS_ENABLED,enabled
505,2022-07-20 14:00:00.000000,2022-12-13 17:10:16.297,2189,2022-07-20 14:00:00.000000,1.95,Green Alpha,AD_GROUP_STATUS_ENABLED,enabled
506,2022-07-20 14:00:00.000000,2022-12-13 17:10:16.297,2189,2022-07-20 14:00:00.000000,2.05,Green Beta,AD_GROUP_STATUS_ENABLED,enabled
507,2022-08-01 09:00:00.000000,2022-12-13 17:10:16.297,2190,2022-08-01 09:00:00.000000,2.25,Rogue Squad A,AD_GROUP_STATUS_ENABLED,enabled
508,2022-08-01 09:00:00.000000,2022-12-13 17:10:16.297,2190,2022-08-01 09:00:00.000000,2.15,Rogue Squad B,AD_GROUP_STATUS_ENABLED,enabled
509,2022-08-05 11:00:00.000000,2022-12-13 17:10:16.297,2191,2022-08-05 11:00:00.000000,2.5,AT-AT Group 1,AD_GROUP_STATUS_ENABLED,enabled
510,2022-08-05 11:00:00.000000,2022-12-13 17:10:16.297,2191,2022-08-05 11:00:00.000000,2.4,AT-AT Group 2,AD_GROUP_STATUS_ENABLED,enabled
511,2022-08-10 13:00:00.000000,2022-12-13 17:10:16.297,2192,2022-08-10 13:00:00.000000,1.8,TIE Squadron A,AD_GROUP_STATUS_ENABLED,enabled
512,2022-08-10 13:00:00.000000,2022-12-13 17:10:16.297,2192,2022-08-10 13:00:00.000000,1.7,TIE Squadron B,AD_GROUP_STATUS_ENABLED,enabled
513,2022-08-12 15:00:00.000000,2022-12-13 17:10:16.297,2193,2022-08-12 15:00:00.000000,2.3,Destroyer Alpha,AD_GROUP_STATUS_ENABLED,enabled
514,2022-08-12 15:00:00.000000,2022-12-13 17:10:16.297,2193,2022-08-12 15:00:00.000000,2.2,Destroyer Beta,AD_GROUP_STATUS_ENABLED,enabled
515,2022-08-15 10:00:00.000000,2022-12-13 17:10:16.297,2194,2022-08-15 10:00:00.000000,2.6,Death Star Core,AD_GROUP_STATUS_ENABLED,enabled
516,2022-08-15 10:00:00.000000,2022-12-13 17:10:16.297,2194,2022-08-15 10:00:00.000000,2.45,Death Star Weapons,AD_GROUP_STATUS_ENABLED,enabled
517,2022-08-18 12:00:00.000000,2022-12-13 17:10:16.297,2195,2022-08-18 12:00:00.000000,1.99,Lightsaber Red,AD_GROUP_STATUS_ENABLED,enabled
518,2022-08-18 12:00:00.000000,2022-12-13 17:10:16.297,2195,2022-08-18 12:00:00.000000,2.09,Lightsaber Blue,AD_GROUP_STATUS_ENABLED,enabled
519,2022-08-20 14:00:00.000000,2022-12-13 17:10:16.297,2196,2022-08-20 14:00:00.000000,2.35,Force Push,AD_GROUP_STATUS_ENABLED,enabled
520,2022-08-20 14:00:00.000000,2022-12-13 17:10:16.297,2196,2022-08-20 14:00:00.000000,2.25,Force Pull,AD_GROUP_STATUS_ENABLED,enabled
521,2022-08-22 16:00:00.000000,2022-12-13 17:10:16.297,2197,2022-08-22 16:00:00.000000,2,Jedi Padawan,AD_GROUP_STATUS_ENABLED,enabled
522,2022-08-22 16:00:00.000000,2022-12-13 17:10:16.297,2197,2022-08-22 16:00:00.000000,2.1,Jedi Knight,AD_GROUP_STATUS_ENABLED,enabled
523,2022-08-25 11:00:00.000000,2022-12-13 17:10:16.297,2198,2022-08-25 11:00:00.000000,2.55,Clone Trooper,AD_GROUP_STATUS_ENABLED,enabled
524,2022-08-25 11:00:00.000000,2022-12-13 17:10:16.297,2198,2022-08-25 11:00:00.000000,2.65,Clone Commander,AD_GROUP_STATUS_ENABLED,enabled
