source_relation,date_day,account_name,account_id,country_code,profile_id,portfolio_name,portfolio_id,campaign_name,campaign_id,ad_group_name,ad_group_id,serving_status,state,default_bid,campaign_bidding_strategy,cost,clicks,impressions,purchases_30_d,sales_30_d
"",2022-11-20,Palpatine,ENTITY31174,US,66,Empire,1138,Millennium Falcon,5555,Premium,502,AD_GROUP_STATUS_ENABLED,enabled,1.6,legacy,16.5,10,3700,,
"",2022-07-26,Palpatine,ENTITY31174,US,66,Rebellion,1139,Blue Leader,2188,Blue 2,504,AD_GROUP_STATUS_ENABLED,enabled,1.85,autoForSales,20.4,12,4200,,
"",2022-12-07,Palpatine,ENTITY31174,US,66,Empire,1138,Millennium Falcon,5555,All,501,AD_GROUP_STATUS_ENABLED,enabled,1.45,legacy,22.4,14,4800,,
"",2022-07-21,Palpatine,ENTITY31174,US,66,Rebellion,1139,Blue Leader,2188,Blue 2,504,AD_GROUP_STATUS_ENABLED,enabled,1.85,autoForSales,15.3,9,3500,,
"",2022-12-11,Palpatine,ENTITY31174,US,66,Empire,1138,Millennium Falcon,5555,All,501,AD_GROUP_STATUS_ENABLED,enabled,1.45,legacy,25.6,16,5200,,
"",2022-08-10,Skywalker,ENTITY31175,US,67,FirstOrder,1141,AT-AT Walker,2191,AT-AT Group 1,509,AD_GROUP_STATUS_ENABLED,enabled,2.5,autoForSales,30.6,18,6000,,
"",2022-11-19,Palpatine,ENTITY31174,US,66,Empire,1138,Millennium Falcon,5555,All,501,AD_GROUP_STATUS_ENABLED,enabled,1.45,legacy,16,10,3800,,
"",2022-07-20,Palpatine,ENTITY31174,US,66,Empire,1138,Gold Leader,2187,Red 7,421,CAMPAIGN_PAUSED,enabled,1.75,autoForSales,20,10,3800,,
"",2022-11-25,Palpatine,ENTITY31174,US,66,Empire,1138,Millennium Falcon,5555,Premium,502,AD_GROUP_STATUS_ENABLED,enabled,1.6,legacy,19.8,12,4100,,
"",2022-11-25,Palpatine,ENTITY31174,US,66,Empire,1138,Millennium Falcon,5555,All,501,AD_GROUP_STATUS_ENABLED,enabled,1.45,legacy,14.4,9,3600,,
"",2022-08-11,Palpatine,ENTITY31174,US,66,Republic,1140,Rogue One,2190,Rogue Squad B,508,AD_GROUP_STATUS_ENABLED,enabled,2.15,legacyForSales,27.2,16,5300,,
"",2022-08-02,Palpatine,ENTITY31174,US,66,Rebellion,1139,Green Squadron,2189,Green Alpha,505,AD_GROUP_STATUS_ENABLED,enabled,1.95,autoForSales,22.1,13,4300,,
"",2022-11-24,Palpatine,ENTITY31174,US,66,Empire,1138,Millennium Falcon,5555,All,501,AD_GROUP_STATUS_ENABLED,enabled,1.45,legacy,19.2,12,4200,,
"",2022-12-01,Palpatine,ENTITY31174,US,66,Empire,1138,Millennium Falcon,5555,All,501,AD_GROUP_STATUS_ENABLED,enabled,1.45,legacy,17.6,11,4000,,
"",2022-08-10,Palpatine,ENTITY31174,US,66,Republic,1140,Rogue One,2190,Rogue Squad A,507,AD_GROUP_STATUS_ENABLED,enabled,2.25,legacyForSales,28.9,17,5700,,
"",2022-07-12,Palpatine,ENTITY31174,US,66,Empire,1138,Gold Leader,2187,Red 8,422,AD_GROUP_STATUS_ENABLED,enabled,2,autoForSales,16,8,3200,,
"",2022-12-02,Palpatine,ENTITY31174,US,66,Empire,1138,Millennium Falcon,5555,All,501,AD_GROUP_STATUS_ENABLED,enabled,1.45,legacy,11.2,7,3200,,
"",2022-07-25,Palpatine,ENTITY31174,US,66,Rebellion,1139,Blue Leader,2188,Blue 1,503,AD_GROUP_STATUS_ENABLED,enabled,2.1,autoForSales,22.1,13,4400,,
