fax_number,ell_programs,shared_space,extracurricular_activities,priority01,diplomaendorsements,census_tract,school_email,partner_financial,council_district,expgrade_span_max,partner_hospital,end_time,priority04,number_programs,addtl_info1,partner_cultural,partner_highered,bin
718-981-8776,ESL,Yes,"Community Service Projects, Black Box Theater, Conflict Resolution, Link Employment and Responsibility Now (LEARN), PM/Saturday School, SAT Prep, Dance/Step, Computer Graphic Arts, National Honor Society, National Technical Honor Society, Peer Mediation, Robo-Wizards (Robotics), Student Government, SkillsUSA, Yearbook Committee, Young Men’s Alliance, Young Women’s Alliance",Open to New York City residents,CTE,9.0,SHenry2@schools.nyc.gov,"Federal Reserve Bank of New York, Staten Island Foundation",49.0,,,2:35 PM,,7,,,"St. John's University, Polytechnic Institute of New York University (NYU), New Jersey Institute of Technology, New York City College of Technology, Kingsborough Community College, College of Staten Island, Alfred State, DeVry,Lincoln Tech. New England Tech, Pennsylvania College of Technology, Universal Technical Institute (UTI)",5000314.0
718-277-6041,ESL,Yes,"Student clubs and organizations will be connected to the health career pathways: Future Business Leaders of America, Future Health Professionals, HealthCorps; Interested students will also be able to participate in the campus JROTC program",Priority to New York City residents who attend an information session,,1180.0,info@uasch.org,,37.0,12.0,,2:35 PM,,1,,,,3090738.0
718-333-7861,ESL,Yes,"Art, Chess, Dance, Digital Media, Film, Guitar, Literacy, Math Center, Photography, Regents Exam Preparation, SAT Preparation, Saturday Explorers, Service Learning, Student Government, Theater, Tutoring, Writing Center",Eligibility: Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,,306.0,jharrim@schools.nyc.gov,,47.0,,"The Guidance Center of Brooklyn, Maimonides Medical Center",4:00 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"Manhattan New Music Project, New Victory Theater, Theatreworks USA",Kingsborough Community College,3186454.0
718-423-9566,ESL,Yes,"American Red Cross, Anime, Archon, Arista, Art, Astronomy, Badminton / Ping Pong, B-Boys, Bowling, Bridge to Medicine, Chess, Chinese Yo-Yo, Citadel, Criminology, CrossFit, CTE, Dance, Drama, Food, Garden, Green, Handball, Key Club International, K-POP, Latin, Math Team, Model UN, Multicultural Clubs, Muslim Student Association, New York City Experience, Newspaper, Poetry Read Aloud, RAFA, Robotics, Seekers, Sikh Student Association, Smiles for Miles, Senior, Junior, Sophomore and Freshman Councils, Soundings Literary Magazine, Sports Medicine, Student Ambassadors, Study, Tae Kwon Do, Winter and Spring Concerts, Yearbook",Eligibility: Open only to Queens students or residents,CTE,1097.0,info@baysidehighschool.org,W!se Financial Literacy Foundation,19.0,,Long Island Jewish Medical Center and Gateway to Medicine.,3:30 PM,,7,iLearnNYC: Program for expanded online coursework and self-paced learning,"New York Philharmonic Orchestra, Collegiate Chorale, Center for Arts Education, National Chorale, New York State Music Fund Grant, Kupferberg Jazz Residency, Flushing Town Hall, Exhibit for National Art Educators Association, Hospital Audiences-Music Inclusion Project, Nassau County Museum of Art, Japan Foundation, and Korean Language Association.","St. John’s University, Queens College, Queensborough College, The Cooper Union for the Advancement of Science and Art, C. W. Post Campus-Long Island University, Syracuse University, New York University (NYU), John Jay College of Criminal Justice, School of Visual Arts, Teachers College, State University of New York, Adelphi University, Dowling College, and Five Towns College.",4134578.0
718-803-7105,ESL,Yes,"Chess Team, Classics, Debate Team, Art Exhibitions, Green Club, International Thespian Society, Key Club, Math Team, Mock Trial Team, Model UN, Moot Court Team, National Honor Society, Robotics, Science, Student Government, Yearbook, Future Doctors, Fitness, buildOn, 4H Club, Junior State of America, Science Olympiad, Philosophy, Maspeth Aeronautics and Space Association (MASA), Literary Magazine, Homeric Society, Gilder Lehrman, String Ensemble, MHS Choir, Dance Company, Cheerleading, Speech Team, Unity, Red Cross, Judo",Priority to District 24 students or residents who attend an information session,,49302.0,info@maspethhighschool.org,"Municipal Credit Union, Maspeth Federal Savings Bank, TD Bank",30.0,,Premier Care,2:35 PM,Then to District 24 students or residents,1,,"International Thespian Society, Theater Development Fund","St. John's University, SUNY Stony Brook University, CUNY Queens College, New York University",4062864.0
718-969-3552,ESL,Yes,"Academic Intervention Services, After-school Debate, Annual Blood Drive, Arista, Band, Basketball, Breast Cancer Awareness Program, City Harvest, College Prep Workshops, Debate, Disaster Relief Initiatives, Double Dutch, FED Challenge, Feed the Hungry Campaign, Guidance Workshops, Haitian Relief Fund, Health and Wellness, Health Science, Independent Study, Leadership Class, Mock Trial, Physics, PM School, Regents Tutoring, Santa’s Helpers Toy Drive, Saturday Academy and Journalism Class, Social Wellness, St. Jude Children’s Research Hospital, Step Team, Student Government, Teacher Assistant Program (TAP), Theatre Guild, Yearbook",Priority to continuing 8th graders,,1267.0,,Working in Support of Education (W!SE)- Financial Literacy Program,24.0,,"Queens Hospital Center, Mount Sinai Hospital of Queens",2:30 PM,Then to New York City residents,1,,,"York College, Queens College, St. John's University, Queensboro Community College",4539721.0
718-860-1321,ESL,Yes,"Community Service, Cultural Enrichment, Dance, Fitness, Heritage, Chess Club, ALPHA FEM, Men of Majesty, Peer Tutoring, Mentor Program, Grade Committees, Yearbook",Priority to New York City residents who attend an information session,,87.0,dcarthan@schools.nyc.gov,,17.0,,Morris Heights Health Center,2:20 PM,,1,"Community School: Offers personalized learning opportunities during and after school, social services, and family engagement programs; iLearnNYC: Program for expanded online coursework and self-paced learning",Opening Act,"Hostos Community College (College Now Program), Monroe College (Jumpstart Program), Gotta Go Tours (College Tours)",2005616.0
718-712-3273,ESL,Yes,"Brotherhood and Sisterhood Leadership Groups, MOUSE Squad, Peer Tutors, Peer Mediators, Community Service, Student Advisory Board, Improv Group, QPA School Band, QPA Cafe Expressions, Chess, Video Editing Club, DJ Club",Priority to Queens students or residents who attend an information session,,330.0,,,31.0,,,2:35 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"Comedy Hall of Fame, LEAP","St. Johns' University Advantage Program, York College College Now Program, Columbia University Teachers' College",4280845.0
718-858-0492,ESL,Yes,"Artists Society, Dance, Graphic Art Studio, Internships, Making Beats Music Studio Production, Mentoring with Visiting Artists, Spoken Word, Student Council",Priority to Brooklyn students or residents who attend an information session,,15.0,cfonseca@schools.nyc.gov,,33.0,,,4:00 PM,Then to New York City residents,1,,"Brooklyn Academy of Music, Tribeca Film Institute, Brooklyn Museum, Hip-Hop Theater Festival, The Scratch DJ Academy, Sweat Equity Enterprises, Build Magazine, Rush Philanthropic Arts Foundation, Jazz at Lincoln Center, Dancing in the Streets, Urban Bush Women, Cooper-Hewitt National Design Museum, Grammy Foundation, Red Hot+Riot, Willie Mae Rock Camp, Big Brothers Big Sisters, Red Bull Music, Burton's Chill Snow Boarding Program, Disney Theatrical Productions, Eyebeam, Urban Word NYC, Boost Mobile, Free City Art Alive","Pratt Institute, New York University (Department of Recorded Music), Bard College Master of Arts in Teaching (MAT) Program, Teachers College/Columbia University",3000216.0
718-589-9849,ESL,Yes,"Advancement via Individual Determination (AVID), buildOn, Character Education, Leadership Program, College Summit, Community Service, National Honor Society, PM School, Student Council, Study Jams; Clubs vary each year according to student interest",Priority to Bronx students or residents who attend an information session,,135.0,mdones@schools.nyc.gov,,16.0,,,3:00 PM,Then to New York City residents,1,,Bronx Arts Ensemble,"Hostos Community College, Monroe College, Teachers College",2004526.0
718-728-3478,"ESL, Transitional Bilingual Education: Spanish",No,"Arista – National Honor Society, Afro-Cuban Hand Drumming, Art, Badminton, Brilliant Cheer Pack, Alumni Crew, Clipper, Theatre Company, Debate Club, Generation Citizen, Greek, Group Piano Lessons, Key, Mediterranean, Model United Nations, Muslim Students Association, Nepali, Tibetan, Writing/Progressions, Filipino, Multicultural, Dance Company, Indoor Soccer, Science Trekkies, Fashion/Modeling, Media, Photography, Cooking and Marital Arts Clubs, Mock Trail, Student Government",Priority to Queens students or residents,,163.0,jnarvaez@schools.nyc.gov,Commerce & Chase Banks,26.0,,,3:29 PM,,5,iLearnNYC: Program for expanded online coursework and self-paced learning,"Museum of Natural History, Metropolitan Opera/Mannes, Queens College, Queens Museum, ArtsConnection, National Choral Council","NYU, Queens College, Hunter College, St. John's University, La Guardia Community College,Mercy College and John Jay College",4013655.0
718-945-8958,ESL,No,"Metropolitan Museum of Art High School Tour Program, Scholars’ Shadow Internships, Guitar, The World of Art; Carnegie Hall Program, Art & Design, Band, Chorus, Dance, Digital Photography, Drama, Drawing, Film Production, Independent Art Studio Morning Program, Journalism, Key Club, LEGO Robotics, Mathletes, Mentoring Program, Multicultural, Painting, Peer Tutoring, Percussion, SAT Prep, Sculpture, Shakespeare, Spanish Culture, Stage Crew, Student Government, Summer Jobs Program, Video Editing, Video Yearbook, Yearbook, Knitting & Crocheting, PBIS, Peer Mentoring, Stock Market Game",Priority to continuing 8th graders,"Arts, Math, Science",938.0,fwilliams@scholarsnyc.com,Broadridge Financial Services,32.0,,The nearest hospital to Scholars' Academy is St. Johns Hospital in Far Rockaway.,3:35 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"Broadway Junior Project, New York City Ballroom Dancing, Rockaway Artists Alliance, Magic Box Video Productions","York College, St. Joseph's College, Queens College School of Education, and St. Francis College.",4303722.0
