ind3outcome,join,ind4definition,ind8rank,ind2outcome,ind7,ind1
0.646,3706,Median income of neighborhood residents with 5 or more years housing tenure,50.0,0.282616386,Tax Credit Utilization,Job Training And Placement Support
0.0,3701,Racial/ethnic mix of mortgage loans originated in the past year,,1.639194973,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
36.63738584,4108,Median income-to-poverty line ratio of residents age 65 and older,,0.678,Participatory Budgeting,Homeownership Opportunity
0.66,4006,Median income of neighborhood residents with 5 or more years housing tenure,28.0,0.463084297,Tax Credit Utilization,Job Training And Placement Support
0.028571429,4015,Racial/ethnic mix of mortgage loans originated in the past year,,2.16009381,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
0.0,3802,Racial/ethnic mix of mortgage loans originated in the past year,,0.846929112,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
25.23409126,3805,Median income-to-poverty line ratio of residents age 65 and older,,0.563,Participatory Budgeting,Homeownership Opportunity
44.91133882,3806,Median income-to-poverty line ratio of residents age 65 and older,,0.615,Participatory Budgeting,Homeownership Opportunity
0.0,4013,Racial/ethnic mix of mortgage loans originated in the past year,,3.039732504,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
0.222222222,3707,Racial/ethnic mix of mortgage loans originated in the past year,,0.65702063,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
,4105,,,,,"Goal 1: Access to Affordable, High-Quality Financial Services"
0.03,4104,Average (mean) amount of money spent monthly on transportation per household,,0.60978,,Access To Groceries
0.648,4003,Median income of neighborhood residents with 5 or more years housing tenure,35.0,0.389457397,Tax Credit Utilization,Job Training And Placement Support
30.54120817,4011,Median income-to-poverty line ratio of residents age 65 and older,,0.655,Participatory Budgeting,Homeownership Opportunity
223.1683474,3810,Median income-to-poverty line ratio of residents age 65 and older,,0.502,Participatory Budgeting,Homeownership Opportunity
0.022727273,4004,Racial/ethnic mix of mortgage loans originated in the past year,,3.24294843,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
0.1,3806,Average (mean) amount of money spent monthly on transportation per household,,0.88984,,Access To Groceries
,3807,,,,,
,3901,,,,,"Goal 1: Access to Affordable, High-Quality Financial Services"
,4014,,,,,"Goal 1: Access to Affordable, High-Quality Financial Services"
51.16684389,4103,Median income-to-poverty line ratio of residents age 65 and older,,0.655,Participatory Budgeting,Homeownership Opportunity
,3702,,,,,
,4005,,,,,"Goal 1: Access to Affordable, High-Quality Financial Services"
0.534,4018,Median income of neighborhood residents with 5 or more years housing tenure,30.0,0.386986351,Tax Credit Utilization,Job Training And Placement Support
0.14,4106,Average (mean) amount of money spent monthly on transportation per household,,0.55104,,Access To Groceries
0.626,3704,Median income of neighborhood residents with 5 or more years housing tenure,38.0,0.407148705,Tax Credit Utilization,Job Training And Placement Support
0.17,3801,Average (mean) amount of money spent monthly on transportation per household,,0.59125,,Access To Groceries
0.0,4102,Racial/ethnic mix of mortgage loans originated in the past year,,1.384565966,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
0.14,4008,Average (mean) amount of money spent monthly on transportation per household,,0.61739,,Access To Groceries
,4110,,,,,
0.759,4102,Percentage of households that pay more than 30% of income on rent,,0.531,Financial Counseling,Ability To Borrow At Low Cost
0.551,3705,Median income of neighborhood residents with 5 or more years housing tenure,51.0,0.259700947,Tax Credit Utilization,Job Training And Placement Support
0.817,4109,Percentage of households that pay more than 30% of income on rent,,0.553,Financial Counseling,Ability To Borrow At Low Cost
,3805,,,,,"Goal 1: Access to Affordable, High-Quality Financial Services"
,4013,,,,,"Goal 1: Access to Affordable, High-Quality Financial Services"
,3706,,,,,
0.0,3702,Racial/ethnic mix of mortgage loans originated in the past year,,0.623523462,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
0.0,3704,Racial/ethnic mix of mortgage loans originated in the past year,,1.467170138,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
0.03030303,4014,Racial/ethnic mix of mortgage loans originated in the past year,,2.001916987,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
34.51052571,4109,Median income-to-poverty line ratio of residents age 65 and older,,0.595,Participatory Budgeting,Homeownership Opportunity
0.67,4112,Median income of neighborhood residents with 5 or more years housing tenure,32.0,0.447616081,Tax Credit Utilization,Job Training And Placement Support
,3707,,,,,"Goal 1: Access to Affordable, High-Quality Financial Services"
0.552,3804,Median income of neighborhood residents with 5 or more years housing tenure,41.0,0.375916176,Tax Credit Utilization,Job Training And Placement Support
36.29697074,4106,Median income-to-poverty line ratio of residents age 65 and older,,0.693,Participatory Budgeting,Homeownership Opportunity
0.713,3805,Median income of neighborhood residents with 5 or more years housing tenure,1.0,0.739902725,Tax Credit Utilization,Job Training And Placement Support
0.0,3705,Racial/ethnic mix of mortgage loans originated in the past year,,0.69828745,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
,4101,,,,,"Goal 1: Access to Affordable, High-Quality Financial Services"
,4112,,,,,"Goal 1: Access to Affordable, High-Quality Financial Services"
0.64,4107,Median income of neighborhood residents with 5 or more years housing tenure,46.0,0.303700943,Tax Credit Utilization,Job Training And Placement Support
59.73529796,3809,Median income-to-poverty line ratio of residents age 65 and older,,0.349,Participatory Budgeting,Homeownership Opportunity
,3809,,,,,"Goal 1: Access to Affordable, High-Quality Financial Services"
0.1,4101,Average (mean) amount of money spent monthly on transportation per household,,0.61909,,Access To Groceries
0.859,3706,Percentage of households that pay more than 30% of income on rent,,0.914,Financial Counseling,Ability To Borrow At Low Cost
0.038461538,3801,Racial/ethnic mix of mortgage loans originated in the past year,,1.188854036,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
0.0,4005,Racial/ethnic mix of mortgage loans originated in the past year,,2.664512136,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
