account_id,app_id,num_events,num_minutes,page_id,remote_ip,server_name,occurred_at,user_agent,visitor_id,_fivetran_synced,_fivetran_id,page_event_key,previous_page_id,previous_page_event_at,previous_page_num_minutes,previous_page_num_events,page_name,page_rules,product_area_name,product_area_id,app_display_name,app_platform,previous_page_name,previous_product_area_name,previous_page_product_area_id
RDV_00000001,-323223,7,18,ZNO_00000000000000000000001,68.265.258.1293,fivetrAn.cOm7,2021-03-15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.43593.128 Safari/537.36",RVU_0000000001,2021-02-27,val2793,ce6ee7742b753914dd4a85144655b58a,,,,,google2,//*/dashboArd8,val3776,val4652,FIvetran,weB,,,
RDV_00000002,-323230,18,4,ZNO_00000000000000000000002,1402.15.201.55,fivEtRan.com4,2021-07-07,"MozillA/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.362",RVU_0000000002,2021-01-13,val6406,ca07bc128c2ba0ba68d9abc73c39736a,,,,,normal PaGe,//7*/dashBOArd87,val3796,Val4652,fivetran4,WeB0,,,
RDV_00000003,-323234,2,3,ZNO_00000000000000000000003,137.183.4.119,Fivetran.com2,2020-12-02,"Mozilla/5.0 (MacIntosh; Intel mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.43896.128 Safari/537.366",RVU_0000000003,2021-04-29,val6500,5e50be4a7ca8e4f50f4a56e379895f53,,,,,GOoglE20,//7*/dasHbOard872,vAl3706,VaL46527,fIvetraN0,weB5,,,
RDV_00000004,-323240,33,16,ZNO_00000000000000000000004,68.225.2510.1291,fIvetRan.Com,2021-03-12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like GeCko) Chrome/89.0.4389.128 Safari/537.367",RVU_0000000004,2021-02-23,val4403,c87d3d732e9149a9ba17c57c41a1258b,,,,,PendO8 test Page8,//*/dashBoArd,val37061,vaL465272,FIveTran8,web14,,,
RDV_00000005,-323222,15,23,ZNO_00000000000000000000005,190.85.2017.557,fIvetran.com0,2021-06-07,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebkit/537.36 4(KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",RVU_0000000005,2021-06-23,val3382,29638832c5a95338a33c6989afaf90af,,,,,gOOGle26,//7*1/dasHBOard877,val57760,vaL4512724,FiveTran,wEB4,,,
RDV_00000006,-323232,4,17,ZNO_00000000000000000000006,137.103.4.1151,fivetrAn8.cOm,2020-12-29,"Mozilla3/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) chrome/86.0.4240.198 Safari/537.36",RVU_0000000006,2021-01-25,val8268,1df9bc093dd48a58b261354eae1fd162,,,,,gOoglE20,//5*/dasHbOard8725,vAl370092,vaL415272,FivEtran,weB5,,,
RDV_00000007,-323239,26,22,ZNO_00000000000000000000007,137.1034.4.119,fivetran.com5,2021-05-30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.96 Edg/91.0.864.416",RVU_0000000007,2021-05-17,val2138,5762681a78532c36a1955578e052b5ca,,,,,nOrmal paGe,//8*1/dasHbOard870,vAl36065,Val46528,fiVetrAn5,web1,,,
RDV_00000008,-323233,8,13,ZNO_00000000000000000000008,137.108.4.119,fivetran.coM,2020-11-29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.06.4389.114 Safari/537.368",RVU_0000000008,2021-02-24,val6748,a923ae44ad50ef44ad0a08d79b612ddf,,,,,woRld9,//*/dasHboard87,vAl36060,vaL45127250,FivetraN0,wEb7,,,
RDV_00000009,-323226,19,22,ZNO_00000000000000000000009,167.94.197.1974,fivetraN.com9,2021-03-30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 18_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.362",RVU_0000000009,2021-06-07,val8431,a8a5833c9dae12e8b47aa1c7fd836832,,,,,woRlD95,//7*/dasHBOard87,vaL37991,val41828,FIvetRan3,wEb,,,
RDV_00000010,-323235,3,17,ZNO_00000000000000000000010,68.225.257.104,fivetran2.com0,2021-04-29,"MoziLla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",RVU_0000000010,2021-01-19,val2966,cf323743b1a4b51be99177b482ca4154,,,,,PenDo Test Page,//7197*/dasHBOard870,Val571600,vaL4652424,FIvEtraN0,Web,,,
RDV_00000011,-323231,26,25,ZNO_00000000000000000000011,2607:fea8:8580:c7001:f4e1:4a34:6ec6:7619,fivEtRan.com,2020-11-29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.364 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.419",RVU_0000000011,2021-04-01,val2828,7271aecb85876e5f502f7696c65c61b1,,,,,Pendo TEst Page,//5*/dasHBOArd87258,val577661,vAl46528,FiVetran9,web2,,,
RDV_00000012,-323227,12,24,ZNO_00000000000000000000012,190.15.201.15,fivetRan.com,2021-04-26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 SafarI/5377.360",RVU_0000000012,2021-05-08,val9608,551ad1f99bbdebe7e3665eebc6d7884d,,,,,PenDo teST Page3,//7197*/dasHBoard870,vAl367701,vaL8952725,FivetrAn,wEb,,,
RDV_00000013,-323225,19,5,ZNO_00000000000000000000013,107.103.4.1194,fiVetraN.com5,2021-03-14,"Mozilla/5.0 (WindowS NT 10.0; WIn64; x64) AppleWebKit/537.36 (KHTML,2 like Gecko) Chrome/89.0.4389.114 Safari/537.364",RVU_0000000013,2021-06-17,val2093,fa5fe405f763efa68b1fe2dae6633d02,,,,,WorlD912,6//7*/dasHBoArd,Val57730,VaL44526,fIvetran7,wEb,,,
RDV_00000014,-323238,11,12,ZNO_00000000000000000000014,2607:fea8:8580:c700:f3e1:4a34:6ec6:76192,fivEtran.com8,2021-03-20,"Mozilla/51.0 (Windows NT 10.0; Win64; x64) AppleWebKit/538.36 (KHTML, like Gecko) Chrome/89.0.7389.114 Safari/537.368",RVU_0000000014,2021-03-29,val7058,f116b0d21ee91ef025e51fa11d64ec29,,,,,woRld95,//7*1/dasHBOard8771,Val5776615,vaL82827250,FIVeTran8,weB2,,,
