license_number,phone,average_vehicle_age,booking_app,email,sector_average_injury_crashes_per_vehicle,address,sector_average_average_vehicle_age,top_vehicle_models_5,_2015_honor_roll_base,top_vehicle_models_1,:@computed_region_92fq_4b7q,base_safety_violations_per_vehicle
B02382,718-743-8042,7.0,,MISHKAK@LIVE.COM,0.01,2104 AVENUE X  BROOKLYN NY 11235,3.8,Toyota Highlander,No,Lincoln Town Car,15.0,0.0
B02787,646.808.3842,2.0,,SEMPERIDE.TRANSPORTATION@GMAIL.COM,0.04,77 WATER STREET 8TH FLOOR NEW YORK NY 10005,3.4,Chevrolet Cruze,No,Nissan Altima,32.0,0.0
B02540,917-371-1533,5.4,,2012.EX555@GMAIL.COM,0.05,38-04   11 STREET  LONG ISLAND CIT NY 11101,7.3,Ford Crown Victoria,No,Ford Escape,33.0,0.04
B02814,718-833-2929,4.0,,BELLLXSERVICE@GMAIL.COM,0.04,405   51 STREET  BROOKLYN NY 11220,3.4,Honda Odyssey,No,Toyota Camry,7.0,0.02
B01083,212-304-8080,5.5,,BROADDYCKMAN200@HOTMAIL.COM,0.05,200 DYCKMAN STREET  NEW YORK NY 10040,7.3,Honda Accord,No,Toyota Camry,39.0,0.01
B02016,516-354-1616,4.7,,CMILLER@PLANETLIMONY.COM,0.01,202 JERICHO TURNPIKE  FLORAL PARK NY 11001,3.8,Chevrolet Suburban,No,Toyota Avalon,,0.0
B02160,718-947-2500,4.5,,BLACKYELLOW57@HOTMAIL.COM,0.04,35-58   12 STREET  LIC NY 11106,3.4,Lincoln MKT,No,Lincoln Town Car,33.0,0.04
B01051,&718-328-1111,5.9,,BQN1010@AOL.COM,0.05,1104 GARRISON AVENUE  BRONX NY 10474,7.3,Ford Crown Victoria,No,Toyota Camry,43.0,0.01
B02819,718-940-0044,2.7,,MENDOZARACSO@AOL.COM,0.04,787 CONEY ISLAND AVENUE  BROOKLYN NY 11218,3.4,Ford Crown Victoria,No,Toyota Camry,11.0,0.0
B02030,718-243-2094,8.7,,INFO@800BLUE.COM,0.05,137 COURT STREET  BROOKLYN NY 11201,7.3,,No,Lincoln Town Car,38.0,0.0
