license_number,vehicle_safety_technology_used,serving_areas,borough,percent_hybrid_alt_fuel_vehicles,_24_hours,:@computed_region_yeji_bk3q,green_taxi_service,hosted_vision_zero_training,top_vehicle_models_2,year_base_opened,website,base_name,location-_2015_honor_roll_drivers
B02715,No,New York City,MANHATTAN,8.0,Not Reported,4.0,No,Yes,Toyota Avalon,2013.0,,,"{'latitude': '40.752365', 'longitude': '-73.9885'}-0.0"
B00325,No,New York City,QUEENS   ,6.0,Not Reported,3.0,No,Yes,Toyota Camry,1997.0,,,"{'latitude': '40.762236', 'longitude': '-73.87128'}-0.0"
B00278,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,Yes,Lincoln Town Car,1997.0,,,"{'latitude': '40.676416', 'longitude': '-73.984273'}-1.0"
B01667,No,New York City,QUEENS   ,3.0,Not Reported,3.0,No,Yes,Lincoln Town Car,1997.0,,,"{'latitude': '40.770532', 'longitude': '-73.836442'}-1.0"
B02724,No,New York City,,0.0,Yes,,No,No,Chevrolet Tahoe,2014.0,,(PRIME TIME GLOBAL),"{'latitude': '41.046382', 'longitude': '-73.56163'}-0.0"
B02816,No,New York City,BRONX    ,25.0,Not Reported,5.0,Yes,No,Toyota Camry,2014.0,,,"{'latitude': '40.843784', 'longitude': '-73.845129'}-0.0"
B00078,Yes,New York City,BRONX    ,0.0,Not Reported,5.0,No,No,Chevrolet Tahoe,1986.0,,,"{'latitude': '40.803251', 'longitude': '-73.90843'}-0.0"
B02747,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,Yes,Toyota Sienna,2014.0,,,"{'latitude': '40.681771', 'longitude': '-73.98047'}-0.0"
B01663,No,New York City,QUEENS   ,5.0,Not Reported,3.0,Yes,Yes,Toyota Camry,1998.0,,,"{'latitude': '40.752202', 'longitude': '-73.85365'}-0.0"
B01875,No,New York City,BRONX    ,25.0,Not Reported,5.0,No,No,Toyota Avalon,2000.0,,,"{'latitude': '40.8153', 'longitude': '-73.929004'}-1.0"
B02855,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Chevrolet Impala,2015.0,,,"{'latitude': '40.641619', 'longitude': '-73.96416'}-0.0"
B01821,No,New York City,BROOKLYN ,6.0,Not Reported,2.0,Yes,No,Dodge Caravan,1998.0,,,"{'latitude': '40.594949', 'longitude': '-73.956043'}-0.0"
B02229,No,New York City,BRONX    ,5.0,Not Reported,5.0,No,No,Lincoln Town Car,2007.0,,(ELEGANTE),"{'latitude': '40.816803', 'longitude': '-73.862557'}-0.0"
B00375,No,New York City,BRONX    ,17.0,Not Reported,5.0,Yes,Yes,Honda Accord,1997.0,,,"{'latitude': '40.844708', 'longitude': '-73.90983'}-0.0"
B01282,No,New York City,BROOKLYN ,7.0,Not Reported,2.0,No,No,Lincoln Town Car,1997.0,,,"{'latitude': '40.664829', 'longitude': '-73.886868'}-3.0"
B02501,No,New York City,,0.0,Not Reported,,No,No,Lincoln MKT,1983.0,,(MY LIMOUSINE SERVICE),"{'latitude': '40.806649', 'longitude': '-74.373535'}-0.0"
B02180,Yes,New York City,,0.0,Not Reported,,No,No,Mercedes-Benz Sprinter,1994.0,,,"{'latitude': '40.823619', 'longitude': '-74.056919'}-0.0"
B02871,Yes,New York City,MANHATTAN,27.0,Yes,4.0,No,No,Honda Accord,2015.0,,(ACHT),"{'latitude': '40.75242', 'longitude': '-74.00622'}-0.0"
B01800,Yes,New York City,,0.0,Not Reported,,No,No,Cadillac Escalade,1999.0,,(EMPIRE INTERNATIONAL),"{'latitude': '40.78084', 'longitude': '-74.080302'}-0.0"
B02796,No,New York City,QUEENS   ,4.0,Not Reported,3.0,No,Yes,Cadillac XTS,2014.0,,,"{'latitude': '40.76451', 'longitude': '-73.905073'}-0.0"
B02480,No,New York City,QUEENS   ,6.0,Not Reported,3.0,No,Yes,Chevrolet Suburban,2011.0,,,"{'latitude': '40.763637', 'longitude': '-73.904449'}-1.0"
B02651,No,New York City,BROOKLYN ,37.0,Not Reported,2.0,Yes,Yes,Ford Escape,2013.0,,,"{'latitude': '40.638931', 'longitude': '-73.982954'}-0.0"
B01626,No,New York City,QUEENS   ,4.0,Not Reported,3.0,No,No,Toyota Sienna,1996.0,,,"{'latitude': '40.706245', 'longitude': '-73.80929'}-0.0"
B01177,No,Staten Island and nearby locations,STATEN IS,0.0,Not Reported,1.0,No,No,Toyota Camry,2009.0,,(AA PDQ CAR & LIMO SERVICE),"{'latitude': '40.566361', 'longitude': '-74.10189'}-0.0"
B00029,No,New York City,BRONX    ,5.0,Not Reported,5.0,No,No,Mercury Grand Marquis,1997.0,,,"{'latitude': '40.871273', 'longitude': '-73.847835'}-0.0"
B01315,No,New York City,BRONX    ,14.0,Not Reported,5.0,Yes,No,Lincoln Town Car,1998.0,,,"{'latitude': '40.837752', 'longitude': '-73.86334'}-2.0"
B01989,No,New York City,MANHATTAN,0.0,Not Reported,4.0,No,No,Mercedes-Benz Sprinter,2002.0,,,"{'latitude': '40.747641', 'longitude': '-73.981929'}-0.0"
B01010,No,New York City,BROOKLYN ,36.0,Not Reported,2.0,Yes,No,Ford Escape,1997.0,,(COLUMBIA STREET CAR SERVICE),"{'latitude': '40.677492', 'longitude': '-74.006165'}-0.0"
B02852,No,New York City,QUEENS   ,10.0,Not Reported,3.0,No,No,Toyota Sienna,2015.0,,,"{'latitude': '40.680275', 'longitude': '-73.848047'}-0.0"
B01406,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Toyota Avalon,1997.0,,(LEGEND CAR SERVICE),"{'latitude': '40.681771', 'longitude': '-73.98047'}-0.0"
B00412,No,New York City,BROOKLYN ,18.0,Not Reported,2.0,No,Yes,Toyota Avalon,1985.0,{'url': 'http://WWW.NYC2WAY.COM'},(NYC TWO WAY ),"{'latitude': '40.678782', 'longitude': '-73.98998'}-0.0"
B00160,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Lincoln Town Car,1999.0,,,"{'latitude': '40.608102', 'longitude': '-73.95738'}-0.0"
B01268,No,New York City,STATEN IS,0.0,Not Reported,1.0,No,No,Dodge Caravan,1997.0,,(CLOVE LAKE CARS),"{'latitude': '40.617782', 'longitude': '-74.101897'}-0.0"
B01318,Yes,Lower Manhattan,MANHATTAN,1.0,Not Reported,4.0,No,No,Toyota Sienna,1994.0,,,"{'latitude': '40.726235', 'longitude': '-73.977574'}-0.0"
B00941,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,Yes,Ford Crown Victoria,1997.0,,,"{'latitude': '40.69682', 'longitude': '-73.74364'}-0.0"
B00008,No,New York City,QUEENS   ,0.0,Not Reported,3.0,Yes,No,Chrysler Town and Country,1997.0,,(FOUR ONES CAR SERVICE),"{'latitude': '40.70681', 'longitude': '-73.87768'}-0.0"
B00492,No,The Bronx,BRONX    ,0.0,Not Reported,5.0,No,No,Toyota Camry,1999.0,,,"{'latitude': '40.898142', 'longitude': '-73.854019'}-0.0"
B02712,No,New York City,BROOKLYN ,12.0,Not Reported,2.0,No,No,,2013.0,,,"{'latitude': '40.612302', 'longitude': '-73.963221'}-0.0"
B00855,Yes,The Rockaways,QUEENS   ,10.0,Not Reported,3.0,No,No,Lincoln Town Car,1967.0,,,"{'latitude': '40.603497', 'longitude': '-73.75385'}-0.0"
B02410,No,New York City & the Tri-State Area,MANHATTAN,5.0,Not Reported,4.0,No,Yes,Lincoln Town Car,2010.0,{'url': 'http://www.pololimo.com'},,"{'latitude': '40.778792', 'longitude': '-73.949371'}-0.0"
B00054,No,New York City,QUEENS   ,34.0,Not Reported,3.0,No,No,Lincoln Town Car,1997.0,,(LATCH CAR SERVICE),"{'latitude': '40.683921', 'longitude': '-73.813971'}-0.0"
B00789,No,New York City,QUEENS   ,10.0,Not Reported,3.0,No,No,Toyota Highlander,1983.0,,,"{'latitude': '40.746697', 'longitude': '-73.926818'}-1.0"
B02597,No,New York City,,0.0,Not Reported,,No,No,Chevrolet Suburban,2012.0,,(RUDY'S EXECUTIVE TRANSPORTATION),"{'latitude': '41.022593', 'longitude': '-73.619392'}-0.0"
B00837,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Cadillac Escalade,2000.0,,,"{'latitude': '40.740878', 'longitude': '-73.942043'}-0.0"
B00084,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,Yes,Chevrolet Suburban,1997.0,,,"{'latitude': '40.736268', 'longitude': '-73.916901'}-0.0"
B01081,No,New York City,BROOKLYN ,7.0,Not Reported,2.0,Yes,No,Chrysler Town and Country,1997.0,,,"{'latitude': '40.648318', 'longitude': '-73.89232'}-0.0"
B02080,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Toyota Sienna,2004.0,,(4 U LUXURY CAR SERVICE),"{'latitude': '40.703715', 'longitude': '-73.927365'}-0.0"
B02865,Yes,New York City,MANHATTAN,5.0,Yes,4.0,No,No,Toyota Highlander,2015.0,,(VIER),"{'latitude': '40.75273', 'longitude': '-74.006408'}-0.0"
B01912,No,New York City,,0.0,Not Reported,,No,No,Toyota Camry,2000.0,,,"{'latitude': '40.82848', 'longitude': '-73.394994'}-0.0"
B02824,No,New York City,BROOKLYN ,10.0,Not Reported,2.0,No,No,Hyundai Sonata,2015.0,,,"{'latitude': '40.605445', 'longitude': '-74.008379'}-0.0"
B0185 4,No,New York City,,0.0,Not Reported,,No,No,Chevrolet Suburban,1999.0,,,"{'latitude': '40.922042', 'longitude': '-74.069773'}-0.0"
B02525,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Ford Expedition,2012.0,,,"{'latitude': '40.740521', 'longitude': '-73.94747'}-0.0"
B02590,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Cadillac Escalade,2012.0,,,"{'latitude': '40.680577', 'longitude': '-74.00932'}-0.0"
B00305,No,New York City,BRONX    ,6.0,Not Reported,5.0,No,No,Ford Focus,1997.0,,,"{'latitude': '40.843558', 'longitude': '-73.856319'}-0.0"
B01569,No,New York City,QUEENS   ,0.0,Not Reported,3.0,Yes,No,Ford Crown Victoria,1997.0,,(JAMAICA EXPRESS #2 CAR SERVICE),"{'latitude': '40.690245', 'longitude': '-73.824027'}-0.0"
B01644,Yes,New York City,,1.0,Not Reported,,No,No,Lincoln Navigator,1996.0,{'url': 'http://www.musicexpress.com'},,"{'latitude': '40.901484', 'longitude': '-74.115919'}-0.0"
B02634,No,New York City,,20.0,Not Reported,5.0,No,No,Lincoln Town Car,2013.0,,,"{'latitude': '40.86927', 'longitude': '-73.90281'}-1.0"
B02681,No,New York City,QUEENS   ,17.0,Not Reported,3.0,No,Yes,Toyota Prius,2013.0,,,"{'latitude': '40.739787', 'longitude': '-73.863455'}-0.0"
B02408,No,New York City,QUEENS   ,4.0,Not Reported,3.0,No,Yes,Lincoln Town Car,2010.0,,,"{'latitude': '40.758334', 'longitude': '-73.92795'}-1.0"
B02890,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Ford E350,2015.0,,,"{'latitude': '40.695191', 'longitude': '-73.93237'}-0.0"
B02878,Yes,New York City,MANHATTAN,13.0,Yes,4.0,No,No,Toyota Highlander,2015.0,,(ELF),"{'latitude': '40.75273', 'longitude': '-74.00641'}-0.0"
B01362,Yes,Manhattan & the Bronx,BRONX    ,9.0,Not Reported,5.0,Yes,Yes,Lincoln Town Car,1994.0,,,"{'latitude': '40.814476', 'longitude': '-73.914387'}-2.0"
B01714,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,Yes,Ford Crown Victoria,1997.0,,,"{'latitude': '40.663967', 'longitude': '-73.944671'}-1.0"
B01 976,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Lincoln MKT,2002.0,,(PARTNERS EXECUTIVE TRANSPORT),"{'latitude': '40.782137', 'longitude': '-73.826104'}-0.0"
B02727,No,New York City,,0.0,Not Reported,,No,No,Lincoln Town Car,2014.0,,,"{'latitude': '40.803977', 'longitude': '-73.40549'}-0.0"
B01353,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Lincoln Town Car,1997.0,,,"{'latitude': '40.617534', 'longitude': '-74.03347'}-0.0"
B01616,No,New York City,QUEENS   ,10.0,Not Reported,3.0,No,Yes,Toyota Camry,1997.0,,(SUNNYSIDE CAR SERVICE),"{'latitude': '40.739709', 'longitude': '-73.890955'}-0.0"
