property_name,address_1,worship_facility_gross_floor,weather_normalized_site_eui,financial_office_gross_floor,performing_arts_gross_floor,alert_data_center_issue_with,office_percent_that_can_be,year_built,office_weekly_operating_hours,weather_normalized_site,electricity_use_generated_1,ambulatory_surgical_center,estimated_values_water,weather_normalized_source_1,last_modified_date_property,national_median_site_eui,annual_maximum_demand_meter,parent_property_name,energy_star_certification_2,residence_hall_dormitory,hotel_percent_that_can_be,fuel_oil_4_use_kbtu,estimated_data_flag_fuel,source_eui_kbtu_ft,generation_date,account_id,water_use_intensity_all_water,direct_ghg_emissions_metric,hospital_general_medical_5,difference_from_national_1,irrigated_area_ft,list_of_all_property_use,difference_from_national,multifamily_housing_resident,number_of_buildings,electricity_use_grid_purchase,estimated_data_flag_district,parking_gross_floor_area,borough,data_center_pdu_input_meter,multifamily_housing_number_3,alert_energy_meter_has_single,annual_maximum_demand_mm,diesel_2_use_kbtu,national_median_reference,source_energy_use_kbtu,weather_normalized_site_3,third_party_certification_2,address_2,national_median_source_energy,hospital_general_medical,source_energy_use_adjusted
"610019 - 14920 Maspeth, NY",5002 55th Ave,,,,,Ok,,1950,,,,,Unable to Check (not enough data),,,28.5,,,No,,,,,,2018-04-23T00:00:00.000,29242,,,,,,Non-Refrigerated Warehouse,,,1,,,,QUEENS,,,Possible Issue,,,CBECS - Unrefrigerated Warehouse & Distribution Center,,,,,28302778.6,,
Boro Park,4915 10th Avenue,,,,,Ok,,1960,,,,,No,,03/07/2018 06:06 PM EST,366.5,,,No,,,,,259.9,2018-03-12T00:00:00.000,58761,,2264.6,0.68987,-50.9,,Hospital (General Medical & Surgical),-50.9,,1,9927551.4,,,,,,Possible Issue,,,CBECS - Inpatient Healthcare,75941131.9,,,,154732637.7,759.8,75941131.9
Wendi Realty LLC,51-01 Grand Ave,,28.3,,,Ok,,1940,,8.3,,,No,10681128.8,02/19/2018 03:33 PM EST,67.5,,,Yes,,,,,89.9,2018-02-20T00:00:00.000,5251,10.21,0.0,,-57.6,,Refrigerated Warehouse,-57.6,,1,3440512.5,,,QUEENS,,,Ok,,,SCIEU - Refrigerated Warehouse,10803209.4,996961.6,,,25462598.0,,10803209.4
Lewis Realty - 3410 190,1819 Flushing Avenue,,35.3,,,Ok,,1950,,3.0,,,No,3543051.7,04/03/2018 12:12 PM EDT,41.9,,,No,,,,,54.7,2018-04-03T00:00:00.000,20170,0.02,69.3,,-24.1,,Distribution Center,-24.1,,1,616209.6,,,QUEENS,,,Ok,,,CBECS - Unrefrigerated Warehouse & Distribution Center,3304413.3,183094.3,,,4356469.8,,3304413.3
GT DiMaggio LLC,1679 East 3 st,,96.5,,,Ok,,1941,,3.1,,,No,7682316.9,03/30/2018 03:59 PM EDT,99.6,,,No,,,,,120.5,2018-04-04T00:00:00.000,208685,68.99,276.2,,-5.8,62000.0,Multifamily Housing,-5.8,No specific resident population,1,655546.3,,,BROOKLYN,,1.15385,Ok,,,Fannie Mae Industry Survey - Multifamily,7518905.9,190378.9,,,7982843.7,,
Village Place Corporation,35 East 12th Street,,61.4,,,Ok,,1928,,1.0,,,No,4616148.7,02/28/2018 01:45 PM EST,84.0,,,No,,,,,65.6,2018-02-28T00:00:00.000,195760,3057.85,178.4,,-33.8,,Multifamily Housing,-33.8,No specific resident population,1,222174.0,,,MANHATTAN,,0.71454,Ok,,,Fannie Mae Industry Survey - Multifamily,4224078.5,65115.5,,,6376729.2,,4323014.9
BETHCO - 164-11 Chapin,164-11 Chapin Parkway,,,,,Ok,,1950,,,,,No,,,125.7,,,No,,,,No,,2018-03-28T00:00:00.000,46448,,,,,,Senior Care Community,,,1,,,,QUEENS,,,Ok,,,CBECS - Nursing,,,,,23199794.1,,
Bandil Farms Inc.,2861 Bainbridge Ave.,,73.2,,,Ok,,1952,,2.9,,,No,4301464.2,03/30/2018 03:58 PM EDT,89.1,,,Yes,,,,,91.8,2018-04-03T00:00:00.000,39980,51.4,134.9,,-24.1,,Multifamily Housing,-24.1,No specific resident population,1,435756.8,,,BRONX,,1.09215,Ok,,,Fannie Mae Industry Survey - Multifamily,4034114.9,129189.2,,,5311852.1,,4034114.9
"Group 2020, LLC",P.O.Box 190322,,65.1,,,Ok,,1928,,0.6,,,No,3567148.0,03/20/2018 09:08 AM EDT,102.9,,,No,,,,No,68.2,2018-03-26T00:00:00.000,8690,,152.7,,-41.0,,Multifamily Housing,-41.0,No specific resident population,1,103178.9,,,,,1.20408,Ok,,,Fannie Mae Industry Survey - Multifamily,3342627.0,30462.4,,,5660818.5,,3342627.0
Ares,31-22 College Point Blvd,,,,,Ok,,2011,,,,,No,,03/05/2018 08:57 AM EST,,,,No,,,,,,2018-03-05T00:00:00.000,91980,7.02,0.0,,,,"Manufacturing/Industrial Plant, Parking",,,1,,,0.0,QUEENS,,,Unable to Check (not enough data),,,,,,,,,,
The Gershwin Hotel,7 East 27th Street,,,,,Ok,,1903,,26.3,,,No,,03/16/2018 10:58 AM EDT,96.7,,,No,,60.0,,,318.2,2018-04-02T00:00:00.000,22357,53.45,121.4,,34.0,,Hotel,34.0,,1,4708881.1,,,MANHATTAN,,,Possible Issue,,,CBECS - Hotel & Motel/Inn,17184986.3,1417829.6,,,12824973.8,,17184986.3
56-11 94TH STREET CO. LLC,56-11 94TH ST,,,,,Ok,,1964,,3.2,,,No,,03/14/2018 02:45 PM EDT,57.7,,,No,,,584000.0,,43.4,2018-03-20T00:00:00.000,8760,33.06,62.5,,-66.1,,"Medical Office, Multifamily Housing",-66.1,,1,1203415.8,,,QUEENS,,1.4,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,4734700.7,352701.0,,,13946949.1,,
57 Front Street - 39492,57 Front Street,,35.0,,,Ok,,1910,,9.0,,,No,6547673.5,03/23/2018 12:28 PM EDT,43.8,,,No,,,,,100.7,2018-04-04T00:00:00.000,31047,93.82,12.5,,-21.3,,"Medical Office, Multifamily Housing, Other - Services, Supermarket/Grocery Store",-21.3,No specific resident population,1,1995452.6,,,BROOKLYN,,1.2895,Ok,,,Fannie Mae Industry Survey - Multifamily,6512648.0,584729.2,,,8274652.5,,
Coed Hall,230 West 27 Street,,67.4,,,Ok,,1980,,7.7,,,No,12781172.5,02/16/2018 10:36 AM EST,88.5,Electricity 490118860500005 (4044858),,No,97000.0,,,,129.4,2018-03-22T00:00:00.000,8679,106.77,9.0,,-26.0,,Residence Hall/Dormitory,-26.0,,1,2549446.4,No,,MANHATTAN,,,Ok,2017-08-01T00:00:00.000,,CBECS - Dormitory,12550617.1,747199.9,,,16970439.1,,12550617.1
Fashion Tower,135 W36 St.,,,,,Ok,100.0,1923,49.0,8.5,,,No,,02/16/2018 11:43 AM EST,103.6,Electric (4054489),,No,,,2095950.5,,112.2,2018-02-16T00:00:00.000,65225,15.77,157.8,,-52.7,,"Office, Retail Store",-52.7,,1,3158235.2,,,MANHATTAN,,,Possible Issue,2017-08-01T00:00:00.000,,CBECS - Office & Bank/Financial,12034185.3,912068.0,,,25429473.9,,12034185.3
2AA-4,210 Amsterdam Avenue,,141.2,,,Ok,,1926,,8.7,,,No,34687027.3,03/22/2018 04:26 PM EDT,112.6,,,No,,,,,203.7,2018-03-23T00:00:00.000,31047,77.87,915.6,,19.3,,"Multifamily Housing, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",19.3,No specific resident population,1,4939857.6,,,MANHATTAN,,3.12903,Ok,,,Fannie Mae Industry Survey - Multifamily,33610279.6,1434750.7,,,28164271.9,,33610279.6
"2753 Realty, LLC",2753 Ocean Avenue,,85.8,,,Ok,,1923,,0.5,,,No,4612513.9,03/09/2018 01:27 PM EST,103.9,,,Yes,,,,,88.2,2018-03-09T00:00:00.000,15099,68.91,205.9,,-22.5,0.0,Multifamily Housing,-22.5,No specific resident population,1,86155.5,,,BROOKLYN,,0.97561,Ok,,,Fannie Mae Industry Survey - Multifamily,4341105.0,25447.0,,,5599157.3,,4341105.0
220 South St,220 South St,,36.3,,,Ok,,1927,,8.1,,,No,24552438.0,04/04/2018 01:58 PM EDT,17.6,,,No,,,,,95.0,2018-04-04T00:00:00.000,37225,,99.6,,99.7,,Self-Storage Facility,99.7,,1,7091412.1,,,MANHATTAN,,,Ok,,,CBECS - Unrefrgerated Warehouse & Storage,24236880.0,2078373.8,,397-415 Water Street,12139383.7,,
3 East 43rd Street,3 East 43rd Street,,79.9,,,Ok,,1909,,23.4,,,No,10036684.0,03/05/2018 11:06 AM EST,83.6,,,No,,,,,246.8,2018-03-12T00:00:00.000,53293,22.18,0.0,,-6.0,,College/University,-6.0,,1,3144282.1,,,MANHATTAN,,,Ok,,,CBECS - College/University,9873045.6,936810.0,,,10503599.9,,
AIMCO 182-188 Columbus Avenue,182-188 Columbus Avenue,,103.4,,,Ok,,1910,,7.2,,,No,4118678.0,03/26/2018 04:40 PM EDT,74.4,,,No,,,,,159.9,2018-03-27T00:00:00.000,21411,93.18,107.8,,38.9,0.0,Multifamily Housing,38.9,No specific resident population,1,633093.3,,,MANHATTAN,,1.39984,Ok,,,Fannie Mae Industry Survey - Multifamily,4118678.0,185549.0,,,2965370.8,,4118678.0
Montclair Gardens Inc.,3535 75 ST,,90.7,,,Ok,,1944,,0.7,,,No,10492830.6,02/24/2018 10:23 AM EST,117.5,,,No,,,,,92.2,2018-02-24T00:00:00.000,35108,76.9,446.9,,-29.4,,Multifamily Housing,-29.4,,1,256342.4,,,QUEENS,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,9639523.6,75129.6,,,13650642.2,,9639523.6
MSKCC Ambulatory Care: Josie Robertson Surgery Center,1133 York Ave,,239.3,,,Ok,,2015,,26.5,,238000.0,No,104849356.3,02/13/2018 12:07 PM EST,83.7,,,No,,,,,439.7,2018-03-12T00:00:00.000,64300,40.44,1846.3,,183.4,,Ambulatory Surgical Center,183.4,,1,21703638.0,,,MANHATTAN,,,Ok,,,CBECS - Outpatient Healthcare,104647946.2,6316638.3,,,36932074.9,,
134,134 Ocean Parkway,,,,,Ok,,1931,,,,,No,,03/03/2018 10:00 AM EST,131.1,,,No,,,,,29.8,2018-03-03T00:00:00.000,60900,0.83,52.7,,-78.4,,Multifamily Housing,-78.4,No specific resident population,0,,,,BROOKLYN,,1.6,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,1041599.9,,,,4816671.3,,1041599.9
The Salem House,520 East 81st Street,,,,,Ok,,1955,,,,,No,,02/20/2018 10:13 PM EST,92.8,,,No,,,,,201.9,2018-02-20T00:00:00.000,58761,71.71,426.2,,57.8,,"Multifamily Housing, Parking",57.8,No specific resident population,1,1495515.8,,10000.0,MANHATTAN,,1.4,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,13122210.3,,,,8315462.2,,
950 Jennings Street,950 Jennings Street,,71.8,,,Ok,,1998,,4.3,,,No,11138855.6,03/15/2018 11:47 AM EDT,80.7,,,Yes,,,,,101.1,2018-03-29T00:00:00.000,11575,63.48,292.2,,-16.9,,Multifamily Housing,-16.9,Other dedicated housing,1,1542577.7,,,BRONX,,1.22857,Ok,,,Fannie Mae Industry Survey - Multifamily,10620079.9,452103.6,,,12780432.5,,10620079.9
East 96th St Parkview Associates LLC,108 EAST 96TH S,,104.7,,,Ok,,1971,,8.5,,,No,17913160.1,02/28/2018 02:52 PM EST,69.0,,,No,,,,,167.4,2018-03-20T00:00:00.000,8760,42.67,393.9,,45.4,,Multifamily Housing,45.4,,1,3116179.6,,,,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,17571499.2,893763.0,,,12082022.2,,17571499.2
"NH Lenox Health, Greenwich Village",20-40 7th Avenue,,,,,Ok,,1964,,31.1,,,No,,03/25/2018 07:04 PM EDT,81.2,,,No,,,,,446.8,2018-03-25T00:00:00.000,47907,0.0,7.2,,144.5,,Urgent Care/Clinic/Other Outpatient,144.5,,1,17198065.3,No,,MANHATTAN,,,Ok,,96627.6,CBECS - Clinic/Outpatient,71489753.6,4981414.7,,,29235588.0,,
Grandview,1245 Grandview Place,,113.5,,,Ok,,1938,,3.9,,,No,7307921.2,03/29/2018 04:58 PM EDT,98.2,,,No,,,4599875.6,,139.7,2018-04-02T00:00:00.000,41137,86.65,363.4,,11.8,,Multifamily Housing,11.8,No specific resident population,1,681205.8,,,BRONX,,1.2549,Ok,,,Fannie Mae Industry Survey - Multifamily,7123113.2,199059.7,,,6368580.3,,7123113.2
15 East 10th Street Owners,15 East 10th Street,,,,,Ok,,1910,,,,,No,,03/12/2018 10:21 PM EDT,94.2,,,No,,,,,126.0,2018-03-12T00:00:00.000,58761,,148.1,,-3.3,,Multifamily Housing,-3.3,No specific resident population,1,526306.2,,,MANHATTAN,,1.39993,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,4580940.4,,,,4735072.3,,4580940.4
Olnick - Third Lenox Terrace,25 West 132nd Street,,93.2,,,Ok,,1958,,4.3,,,No,35210391.4,03/29/2018 11:39 AM EDT,104.5,,,Yes,,,19169656.1,,119.7,2018-03-29T00:00:00.000,41987,37.16,1495.7,,-16.9,,Multifamily Housing,-16.9,No specific resident population,1,4194502.7,,,MANHATTAN,,2.04025,Ok,,,Fannie Mae Industry Survey - Multifamily,33568833.4,1208905.1,,,40401825.9,,33568833.4
pjl realty corp,56-72 49th Street,,42.8,,,Ok,,1965,,12.5,,,No,11276917.2,03/02/2018 07:53 AM EST,68.2,,,No,,,,,135.9,2018-03-02T00:00:00.000,121543,0.68,0.0,,-36.5,,Refrigerated Warehouse,-36.5,,1,3636452.3,,,QUEENS,,,Ok,,,SCIEU - Refrigerated Warehouse,11418460.3,1052571.6,,,17987494.0,,11418460.3
Moinian - 60 Madison Avenue,60 Madison Avenue,,83.3,,,Ok,100.0,1910,46.17,14.9,,,No,33745279.9,03/16/2018 01:45 PM EDT,120.9,,,Yes,,,,No,192.3,2018-04-03T00:00:00.000,19173,,388.3,,-32.6,,"Fitness Center/Health Club/Gym, Office, Outpatient Rehabilitation/Physical Therapy",-32.6,,1,9059887.7,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,33732570.4,2612856.4,,,50052989.1,,33938676.4
Alini Enterprises Inc.,95 West 162nd Street,,76.7,,,Ok,,1927,,3.3,,,No,3256180.6,03/30/2018 03:58 PM EDT,104.6,,,Yes,,,,No,104.0,2018-04-03T00:00:00.000,39980,89.74,116.9,,-26.5,,Multifamily Housing,-26.5,No specific resident population,1,357323.9,,,BRONX,,1.93651,Ok,,,Fannie Mae Industry Survey - Multifamily,3275487.4,102923.6,,,4456914.6,,3275487.4
1424-1426 Walton,1424-1426 Walton Ave,,119.0,,,Ok,,1924,,5.8,,,No,10053700.5,03/27/2018 09:50 AM EDT,101.3,,,No,,,,,155.3,2018-03-27T00:00:00.000,21058,81.13,292.5,,8.7,,Multifamily Housing,8.7,No specific resident population,1,1146689.2,,,BRONX,,1.93702,Ok,,,Fannie Mae Industry Survey - Multifamily,9382785.6,351766.4,,,8629086.0,,9382785.6
Monrose Realty Corp,240 Audubon Avenue,,110.0,,,Ok,,1920,,1.1,,,Yes,5414266.6,03/30/2018 08:54 AM EDT,126.6,,,Yes,,,,,114.6,2018-03-30T00:00:00.000,68460,109.15,228.8,,-19.6,,Multifamily Housing,-19.6,No specific resident population,1,163267.2,,,MANHATTAN,,2.39006,Ok,,,Fannie Mae Industry Survey - Multifamily,5036364.2,47850.9,,,6264722.8,,5036364.2
Justin - 213 West 35 Street,213 West 35th Street,,,,,Ok,,1921,,,,,No,,,59.6,,,No,,,,No,,2018-04-02T00:00:00.000,46448,,,,,,Multifamily Housing,,No specific resident population,1,,,,MANHATTAN,,0.48265,Ok,,,Fannie Mae Industry Survey - Multifamily,,,,,20939741.1,,
227 Ocean Parkway - 39503,227 Ocean Parkway,,80.9,,,Ok,,1963,,3.5,,,No,7489025.8,03/23/2018 12:28 PM EDT,100.3,,,Yes,,,,,104.4,2018-04-04T00:00:00.000,31047,37.07,230.1,,-24.7,,Multifamily Housing,-24.7,No specific resident population,1,816582.4,,,BROOKLYN,,1.67371,Ok,,,Fannie Mae Industry Survey - Multifamily,7113709.2,238698.5,,,9441579.2,,7113709.2
Ramaz School - 60 E 78 St,60 East 78 Street,,,,,Ok,,1980,,,,,Unable to Check (not enough data),,03/29/2018 05:35 PM EDT,58.2,,,No,,,,,,2018-04-02T00:00:00.000,46448,,0.0,,,,K-12 School,,,1,,,,MANHATTAN,,,Unable to Check (not enough data),,,CBECS - Elementary/Middle & High School,,,,,11003862.4,,
1710 Montgomery Avenue,1710 Montgomery Avenue,,,,,Ok,,1927,,3.9,,,No,,03/12/2018 02:27 PM EDT,94.8,,,No,,,,No,128.8,2018-04-01T00:00:00.000,15870,72.81,273.4,,1.6,,Multifamily Housing,1.6,,1,822381.0,,,BRONX,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,7986669.9,243919.6,,,7863615.2,,7986669.9
Shulsky- 330 Fifth Avenue,330 Fifth Avenue,,75.5,,,Ok,100.0,1925,50.0,15.4,,,No,29519272.5,03/08/2018 12:59 PM EST,102.5,,,Yes,,,,,189.9,2018-04-04T00:00:00.000,19173,20.34,189.1,,-26.2,,"College/University, Office, Other",-26.2,,1,8231315.5,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,29584190.3,2406400.9,,,40080317.3,,29584190.3
103-55 LLC,103-55 97TH STREET,,102.0,,,Ok,,1928,,0.2,,,No,3406109.0,03/22/2018 09:42 AM EDT,111.9,,,No,,,,,103.0,2018-03-23T00:00:00.000,214576,119.44,160.6,,-13.5,0.0,Multifamily Housing,-13.5,No specific resident population,1,19482.5,,,QUEENS,,1.39994,Ok,,,Fannie Mae Industry Survey - Multifamily,3235733.5,5710.0,,,3741430.3,,3235733.5
141 Willoughby Street,141 Willoughby Street,,5.8,,,Ok,,1989,,1.7,,,Unable to Check (not enough data),797158.5,03/05/2018 11:36 AM EST,45.0,,,No,,,,,18.1,2018-03-22T00:00:00.000,103060,,0.0,,-87.2,,Other - Education,-87.2,,1,253872.1,,,BROOKLYN,,,Ok,,,CBECS - Education,797158.5,74405.7,,,6223424.1,,
CFASS,62-100 Imlay Street,,,,,Ok,,1913,,22.8,,,No,,03/26/2018 03:42 PM EDT,19.8,,,No,,,,,,2018-03-28T00:00:00.000,140336,,,,,,Self-Storage Facility,,,1,18705461.1,,,BROOKLYN,,,Ok,,,CBECS - Unrefrgerated Warehouse & Storage,,5482256.4,,,11421539.9,,
5.01E+76,501 East 74th Street,,70.3,,,Ok,,2016,,6.5,,,No,12023580.9,03/16/2018 11:26 AM EDT,66.8,,,No,,,,,117.1,2018-03-16T00:00:00.000,207032,25.54,234.9,,-0.2,,Multifamily Housing,-0.2,No specific resident population,1,2249248.8,,,MANHATTAN,,1.19,Ok,,,Fannie Mae Industry Survey - Multifamily,11706536.6,650622.9,,,11724873.3,,11706536.6
B & T Realty LLC,70 East 8th.Street,,67.4,,,Ok,,1960,,0.9,,,Unable to Check (not enough data),4504624.6,03/28/2018 09:54 AM EDT,98.5,,,No,,,,,71.6,2018-03-28T00:00:00.000,8690,,185.0,,-36.7,,Multifamily Housing,-36.7,,1,170822.8,,,BROOKLYN,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,4194209.8,50065.3,,,6629154.8,,4194209.8
1301 Surf Ave,1301 Surf Avenue,,,,,Ok,,1925,,,,,Unable to Check (not enough data),,04/26/2018 05:40 PM EDT,73.4,,,No,,0.0,,,,2018-04-26T00:00:00.000,210213,,0.0,,,0.0,Hotel,,,1,,,,BROOKLYN,,,Ok,,,CBECS - Hotel & Motel/Inn,,,,,8959072.4,,
Burnside 2314 Morris Ave,2314 Morris Ave,,,,,Ok,,1923,,4.9,,,Unable to Check (not enough data),,03/23/2018 11:43 AM EDT,104.5,,,No,,,,No,193.6,2018-03-29T00:00:00.000,11575,,279.2,,48.8,,Multifamily Housing,48.8,,1,467428.0,,,BRONX,,1.78995,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,5301128.4,135418.8,,,3562467.6,,5301128.4
ESRT - 501 7th Ave*,501 7th Avenue,,79.3,,,Ok,100.0,1928,51.5,14.4,,,No,84047187.6,02/19/2018 01:58 PM EST,103.0,,,Yes,,,,No,182.1,2018-04-03T00:00:00.000,33409,14.66,868.5,,-26.3,,"Fast Food Restaurant, Office, Retail Store",-26.3,,1,22510266.5,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,82885551.1,6541509.7,,,112463319.1,,82885551.1
188 Ludlow St,188 Ludlow St,,92.3,,,Ok,,2007,,11.7,,,No,37935213.4,03/28/2018 04:55 PM EDT,66.0,,,No,,,,,178.2,2018-04-04T00:00:00.000,37225,45.44,538.7,,34.7,,Multifamily Housing,34.7,,1,8527439.3,,,MANHATTAN,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,37425574.7,2463770.0,,,27782077.4,,37425574.7
160 Lawrence Avenue,160 lawrence avenue,,131.8,,,Ok,,1985,,14.1,,,No,9794640.9,02/07/2018 09:53 AM EST,62.6,,,No,,,,,239.4,2018-03-16T00:00:00.000,59894,444.8,182.2,,110.9,,K-12 School,110.9,,1,1979444.3,,,BROOKLYN,,,Ok,,,CBECS - Elementary/Middle & High School,9816972.1,578057.5,,,4655274.3,,9816972.1
