longitude,street_name,nta,facility_type,lot,start_date-building_owner_name
-73.901388,Corlear Avenue,Spuyten Duyvil-Kingsbridge,School,240.0,2018-06-14T00:00:00.000-Manhattan College
-73.951145,West 138th Street,Manhattanville,School,166.0,2022-10-07T00:00:00.000-NYC School Construction Authority (NYCSCA)
,103 RD AVE,,Residence,3.0,2021-07-18T00:00:00.000-NEOMI GHAFUR
-73.959632,West 120th Street,Morningside Heights,School,1.0,2019-03-29T00:00:00.000-Board of Trustees Columbia University
-73.912351,Bristol Street,Brownsville,School,8.0,2025-12-08T00:00:00.000-NYC School Construction Authority (NYCSCA)
-74.009869,Broadway,Battery Park City-Lower Manhattan,Residence,17.0,2023-07-25T00:00:00.000-Hanley Braginsky
-73.845746,229th Drive South,Eastchester-Edenwald-Baychester,Residence,3.0,2025-06-02T00:00:00.000-CSA Preservation Partners LLC
-73.800784,Willets Point Blvd,Ft. Totten-Bay Terrace-Clearview,Residence,10.0,2023-06-08T00:00:00.000-Clearview Gardens Corporation
-73.927904,Lincoln Avenue,Mott Haven-Port Morris,Residence,1.0,2025-10-23T00:00:00.000-New York City Housing Authority (NYCHA)
-73.910514,31st Avenue,Astoria,School,2.0,2023-12-22T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.891762,Flatlands Avenue,Canarsie,Other,205.0,2021-05-25T00:00:00.000-New York City Housing Authority (NYCHA)
-73.985808,Amsterdam Avenue,Lincoln Square,Residence,101.0,2020-09-16T00:00:00.000-New York City Housing Authority (NYCHA)
-73.868115,Croes Avenue,Soundview-Castle Hill-Clason Point-Harding Park,Residence,1.0,2025-10-06T00:00:00.000-ABA Sack Wern LLC
-73.908029,Webster Avenue,Claremont-Bathgate,Residence,1.0,2024-07-17T00:00:00.000-New York City Housing Authority (NYCHA)
-73.980092,East 24th Street,Murray Hill-Kips Bay,Residence,1.0,2024-06-24T00:00:00.000-Virginia Crespo
-73.907616,Weeks Avenue,Mount Hope,School,28.0,2018-03-16T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.964251,COLUMBUS AVENUE,Upper West Side,Residence,1.0,2024-05-09T00:00:00.000-New York City Housing Authority (NYCHA)
-73.863644,Lafayette Ave,Soundview-Castle Hill-Clason Point-Harding Park,Residence,17.0,2025-07-07T00:00:00.000-ABA Sack Wern LLC
-73.976343,Madison Avenue,Midtown-Midtown South,Commercial,21.0,"2022-05-31T00:00:00.000-Rudin Management Company, Inc"
-73.963285,East 76th Street,Upper East Side-Carnegie Hill,Commercial,21.0,2018-04-09T00:00:00.000-Hotel Carlyle Owners Corp.
-73.984081,Wyckoff Street,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Residence,1.0,2025-11-30T00:00:00.000-New York City Housing Authority (NYCHA)
-74.008494,Bethune Street,West Village,Residence,1.0,"2025-05-09T00:00:00.000-Westbeth Corp HDFC, Inc."
-73.963786,Claremont Ave.,Morningside Heights,School,1.0,2024-06-17T00:00:00.000-Barnard College
-73.978986,east 4th street,Lower East Side,School,20.0,2021-07-05T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.851285,Burke Avenue,Allerton-Pelham Gardens,Residence,1.0,2021-10-05T00:00:00.000-New York City Housing Authority (NYCHA)
-73.799706,45th Ave,East Flushing,School,18.0,2024-06-28T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.94982,East 85th Street,Yorkville,Residence,47.0,2022-05-02T00:00:00.000-400 East 85th Street Realty Corp. c/o AKAM Onsite
-73.824794,Cooper Place,Co-op City,Residence,120.0,2024-12-02T00:00:00.000-Riverbay Corporation
-73.947781,East End Avenue,Yorkville,Residence,27.0,2019-03-14T00:00:00.000-10 East End Ave Owners Inc c/o Wallack Mgmt LLC
-73.783423,90th Avenue,Jamaica,School,1.0,2025-03-21T00:00:00.000-NYC School Construction Authority (NYCSCA)
,,,,,2020-01-20T00:00:00.000-NYC Dept of Transportation (NYCDOT)
-73.905014,St Pauls Place,Claremont-Bathgate,School,1.0,2018-07-09T00:00:00.000-NYC School Construction Authority (NYCSCA)
,South Elliot Place,,Residence,8.0,2021-04-13T00:00:00.000-First Atlantic Terminal Housing Corp
-73.983372,West End Avenue,Upper West Side,Residence,77.0,2019-04-16T00:00:00.000-305 West End Property LLC
-74.14424,willowbrook Rd,Port Richmond,School,500.0,2024-04-19T00:00:00.000-NYC School Construction Authority (NYCSCA)
