source_relation,date_day,campaign_id,impressions,spend,currency,conversions,tap_installs,new_downloads,tap_new_downloads,redownloads,tap_redownloads,taps
"",2021-12-17,973923054,100,5.09,USD,0,0,0,0,0,0,5
"",2021-12-20,973923054,63,0.32,USD,0,0,0,0,0,0,3
"",2021-12-12,973923054,249,5.56,USD,2,2,2,2,0,0,7
"",2021-12-09,973923054,1605,25.08,USD,1,1,1,1,0,0,31
"",2021-12-13,973923054,492,5.26,USD,1,1,1,1,0,0,7
"",2021-12-11,973923054,290,5.71,USD,1,1,1,1,0,0,5
"",2021-12-16,973923054,318,5.07,USD,1,1,1,1,0,0,5
"",2021-12-14,973923054,350,5.03,USD,4,4,4,4,0,0,11
"",2021-12-19,973923054,426,5.95,USD,4,4,4,4,0,0,9
"",2021-12-18,973923054,403,5,USD,2,2,2,2,0,0,9
"",2021-12-10,973923054,1494,25.88,USD,6,6,6,6,0,0,27
"",2021-12-15,973923054,546,6.05,USD,3,3,3,3,0,0,10
"",2021-12-09,973923054,1371,34.56,USD,26,26,26,26,0,0,160
"",2022-04-25,973923054,118,43.8,USD,1,1,1,1,0,0,21
"",2025-11-25,973923054,716,25.11,USD,20,20,20,20,0,0,129
"",2022-05-04,973923054,1430,61.64,USD,113,113,113,113,0,0,205
"",2025-07-26,973923054,443,36.81,USD,48,48,48,48,0,0,82
"",2025-06-02,973923054,617,71.65,USD,23,23,23,23,0,0,121
"",2025-06-04,973923054,1038,69.31,USD,96,96,96,96,0,0,196
"",2023-07-04,973923054,244,7.86,USD,11,11,11,11,0,0,26
"",2025-07-28,973923054,866,49.99,USD,54,54,54,54,0,0,138
"",2023-01-08,973923054,888,43.51,USD,11,11,11,11,0,0,162
"",2023-09-13,973923054,1343,24.53,USD,52,52,52,52,0,0,141
"",2022-01-05,973923054,1917,80.57,USD,1,1,1,1,0,0,54
"",2022-02-21,973923054,1948,72.39,USD,100,100,100,100,0,0,194
"",2024-06-26,973923054,847,41.07,USD,41,41,41,41,0,0,138
"",2022-11-25,973923054,1726,75.98,USD,122,122,122,122,0,0,261
"",2023-07-01,973923054,559,45.24,USD,7,7,7,7,0,0,47
"",2023-04-26,973923054,259,37.23,USD,6,6,6,6,0,0,28
"",2024-11-22,973923054,1962,89.33,USD,39,39,39,39,0,0,99
"",2024-12-10,973923054,1873,30.74,USD,121,121,121,121,0,0,342
"",2022-07-24,973923054,769,92.16,USD,11,11,11,11,0,0,26
"",2024-11-13,973923054,1986,25.09,USD,11,11,11,11,0,0,132
"",2025-02-23,973923054,1608,69.89,USD,23,23,23,23,0,0,54
"",2022-12-15,973923054,1690,11.25,USD,62,62,62,62,0,0,200
"",2025-10-08,973923054,1890,42.93,USD,17,17,17,17,0,0,121
"",2025-04-17,973923054,1042,73.14,USD,103,103,103,103,0,0,183
"",2023-02-09,973923054,874,87.26,USD,67,67,67,67,0,0,149
"",2024-12-05,973923054,1652,87.56,USD,142,142,142,142,0,0,286
"",2024-12-16,973923054,280,77.2,USD,1,1,1,1,0,0,18
"",2024-10-11,973923054,569,53,USD,2,2,2,2,0,0,11
"",2025-06-26,973923055,1308,31.33,USD,46,46,46,46,0,0,141
"",2023-06-05,973923055,828,28.26,USD,50,50,50,50,0,0,142
"",2025-07-26,973923055,595,87.3,USD,33,33,33,33,0,0,85
"",2022-01-05,973923055,102,93.66,USD,4,4,4,4,0,0,13
"",2024-05-17,973923055,275,88.82,USD,2,2,2,2,0,0,19
"",2025-01-05,973923055,780,73.21,USD,12,12,12,12,0,0,56
"",2022-06-14,973923055,1423,76.58,USD,21,21,21,21,0,0,88
"",2025-03-30,973923055,1207,76.63,USD,32,32,32,32,0,0,169
"",2023-11-03,973923055,501,96.02,USD,13,13,13,13,0,0,25
"",2022-01-14,973923055,320,67.15,USD,10,10,10,10,0,0,52
"",2023-06-11,973923055,501,21.4,USD,3,3,3,3,0,0,82
"",2023-05-10,973923055,140,79.94,USD,5,5,5,5,0,0,24
"",2024-08-02,973923056,1711,17.54,USD,46,46,46,46,0,0,96
"",2024-02-17,973923056,1359,93.3,USD,6,6,6,6,0,0,21
"",2024-06-20,973923056,1382,78.94,USD,60,60,60,60,0,0,116
"",2022-12-26,973923056,1273,62.63,USD,10,10,10,10,0,0,36
"",2023-01-01,973923056,676,73.65,USD,13,13,13,13,0,0,79
"",2023-01-23,973923056,1653,83.18,USD,31,31,31,31,0,0,77
"",2024-10-29,973923056,1490,18.36,USD,3,3,3,3,0,0,14
"",2022-01-09,973923056,1994,18.12,USD,11,11,11,11,0,0,55
"",2023-09-03,973923056,1727,55.55,USD,11,11,11,11,0,0,23
"",2022-04-15,973923056,110,60.56,USD,2,2,2,2,0,0,14
"",2024-02-25,973923056,486,91.94,USD,10,10,10,10,0,0,30
"",2022-09-07,973923057,1969,63.4,USD,82,82,82,82,0,0,216
"",2022-11-02,973923057,204,47.55,USD,1,1,1,1,0,0,11
"",2023-10-31,973923057,505,73.81,USD,53,53,53,53,0,0,95
"",2023-07-28,973923057,1855,44.85,USD,18,18,18,18,0,0,257
"",2023-08-09,973923057,578,43.12,USD,1,1,1,1,0,0,22
"",2022-10-10,973923057,880,11.27,USD,13,13,13,13,0,0,26
"",2023-05-15,973923058,1728,92.88,USD,64,64,64,64,0,0,127
"",2022-03-10,973923058,1773,36.75,USD,77,77,77,77,0,0,247
"",2023-02-08,973923058,176,49.25,USD,4,4,4,4,0,0,14
"",2025-01-15,973923058,448,38.73,USD,9,9,9,9,0,0,20
"",2022-09-09,973923058,818,49.01,USD,21,21,21,21,0,0,134
"",2023-02-10,973923058,736,76.39,USD,6,6,6,6,0,0,11
"",2024-08-13,973923058,1346,79.95,USD,19,19,19,19,0,0,85
"",2022-10-21,973923058,1630,99.27,USD,116,116,116,116,0,0,232
"",2022-10-19,973923058,1335,91.05,USD,21,21,21,21,0,0,83
"",2022-09-03,973923058,1148,59.64,USD,96,96,96,96,0,0,218
"",2022-02-01,973923058,957,21,USD,54,54,54,54,0,0,113
"",2023-02-09,973923059,1742,89.66,USD,32,32,32,32,0,0,84
"",2024-08-01,973923059,1242,13.09,USD,39,39,39,39,0,0,151
"",2024-04-12,973923059,540,12.65,USD,15,15,15,15,0,0,25
"",2025-02-22,973923059,852,5.9,USD,12,12,12,12,0,0,37
"",2024-11-27,973923059,1414,88.39,USD,17,17,17,17,0,0,219
"",2024-06-22,973923059,356,77.59,USD,6,6,6,6,0,0,69
"",2024-05-21,973923059,1080,46.95,USD,14,14,14,14,0,0,149
"",2022-11-01,973923059,673,80.92,USD,10,10,10,10,0,0,49
"",2022-06-24,973923059,259,61.5,USD,28,28,28,28,0,0,47
"",2025-05-27,973923059,792,33.59,USD,58,58,58,58,0,0,147
"",2023-08-14,973923059,850,63.64,USD,51,51,51,51,0,0,107
"",2025-05-18,973923059,524,39.04,USD,2,2,2,2,0,0,57
"",2023-09-02,973923060,1322,95.51,USD,40,40,40,40,0,0,206
"",2024-05-03,973923060,110,93.12,USD,3,3,3,3,0,0,20
"",2024-10-13,973923060,935,96.12,USD,52,52,52,52,0,0,100
"",2025-10-01,973923060,1519,78.93,USD,42,42,42,42,0,0,254
"",2023-04-30,973923060,290,22.3,USD,4,4,4,4,0,0,20
"",2022-02-16,973923060,741,50.85,USD,35,35,35,35,0,0,130
"",2022-01-05,973923060,1317,59.38,USD,49,49,49,49,0,0,100
"",2024-12-28,973923060,433,35.24,USD,8,8,8,8,0,0,57
"",2022-06-26,973923060,1112,31.05,USD,7,7,7,7,0,0,40
"",2025-06-26,973923060,681,51.5,USD,30,30,30,30,0,0,59
"",2022-10-22,973923060,1391,37.77,USD,70,70,70,70,0,0,191
"",2022-07-25,973923060,309,37.23,USD,6,6,6,6,0,0,36
