organizationname,address1,phone,lesbian_gay_bisexual_and_or_transgender,youth_services,child_care_parent_information,immigration,employment_job_training,manhattan,disabilities,counseling_support_groups,education,veterans_military_families,outsidelocdesc,personal_finance_financial_education,longitude
Mayor's Office for People with Disabilities,,2126399675.0,N,N,N,N,Y,Y,Y,N,N,N,,N,
The Brecht Forum--New York Marxist School,451 West St.,2122424201.0,N,N,N,N,N,Y,N,N,Y,N,,N,-74.009995
JBI International,110 East 30th Street,2128892525.0,N,N,N,N,N,Y,Y,N,Y,N,,N,-73.982522
Amethyst House,604 East 40th Street,7188561100.0,N,N,N,N,N,N,Y,Y,N,N,,N,-73.938903
"YM & YWHA of Washington Heights and Inwood, Inc.",54 Nagle Avenue,2125696200.0,N,N,Y,Y,N,Y,Y,Y,Y,N,,N,-73.929129
Forest Hills Volunteer Ambulance Corps,Po Box 750617,7187932055.0,N,N,N,N,N,N,N,N,N,N,,N,
AAUW Manhattan,Planetarium Station,5163181313.0,N,N,N,N,N,Y,N,N,Y,N,,N,
Bottomless Closet,15 Penn Plaza,2125632499.0,N,N,N,N,Y,Y,N,N,N,N,,Y,-73.991327
Church of the Holy Apostles,296 Ninth Avenue,2129240167.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.999401
Global Action Project,4 West 37th St,2125949577.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.983708
"Young Dancers In Repertory, Inc.",PO Box 205037 Sunset Station,3477027155.0,N,Y,N,N,N,N,N,N,N,N,,N,
sylk,861 crotona park north,3478796798.0,N,Y,Y,N,Y,N,Y,Y,Y,N,,Y,-73.889646
OPUS Dance Theatre and Community Services Inc.,1405 5th Ave STE 2S,2129968413.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.946797
American Cancer Society Bronx Region,"2330 Eastchester Rd., 3rd Fl.",7185475064.0,N,N,N,N,N,N,N,Y,Y,N,"Albany,  Nassau, Syossett, Haupauge",N,-73.843064
National Multiple Sclerosis Society,"733 Third Avenue, 3rd Floor",2124637787.0,N,N,N,N,N,Y,N,N,N,N,,N,
Amyotrophic Lateral Sclerosis Association - Greater New York Chapter,"116 John Street, Suite 1304",8006728857.0,N,N,N,N,N,Y,N,N,N,N,,N,-74.00572
Savvy Ladies,"111 John Street, Suite 240",6462168988.0,N,N,N,N,Y,Y,N,N,Y,N,,Y,-74.005764
National Association of University Women,"129-133 West 147 St., #18I",,N,N,N,N,N,Y,N,N,N,N,,N,-73.936399
Northern Manhattan Improvement Corporation,76 Wadsworth Avenue,2128228319.0,N,N,Y,Y,Y,Y,N,N,Y,N,,N,-73.93704
New York Public Interest Research Group: Small Claims Court Action Center,"9 Murray Street, 3rd Floor",2123496460.0,N,N,N,N,N,Y,N,N,N,N,,N,
Harlem Children's Zone,,,N,N,N,N,N,Y,N,N,Y,N,,N,
St. Raymond Community Outreach,1720 Metropolitan Avenue,,N,Y,N,N,N,N,N,N,Y,N,,N,-73.85368
South Bronx Overall Economic Development Corporation,"555 Bergen Avenue, 3rd Floor",7185852600.0,N,N,N,N,N,N,N,N,N,N,,N,-73.916354
