programphone,borough,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,tuehourclose,sathourclose,:@computed_region_f5dn_yrer
718-784-7447,QUEENS,72.0,3.0,04:00,00:00,39.0
718-454-2385,QUEENS,63.0,3.0,05:00,00:00,63.0
718-945-8640,QUEENS,59.0,3.0,04:00,00:00,51.0
718-559-4330,QUEENS,65.0,3.0,05:00,00:00,25.0
212-218-0315,MANHATTAN,11.0,4.0,06:00,03:00,23.0
718-372-5775,BROOKLYN,35.0,2.0,04:00,00:00,21.0
718-806-1080,QUEENS,73.0,3.0,04:00,00:00,65.0
212-349-3724,MANHATTAN,1.0,4.0,03:00,00:00,56.0
212-273-5200,QUEENS,59.0,3.0,05:00,00:00,51.0
718-241-7711,BROOKLYN,38.0,2.0,04:00,00:00,5.0
212-781-5700,MANHATTAN,22.0,4.0,05:00,00:00,47.0
212-273-5200,BROOKLYN,47.0,2.0,,,45.0
718-874-0102,BROOKLYN,56.0,2.0,04:00,00:00,36.0
212-787-7120,MANHATTAN,15.0,4.0,05:00,00:00,20.0
718-646-4100,BROOKLYN,36.0,2.0,04:00,00:00,32.0
212-337-3333,QUEENS,67.0,3.0,05:00,00:00,22.0
347-318-3313,BROOKLYN,52.0,2.0,05:00,00:00,69.0
718-497-2908,QUEENS,62.0,3.0,04:00,00:00,54.0
347-346-9676,BRONX,30.0,5.0,05:00,00:00,29.0
718-273-6808,STATEN ISLAND,74.0,1.0,04:00,00:00,4.0
718-527-5380,QUEENS,63.0,3.0,04:00,00:00,63.0
718-617-3465,BRONX,24.0,5.0,04:00,00:00,8.0
718-891-1110,BROOKLYN,36.0,2.0,04:00,00:00,32.0
718-528-8238,QUEENS,63.0,3.0,05:00,00:00,63.0
718-972-1558,BROOKLYN,39.0,2.0,06:00,06:00,2.0
914-413-5313,BRONX,27.0,5.0,,,50.0
212-453-4564,MANHATTAN,2.0,4.0,04:00,00:00,70.0
212-575-0693,MANHATTAN,8.0,4.0,05:00,00:00,11.0
718-963-3793,BROOKLYN,56.0,2.0,04:00,00:00,36.0
646-626-9748,MANHATTAN,4.0,4.0,05:00,00:00,70.0
212-966-5460,MANHATTAN,2.0,4.0,05:00,00:00,57.0
929-251-6626,BROOKLYN,53.0,2.0,05:00,00:00,42.0
718-548-8200,BRONX,33.0,5.0,05:00,00:00,48.0
212-722-2205,MANHATTAN,16.0,4.0,05:00,00:00,7.0
718-366-3038,BROOKLYN,53.0,2.0,04:00,00:00,42.0
212-308-1959,MANHATTAN,9.0,4.0,04:00,00:00,71.0
718-433-9045,QUEENS,72.0,3.0,05:00,00:00,39.0
212-840-8005,QUEENS,72.0,3.0,00:00,00:00,39.0
718-894-3441,QUEENS,62.0,3.0,04:00,00:00,54.0
718-392-6945,QUEENS,66.0,3.0,05:00,00:00,53.0
718-584-2357,BRONX,31.0,5.0,04:00,00:00,35.0
718-416-4599,BROOKLYN,56.0,2.0,05:00,00:00,36.0
718-253-7800,BROOKLYN,43.0,2.0,04:00,00:00,60.0
212-218-0438,MANHATTAN,11.0,4.0,05:00,00:00,23.0
718-383-5290,BROOKLYN,57.0,2.0,04:00,00:00,36.0
718-268-0895,QUEENS,60.0,3.0,05:00,00:00,46.0
718-292-4922,BRONX,23.0,5.0,04:00,00:00,49.0
718-854-7430,BROOKLYN,39.0,2.0,04:00,00:00,2.0
718-893-3484,BRONX,26.0,5.0,04:00,00:00,58.0
718-416-4554,BROOKLYN,56.0,2.0,,,36.0
718-829-2131,BRONX,30.0,5.0,05:00,00:00,29.0
718-542-0222,BRONX,25.0,5.0,05:00,00:00,34.0
212-233-8930,MANHATTAN,2.0,4.0,05:00,00:00,70.0
718-206-2000,QUEENS,72.0,3.0,,,39.0
718-642-1010,BROOKLYN,47.0,2.0,04:00,00:00,45.0
212-991-3726,MANHATTAN,10.0,4.0,04:30,00:00,12.0
718-478-7171,QUEENS,68.0,3.0,04:00,00:00,66.0
718-686-3222,BROOKLYN,43.0,2.0,05:00,00:00,60.0
212-283-5475,MANHATTAN,20.0,4.0,05:00,00:00,18.0
212-631-7384,BROOKLYN,39.0,2.0,05:00,00:00,2.0
718-253-5557,BROOKLYN,38.0,2.0,05:00,00:00,5.0
718-365-3725,BRONX,34.0,5.0,04:30,00:00,24.0
718-434-3266,BROOKLYN,43.0,2.0,,,60.0
646-395-8083,MANHATTAN,7.0,4.0,04:00,00:00,71.0
718-698-7979,STATEN ISLAND,76.0,1.0,04:00,00:00,30.0
718-773-2600,BROOKLYN,49.0,2.0,05:00,00:00,16.0
718-899-0553,QUEENS,73.0,3.0,05:00,00:00,65.0
718-336-0275,BROOKLYN,38.0,2.0,05:00,00:00,5.0
718-806-1080,QUEENS,60.0,3.0,04:00,00:00,46.0
718-665-5250,BRONX,23.0,5.0,,,49.0
718-429-3636,QUEENS,62.0,3.0,04:00,00:00,54.0
718-449-5000,BROOKLYN,35.0,2.0,,,21.0
212-273-5200,QUEENS,59.0,3.0,,,51.0
718-651-0096,QUEENS,73.0,3.0,03:00,00:00,65.0
212-924-6710,MANHATTAN,6.0,4.0,05:00,00:00,12.0
212-873-6600$,MANHATTAN,15.0,4.0,05:00,00:00,20.0
718-475-5287,STATEN ISLAND,77.0,1.0,05:00,00:00,15.0
718-671-8550,BRONX,30.0,5.0,04:00,00:00,29.0
718-320-2066,BRONX,28.0,5.0,05:00,00:00,43.0
646-726-4299,MANHATTAN,10.0,4.0,,,11.0
718-297-7171,QUEENS,61.0,3.0,05:00,00:00,41.0
718-942-5345,BROOKLYN,46.0,2.0,04:30,00:00,55.0
