uid,facname,latitude,longitude,ct2020,opabbrev,servarea,policeprct,facdomain
01fe9e96f0d4f30f6646e38852f215c8,SAFE SPACE PREVENTIVE,40.6860142872,-73.8273156838,9800.0,Non-public,Local,106,"EDUCATION, CHILD WELFARE, AND YOUTH"
02fa9f043f77df16e95b3a0014eeef60,LITTLE ONES,40.7443305688,-73.9569566783,101.0,Non-public,Local,108,"EDUCATION, CHILD WELFARE, AND YOUTH"
001f05131cec6b8bdc655e1a08aca598,CUYLER PRESBYTERIAN CHURCH,40.6865384374,-73.9865146468,4100.0,,Local,84,"PARKS, GARDENS, AND HISTORICAL SITES"
03eb4d7e3eb7c6a7d6b43fdee98da19d,HOLY CROSS SCHOOL,40.8168690627,-73.8605933877,1600.0,Non-public,Local,43,"EDUCATION, CHILD WELFARE, AND YOUTH"
0626491e3cef12cc278629dfb5f41cce,BRONX TREATMENT CENTER,40.8121114662,-73.9050057302,3100.0,Non-public,Regional,40,HEALTH AND HUMAN SERVICES
0454adb00f5d7e6749b83ff695db31b7,SUNSHINE LEARNING CENTER,40.8149617726,-73.9087768364,7300.0,Non-public,Local,40,"EDUCATION, CHILD WELFARE, AND YOUTH"
009f80322027c5a38e1697dde91d818f,BROOKLYN CENTER FOR PSYCHOTHERAPY INC.,40.6780107005,-73.9734287511,16100.0,Non-public,Regional,78,HEALTH AND HUMAN SERVICES
0005d3c51109b7d8d06a3942c267b95a,G.V.C. LTD. (B2192),40.8382717188,-73.8415246987,9600.0,Non-public,Regional,45,CORE INFRASTRUCTURE AND TRANSPORTATION
050e9cb526cc81fd3338b9fb2b29e96a,NYU LANGONE PERLMUTTER CANCER CENTER-34TH STREET,40.7457188849,-73.9788265259,7200.0,Non-public,Regional,17,HEALTH AND HUMAN SERVICES
053e647aa31bfa8c8181feb099a065d2,ST. FRANCIS THRIFT STORE TEXTILE DROP-OFF SITE,40.794604,-73.970956,18300.0,,Regional,24,CORE INFRASTRUCTURE AND TRANSPORTATION
0414d6be2878c6b252c7019b7f7822e9,OFFICE BLDG,40.693609,-73.990862,900.0,NYCDOT,Regional,84,ADMINISTRATION OF GOVERNMENT
056066f79f32ca9a2b1102a8579fa623,IC BUS INC.,40.6094004742,-74.1883371186,29102.0,Non-public,Regional,121,CORE INFRASTRUCTURE AND TRANSPORTATION
03157f69910b8dd9a8586d3119abeb4d,MIDTOWN COMMUNITY COURT,40.764879,-73.985455,13300.0,NYCOCA,Regional,18,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE"
01d7cee2a2d8ea2796f206b2212c9f9a,BAY RIDGE SUNSET PARK DIALYSIS CENTER,40.6455077087,-74.0238996982,1804.0,Non-public,Regional,72,HEALTH AND HUMAN SERVICES
0472bdf9fbcfe6a1fd56f90d25b3806f,LOUIS HEATON PINK (5),40.6687691274,-73.8645659985,121400.0,Non-public,Local,75,"EDUCATION, CHILD WELFARE, AND YOUTH"
049a16dd260cb32699977c97fed8e3f5,BOHEMIAN BENEVOLENT AND LITERARY ASSOCATION OF THE CITY OF NEW YORK,0.0,0.0,,Non-public,Regional,0,LIBRARIES AND CULTURAL PROGRAMS
01a2c22bcda80480abf264015b104dc7,OUR LADY STAR OF THE SEA PRESCHOOL,40.5331895395,-74.1908047023,17005.0,Non-public,Local,123,"EDUCATION, CHILD WELFARE, AND YOUTH"
04a37b3ff08767a2799d1c2936cb387e,NIA COMMUNITY SERVICES NETWORK INC,40.6349675557,-73.9822191676,23000.0,,Local,66,"EDUCATION, CHILD WELFARE, AND YOUTH"
0433c0cf90cb0bcf052bc2c4547b3c14,TOWN HALL,40.7560900465,-73.984380499,11900.0,,Local,14,"PARKS, GARDENS, AND HISTORICAL SITES"
0165476eae4c88eddd9ede7c9804c4f1,SUPERIOR PARKING LLC,40.771028,-73.948828,13602.0,Non-public,Local,19,CORE INFRASTRUCTURE AND TRANSPORTATION
