phone_number,requirement5_1,requirement6_1,boro,seats9swd5,requirement5_3,academicopportunities4,requirement3_8,grade9swdapplicants7,admissionspriority46,applicants6specialized,program9,admissionspriority62,prgdesc2,borough,interest10,bbl,requirement3_3,admissionspriority61,seats9ge5,admissionspriority74,grade9swdapplicants4,seats9swd4,common_audition2,grade9swdapplicantsperseat2,admissionspriority12,seats9swd6,building_code,requirement2_5,seats9ge6,bin,code9,grade9swdapplicants6,admissionspriority44,specialized,requirement5_2,grade9gefilledflag9,admissionspriority24,prgdesc8,school_accessibility_description,grade9geapplicantsperseat4,requirement4_5,grade9swdfilledflag8,offer_rate6,requirement5_6,seats101,code2,admissionspriority64,program4,program10,seats9swd10,interest6,admissionspriority13,subway,neighborhood,psal_sports_boys,auditioninformation4,nta,grade9swdfilledflag4,grade9gefilledflag8,requirement5_4,grade9swdapplicants5,grade9geapplicants6,appperseat5specialized,program6,admissionspriority110,admissionspriority52
718-333-7860,,,K,,,Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,,,,,,,BROOKLYN ,,3068830001.0,,,,,,,,,,,K400,,,3186454.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,D to 25th Ave; N to Ave U; N to Gravesend-86th St,Gravesend,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,Gravesend                                                                  ,,,,,,,,,
718-388-1260,,,K,,,Paid internship opportunities with professional industry partners.,,,,,,,,BROOKLYN ,,3023300011.0,,,,,,,,,,,K650,,,3062135.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"G to Metropolitan Ave-Lorimer St; J, M, Z to Marcy Ave; L to Bedford Ave",Williamsburg,"Baseball, Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Volleyball",,North Side-South Side                                                      ,,,,,,,,,
212-860-5929,Honors/Accelerated Coursework,,M,,,"Peer Tutoring, SAT Prep Classes, Adobe Digital Photography",,,,,,,,MANHATTAN,,1016120050.0,,,,,,,,,,,M013,,,1051515.0,,,,,,,,,,,,,,,Yes-15,,,,,,,,"2, 3 to Central Park North-110th St; 6 to 103rd St; 6 to 110th St",East Harlem South,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Volleyball, Wrestling",,East Harlem South                                                          ,,,,,,,,,
646-826-8174,,,M,,,College for Every Student (CFES): Four-year program for underserved youth preparing them to gain access to and succeed in college,,,,,,,"Participation in a general elective program that provides a series of elective classes, career exploration, internships, and externships for students. There is an extensive range of corporate/start-up internships including summer paid internships.",MANHATTAN,,1000220013.0,,,,,,,,2,Open to New York City residents,,M282,,,1000811.0,,,,,,,,,1.0,,,,,,Yes-10,M23B,,,,,,,"1, R to Rector St; 1, R to Whitehall St-South Ferry; 2, 3 to Wall St; 4, 5 to Bowling Green; A, C to Fulton St-Broadway-Nassau; E to World Trade Center; J, Z to Broad St; N to South Ferry",Lower Manhattan,"Baseball, Basketball",,Battery Park City-Lower Manhattan                                          ,,,,,,,,,
917-326-6668,Interview,,M,,,"Intensive instruction in ASL, Mindfulness Practices, Arts Matter Partnership",,,,,,,,MANHATTAN,,,,,,,,,,,,,M047,,,,,,,,,,,,1.0,,,,,,Yes-15,,,,,,,,"4, 5, Q to 14th St-Union Square; 6, N, R to 23rd St; L to 3rd Ave",Gramercy,Table Tennis,,Gramercy                                                                   ,,,,,,,,,
718-471-2154,,,Q,,,Extended Day / PM School Programs,,,,,,,,QUEENS   ,,4157360001.0,,,,,,,,,,,Q465,,,4300730.0,,,,,,,,,,,,,,,Yes-10,,,,,,,,A to Beach 25th St-Wavecrest,Far Rockaway-Bayswater,"Baseball, Basketball, Football, Indoor Track, Outdoor Track, Soccer, Swimming, Table Tennis",,Far Rockaway-Bayswater                                                     ,,,,,,,,,
212-246-1041,,,M,,,"Partner-Site visits, college exploration, enrichment & visits, CUNY College Now, Upward Bound, work-based learning partnerships, international travel",,,,,,,,MANHATTAN,,1010590015.0,,,,,,,,,,,M625,,,1026646.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"1, C, E to 50th St; 2 to 59th St-Columbus Circle; A to 42nd St-Port Authority Bus Terminal; B, D to 7th Ave; N, Q, R to 49th St",Clinton,"Baseball, Basketball, Bowling, Handball, Outdoor Track, Soccer, Volleyball",,Clinton                                                                    ,,,,,,,,,
718-561-8701,,,X,,,Small classes that integrate academic content and English language development,,,,,,,,BRONX    ,,2031040007.0,,,,,,,,,,,X660,,,2012887.0,,,,,,,,,,,,,,,No,,,,,,,,,Belmont,"Baseball, Basketball",,Belmont                                                                    ,,,,,,,,,
718-277-1069,,,K,,,College classes are also available to our 11th and 12th graders through our partnership with College Now.,,,,,,,,BROOKLYN ,,3042780001.0,,,,,,,,,,,K218,,,3095977.0,,,,,,,,,,,,,,,Yes-10,,,,,,,,"A, C to Euclid Ave",East New York,Basketball,,East New York                                                              ,,,,,,,,,
718-432-6491,,,X,,,Summer Bridge Program for incoming ninth graders in August (one week),,,,,,,,BRONX    ,,2032530141.0,,,,,,,,,,,X143,,,2015547.0,,,,,,,,,,,,,,,No,,,,,,,,1 to 231st St,Van Cortlandt Village,Basketball,,Van Cortlandt Village                                                      ,,,,,,,,,
