ticket_id,source_relation,schedule_id,schedule_created_at,schedule_invalidated_at
123,zendesk.public,3600,2020-02-04 15:26:26,2026-02-06 14:04:34.490077+08
1404,zendesk.public,360000310393,2020-02-13 21:43:58,2026-02-06 14:04:34.490077+08
1595,zendesk.public,360000310393,2020-02-19 01:54:52,2026-02-06 14:04:34.490077+08
1966,zendesk.public,360000310393,2020-02-27 06:05:08,2026-02-06 14:04:34.490077+08
4721,zendesk.public,360000310393,2020-04-20 14:31:46,2026-02-06 14:04:34.490077+08
6171,zendesk.public,360000310393,2020-05-17 17:50:31,2026-02-06 14:04:34.490077+08
6605,zendesk.public,360000310393,2020-05-26 22:29:50,2026-02-06 14:04:34.490077+08
11013,zendesk.public,360000310393,2020-08-27 23:09:52,2026-02-06 14:04:34.490077+08
11071,zendesk.public,360000310393,2020-08-28 18:06:36,2026-02-06 14:04:34.490077+08
14173,zendesk.public,360000310393,2020-10-28 12:03:02,2026-02-06 14:04:34.490077+08
16988,zendesk.public,360000310393,2020-12-22 00:19:23,2026-02-06 14:04:34.490077+08
76900,zendesk.public,3600,2019-05-29 15:32:24,2026-02-06 14:04:34.490077+08
77569,zendesk.public,3600,2019-06-09 09:42:37,2026-02-06 14:04:34.490077+08
79336,zendesk.public,3600,2019-06-20 19:53:39,2026-02-06 14:04:34.490077+08
79616,zendesk.public,3600,2019-07-11 23:03:43,2026-02-06 14:04:34.490077+08
79972,zendesk.public,3600,2019-07-16 20:11:01,2026-02-06 14:04:34.490077+08
90640,zendesk.public,3600,2019-07-27 15:49:32,2026-02-06 14:04:34.490077+08
93969,zendesk.public,3600,2019-09-19 02:16:54,2026-02-06 14:04:34.490077+08
94490,zendesk.public,3600,2019-09-03 13:57:05,2019-09-25 21:43:09+08
94490,zendesk.public,3600,2019-09-25 21:43:09,2026-02-06 14:04:34.490077+08
