account_id,visitor_id,visitor_last_updated_at,_fivetran_synced
ant_who,commemoration_salient,2021-07-26 12:11:13.275,2021-07-26 20:13:50.594
ant_who,commemoration_salient,2021-07-28 12:12:20.941,2021-07-28 20:14:38.781
ant_who,commemoration_salient,2021-07-29 12:13:26.190,2021-07-29 20:17:14.871
month_train,psychosis_skeptical,2021-07-28 10:30:22.345,2021-07-28 18:35:30.456
month_train,psychosis_skeptical,2021-07-29 08:15:33.456,2021-07-29 16:20:40.567
comedy_cras,straddle_cloud,2020-12-26 09:00:00.123,2020-12-26 20:10:10.234
comedy_cras,straddle_cloud,2020-12-27 10:15:11.234,2020-12-27 21:20:20.345
_etc_acc,confident_face,2020-12-12 08:30:22.345,2020-12-12 20:35:30.456
_etc_acc,confident_face,2020-12-13 09:45:33.456,2020-12-13 21:50:40.567
assemblies_class,mountain_neighbouring,2021-06-19 08:00:44.567,2021-06-19 20:15:50.678
assemblies_class,mountain_neighbouring,2021-06-20 09:15:55.678,2021-06-20 21:30:10.789
famous_modification,river_deep,2021-04-15 08:30:06.789,2021-04-15 20:45:20.89
famous_modification,river_deep,2021-04-16 09:45:17.890,2021-04-16 21:00:30.901
clumsy_tentacle,mountain_high,2021-03-30 18:00:28.901,2021-03-31 08:20:40.012
clumsy_tentacle,mountain_high,2021-03-31 19:15:39.012,2021-04-01 09:35:50.123
1sk7ccaeau_acc,do_over,2021-07-27 14:00:50.123,2021-07-28 00:50:10.234
1sk7ccaeau_acc,do_over,2021-07-28 15:15:01.234,2021-07-28 02:05:20.345
billy_idol,foots_stool,2021-07-26 16:30:12.345,2021-07-27 03:00:30.456
billy_idol,foots_stool,2021-07-27 17:45:23.456,2021-07-27 04:15:40.567
good_day,visitor_extra_1,2021-07-20 12:20:34.567,2021-07-20 23:10:50.678
good_day,visitor_extra_1,2021-07-21 13:35:45.678,2021-07-21 00:25:10.789
white_wedding,visitor_extra_2,2021-07-19 14:10:56.789,2021-07-20 00:20:20.89
white_wedding,visitor_extra_2,2021-07-20 15:25:07.890,2021-07-20 01:35:30.901
new_viewpoint,kettle_popcorn,2021-07-25 18:00:18.901,2021-07-26 04:30:40.012
new_viewpoint,kettle_popcorn,2021-07-26 19:15:29.012,2021-07-26 05:45:50.123
demurrer_cash,people_affirming,2021-07-24 04:00:40.123,2021-07-24 14:40:10.234
demurrer_cash,people_affirming,2021-07-25 05:15:51.234,2021-07-25 15:55:20.345
slingshot_unattended,contradistinction_car,2021-07-23 06:10:02.345,2021-07-23 16:50:30.456
slingshot_unattended,contradistinction_car,2021-07-24 07:25:13.456,2021-07-24 18:05:40.567
vengeance_void,poncho_semi,2021-07-22 08:20:24.567,2021-07-22 18:50:50.678
vengeance_void,poncho_semi,2021-07-23 09:35:35.678,2021-07-23 20:05:10.789
ethereal_cigarette,looking_unconsciousness,2021-07-21 10:30:46.789,2021-07-21 21:00:20.89
ethereal_cigarette,looking_unconsciousness,2021-07-22 11:45:57.890,2021-07-22 22:15:30.901
cabby_distinct,visitor_extra_3,2021-07-18 16:00:08.901,2021-07-19 02:30:40.012
cabby_distinct,visitor_extra_3,2021-07-19 17:15:19.012,2021-07-19 03:45:50.123
turtle_tortuous,visitor_extra_4,2021-07-17 18:10:30.123,2021-07-18 04:40:10.234
turtle_tortuous,visitor_extra_4,2021-07-18 19:25:41.234,2021-07-18 05:55:20.345
true_opossum,visitor_extra_5,2021-07-16 04:20:52.345,2021-07-16 14:50:30.456
true_opossum,visitor_extra_5,2021-07-17 05:35:03.456,2021-07-17 16:05:40.567
lemur_quicker,visitor_extra_6,2021-07-15 06:30:14.567,2021-07-15 17:00:50.678
lemur_quicker,visitor_extra_6,2021-07-16 07:45:25.678,2021-07-16 18:15:10.789
