site_id,latitude,longitude,notes,bbl,catchment_description,catchment_type,census_tract
637,40.642793,-74.07873,Sports Leagues,5000190004,,,9.0
1426,40.812512,-73.92039,Bronx Charter School for Children,2022880007,Bronx CD 001,community district,41.0
425,40.826354,-73.921024,Intake Assessment & Case Management,2024430094,,,61.0
729,,,Operation H.O.O.D (Helping Our Own Develop),,Mermaid Avenue; Surf Avenue; W 20th-W 29th street,other,
627,40.670723,-73.874208,Sports Leagues,3042780001,,,1118.0
648,,,Sports Leagues,,"Marine Park, Brooklyn",other,
1274,40.69087,-73.797493,Arts Therapy - Bright Harp,4121410007,Queens CD 012,community district,260.0
214,40.823998,-73.873893,,2036530050,,,28.0
261,40.70727,-74.004314,AHTP Renewal,1000747501,,,1502.0
1280,40.714472,-73.992767,Asian Americans For Equality,1002947502,Manhattan CD 003,community district,16.0
793,,,,,,borough,
493,,,,,NYCHA Tompkins Houses,other,
445,40.716083,-74.001425,,1001670001,,,29.0
1259,40.688806,-73.992806,Arab American Family Support Center,3002920026,Brooklyn CD 006,community district,45.0
377,40.753432,-73.925705,Supervised Release,4006360047,,,55.0
810,40.892227,-73.853672,,2050000033,,,430.0
1233,40.69737,-73.913171,SONYC Round 3,3033440136,Brooklyn CD 004,community district,433.0
1375,40.648666,-73.975542,"Biobus, Inc",3053190001,Brooklyn CD 007,community district,500.0
355,40.690073,-73.988923,Supervised Release,3001690017,,,43.0
496,,,,,NYCHA St. Nicholas Houses,other,
479,,,,,NYCHA Van Dyke Houses,other,
288,40.851063,-73.908004,,2028280020,,,23301.0
640,40.608511,-74.102067,Sports Leagues,5006830001,,,177.0
253,40.8609,-73.891931,,2030337501,,,38302.0
714,40.686273,-73.950194,,3018080087,,,251.0
779,40.715046,-74.005591,Court notifications,1001500031,,,33.0
1201,40.674102,-73.913273,,3014480001,Brooklyn CD 016,community district,36501.0
1152,40.714054,-73.982797,301 Henry Street Youth Center,1002880021,Manhattan CD 003,community district,202.0
1194,40.690765,-73.971376,Reassignment,3020910003,Brooklyn CD 002,community district,183.0
1172,40.75909,-73.834194,AAFE FLUSHING,4049730006,Queens CD 007,community district,871.0
62,40.846147,-73.841824,,2042260130,,,284.0
847,40.809488,-73.945496,,1019120012,,,224.0
666,,,Mobile Trauma Unit,,Belmont & Concourse Village,other,
803,40.645821,-74.077908,,5000120001,,,7.0
566,40.667252,-73.952195,,3012890025,,,321.0
851,40.668072,-73.89317,,3037900021,,,1158.0
511,,,NStat subcontract,,NYCHA Polo Grounds Towers,other,
529,,,,,,entire city,
734,40.59571,-73.77501,,4158340030,,,97204.0
1311,40.683768,-73.85688,Bangladeshi American Community Development and Yotuh Services,4090180071,Queens CD 009,community district,36.0
466,40.806654,-73.955649,,1019450051,,,257.0
291,40.708356,-74.014814,AHTP Renewal,1000557501,,,13.0
1309,40.857445,-73.927816,Bameso USA,1021700131,Manhattan CD 012,community district,283.0
530,40.700432,-73.961086,,3022160013,,,537.0
963,40.706449,-74.012761,,1000220024,,,9.0
1413,40.620525,-73.959285,"Bridge The Gap Youth, Inc.",3067340109,Brooklyn CD 014,community district,768.0
467,40.855656,-73.895978,,2031430203,,,38302.0
608,40.85359,-73.900575,,2031490090,,,381.0
715,40.815449,-73.944061,School Conflict Mediation,1019400035,,,228.0
662,40.849581,-73.883698,Bronx Connect,2031000013,,,393.0
761,,,COVID-19 Social Distancing Enhancer Services,,Queensbridge,other,
213,40.815426,-73.908281,,2026430001,,,73.0
875,40.664327,-73.886284,,3043070001,,,1122.0
1276,40.813002,-73.953849,ASC main office,1019670060,Manhattan CD 009,community district,21303.0
455,40.692459,-73.990491,,3002667501,,,9.0
1285,40.666214,-73.9496,"Associated Beth Rivkah Schools, Inc",3012970023,Brooklyn CD 009,community district,319.0
926,40.826872,-73.920872,,2024540001,,,18302.0
499,,,,,NYCHA Stapleton Houses,other,
1161,40.707116,-74.007329,,1000420031,Manhattan CD 001,community district,7.0
612,40.686917,-73.973563,,3021180011,,,181.0
349,40.808291,-73.945122,,1019107501,,,222.0
293,40.703702,-73.808746,HPLP Renewal Queens,4096760007,,,240.0
928,40.716459,-74.002327,,1001710031,,,31.0
1440,40.827642,-73.904473,Bronx International High School,2026340001,Bronx CD 003,community district,135.0
1200,40.674102,-73.913273,,3014480001,Brooklyn CD 016,community district,36501.0
823,40.680119,-73.944697,,3018620026,,,247.0
766,40.670567,-73.812151,ACS sites,4117860024,,,818.0
1262,40.815305,-73.856691,"Archimedes Academy for Math, Science and Technology Applications",2034780018,Bronx CD 009,community district,4.0
1211,40.587246,-73.989026,A-Elita Club,3069370048,Brooklyn CD 013,community district,314.0
1226,40.672624,-73.936379,Albany - CAMBA,3013520080,Brooklyn CD 008,community district,343.0
381,40.693307,-73.991634,,3002500007,,,9.0
