phone,programtype,zipcode,publichealthhazardviolationrate
718-585-0600,PRESCHOOL,10455,0.0
718-435-5111,INFANT TODDLER,11219,0.0
718-346-3470,PRESCHOOL,11207,0.0
718-346-1064,PRESCHOOL,11212,20.0
718-526-1803,PRESCHOOL,11435,0.0
347-857-8746,ALL AGE CAMP,11203,25.0
646-404-2106,PRESCHOOL,11354,16.6667
718-282-7200,PRESCHOOL,11225,0.0
917-502-0685,PRESCHOOL,11374,16.6667
718-347-7377,PRESCHOOL,11426,16.6667
212-255-1685,PRESCHOOL,10014,25.0
718-305-4057,PRESCHOOL,11217,0.0
347-913-4367,PRESCHOOL,10469,20.0
718-380-3683,PRESCHOOL,11366,40.0
332-255-8506,PRESCHOOL,10009,0.0
718-978-0075,PRESCHOOL,11433,33.3333
718-673-6371,INFANT TODDLER,10461,0.0
718-440-9919,INFANT TODDLER,11374,0.0
212-760-9830,PRESCHOOL,10001,0.0
718-329-6023,PRESCHOOL,10458,
718-665-1234,PRESCHOOL,10456,
718-989-9804,INFANT TODDLER,10454,0.0
718-303-9400,PRESCHOOL,11219,33.3333
718-238-4637,PRESCHOOL,11214,25.0
212-228-5679,PRESCHOOL,10003,0.0
718-205-1919,PRESCHOOL,11369,0.0
718-630-1000,PRESCHOOL CAMP,11209,0.0
718-899-1532,PRESCHOOL,11373,0.0
718-740-8400,PRESCHOOL,11428,0.0
718-434-0795,PRESCHOOL,11230,100.0
718-376-5959,PRESCHOOL,11229,100.0
212-677-7375,PRESCHOOL,10003,16.6667
646-883-0990,PRESCHOOL,10305,0.0
212-534-3656,PRESCHOOL,10128,25.0
718-547-1735,PRESCHOOL,10466,0.0
929-227-3100,PRESCHOOL,11238,0.0
917-825-8763,PRESCHOOL,10026,0.0
718-892-3234,PRESCHOOL,10462,0.0
212-682-8080,INFANT TODDLER,10016,0.0
718-655-5500,PRESCHOOL,10467,20.0
929-424-3013,PRESCHOOL,11368,0.0
212-694-0615,PRESCHOOL,10027,0.0
718-464-5606,PRESCHOOL,11421,0.0
718-322-9080,PRESCHOOL,11435,0.0
718-996-7200,PRESCHOOL,11224,0.0
347-427-3642,PRESCHOOL,10463,33.3333
718-442-8588,PRESCHOOL,10310,0.0
718-441-0404,PRESCHOOL,11415,0.0
212-682-8080,PRESCHOOL,10016,0.0
917-563-1338,PRESCHOOL,11354,25.0
718-257-7555,PRESCHOOL,11207,
718-892-3234,PRESCHOOL,10462,0.0
718-896-4444,ALL AGE CAMP,11375,33.3333
718-299-6892,PRESCHOOL,10453,0.0
212-831-3667,PRESCHOOL,10128,0.0
718-221-6160,INFANT TODDLER,11203,0.0
646-309-5727,PRESCHOOL,11219,0.0
718-303-9400,PRESCHOOL,11219,33.3333
212-349-2423,INFANT TODDLER,10038,25.0
718-378-5600,PRESCHOOL,10460,0.0
332-255-8599,PRESCHOOL,11201,0.0
929-234-2320,PRESCHOOL,11225,0.0
212-602-0829,PRESCHOOL,10007,0.0
718-375-2002,INFANT TODDLER,11223,0.0
718-484-8714,PRESCHOOL,11219,0.0
212-222-6602,INFANT TODDLER,10025,0.0
718-381-7777,PRESCHOOL,11379,
718-935-9848,PRESCHOOL,11249,66.6667
718-205-1919,PRESCHOOL,11369,0.0
718-239-5275,PRESCHOOL,10465,
718-268-3444,PRESCHOOL,11375,100.0
718-498-6200,PRESCHOOL,11233,0.0
718-444-5800,PRESCHOOL,11234,50.0
212-740-5157,PRESCHOOL,10033,0.0
718-727-8202,PRESCHOOL,10304,0.0
718-480-0100,PRESCHOOL,11365,100.0
347-460-6367,PRESCHOOL,11215,0.0
718-502-6455,PRESCHOOL,10462,0.0
718-742-2370,PRESCHOOL,10451,
212-369-2740,INFANT TODDLER,10128,0.0
212-369-2740,INFANT TODDLER,10128,0.0
212-567-5655,PRESCHOOL,10034,16.6667
718-299-2275,PRESCHOOL,10457,0.0
718-662-6186,ALL AGE CAMP,11367,33.3333
718-456-5437,PRESCHOOL,11385,0.0
212-860-8700,PRESCHOOL,10128,0.0
718-732-7770,PRESCHOOL,11223,0.0
212-625-1828,PRESCHOOL,10002,0.0
212-366-4365,PRESCHOOL,10001,16.6667
718-231-0858,PRESCHOOL,10466,0.0
212-912-2652,INFANT TODDLER,10023,0.0
646-662-4708,PRESCHOOL,10466,0.0
718-205-1919,PRESCHOOL,11369,0.0
718-963-1212,PRESCHOOL,11249,
718-634-0331,PRESCHOOL,11692,16.6667
212-734-1000,INFANT TODDLER,10028,0.0
718-434-2337,PRESCHOOL,11210,28.5714
212-828-3975,PRESCHOOL,10011,0.0
718-933-6935,PRESCHOOL,10468,
718-658-1563,INFANT TODDLER,11432,0.0
718-778-8558,PRESCHOOL,11213,28.5714
718-475-5100,INFANT TODDLER,10314,0.0
347-730-5438,ALL AGE CAMP,11372,0.0
718-978-0075,PRESCHOOL,11433,33.3333
212-567-5655,PRESCHOOL,10034,16.6667
718-441-3611,PRESCHOOL,11418,0.0
718-526-1340,PRESCHOOL,11432,16.6667
