street_name,violation_legal_code,street_code3,issuing_agency,law_section,plate_type,intersecting_street,feet_from_curb,issuer_command,street_code2
E 87th St,,10210,T,408,PAS,,0,T103,24890
Madison Ave,,18110,T,408,COM,,0,T106,18090
MERCER ST,,21690,P,408,COM,,0,0161,23130
Broad St,,29900,T,408,PAS,,0,T303,22255
Avenue M,,0,T,408,PAS,0ft E/of E 13th St,0,T302,0
5th Ave,,10830,T,408,PAS,,0,T302,10780
30th Ave,,9640,T,408,COM,,0,T401,57490
Broadway,,34890,T,408,COM,,0,T102,34870
SB FLATBUSH AVE @ FL,T,0,V,1180,PAS,ATLANDS AVE,0,,0
BARNES,,57720,P,408,PAS,,9,0049,47520
Eliot Ave,,11210,T,408,PAS,,0,T402,61490
W 86th St,,11710,T,408,PAS,,0,T103,15710
SB KINGS HWY @ NEW Y,T,0,V,1180,OMS,ORK AVE,0,,0
Amsterdam Ave,,35570,T,408,PAS,,0,T108,35550
E 18th St,,10010,T,408,PAS,,0,T102,10110
ATLANTIC AVE,,29830,P,408,PAS,,0,0084,27530
Westchester Ave,,18520,T,408,PAS,,0,T201,59820
9th Ave,,34570,T,408,COM,,0,T506,34550
8th Ave,,34570,T,408,PAS,,0,T106,34550
Broome St,,11610,T,408,PAS,,0,T101,27590
W 19th St,,0,T,408,PAS,60ft E/of 6th Ave,0,T102,0
Lexington Ave,,18750,T,408,COM,,0,T103,18730
E 39th St,,27790,T,408,PAS,,0,T106,25390
E 59th St,,10010,T,408,PAS,,0,T103,97910
5th Ave,,17250,T,408,PAS,,0,T102,17230
61 ST,,11020,S,408,PAS,,0,KS07,5130
W 39th St,,10810,T,408,PAS,,0,T106,10610
BEDFORD AVE,,14330,S,408,PAS,,0,BK14,14280
E 92nd St,,10210,T,408,PAS,,0,T103,24890
Murray St,,44890,T,408,PAS,,0,T105,15350
Roosevelt Ave,,16990,T,408,IRP,,0,T401,16890
W 29th St,,11110,T,408,COM,,0,T501,10065
