mandt,vbeln,kostl,mahza,msr_id,_dataaging,taxk5,kvgr4,amtbl,trvog,hb_resdate,fmbdat,fsh_vrsn_status,upd_tmstmp,auart,hb_expdate,scheme_grp,smenr,taxk6,fsh_transaction,kvgr5,gskst,vkgrp,pay_method,ktext,ps_psp_pnr,faksk,bnddt,cmwae,kokrs,kunnr,betc,fsh_rereg,tas,cancel_allow,fkara,taxk7,gwldt,psm_budat,objnr,autlf,stwae,abhov,logsysb,fsh_kvgr6,bname,taxk8,xblnr,mtlaur,augru,stafo,swenr,_xlso_trans_ctxt,abruf_part,cmngv,knkli,spart,proli,enqueue_grp,vzeit,kalcd,bukrs_vf,fsh_kvgr7,vprgr,crm_guid,hityp_pr,taxk9,vgbel,erzet,ihrez,submi,vdatu,_xlso_variant_id,abdis,fsh_kvgr8,ernam,hb_cont_reason,netwr,vbkla,vgtyp,sbgrp,stceg_l,fsh_kvgr10,knuma,fsh_ss,fsh_cq_check,xegdr,bstnk,multi,sppaym,lifsk,fsh_kvgr9,aedat,wtysc_clm_hdr,dat_fzau,awahr,kurst,gueen,_xlso_so_vald_to,cmnup,abhod,vkorg,audat,zuonr,angdt,vsbed,_xlso_payment_op,rep_freq,handle,_xlso_so_vald_fm,bstzd,taxk1,mahdt,bstdk,vbeln_grp,handoverloc,qmnum,kalsm_ch,cont_dg,cmfre,vtweg,telf1,aufnr,phase,taxk2,kvgr1,grupp,fsh_os_stg_change,abhob,landtx,kalsm,erdat,bpn,stage,kkber,taxk3,abrvw,vbtyp,kvgr2,knumv,guebg,fsh_vas_cg,waerk,vkbur,ctlpc,vsnmr_v,rplnr,vbklt,mod_allow,taxk4,_xlso_catalog_id,kvgr3,fsh_candate,agrzr,mill_appl_id,bsark,tm_ctrl_key,gsber,_fivetran_deleted,_fivetran_synced,_fivetran_sap_archived
100,510,COST01,MAH01,MSR001,0,TAXK5_01,KVGR4_1,AMT01,TRV1,2025-01-01,2025-01-02,ACTIVE,2025-06-01 12:00:00,OR01,2025-12-31,GRP1,SM01,TAXK6_01,TXN001,KVGR5_1,GSK1,VKG01,PM01,Sales Order 1,PSP001,FK01,2025-01-10,USD,KOKR01,CUST001,1,REG01,TAS01,0,FKR01,TAXK7_01,2025-01-12,2025-01-13,OBJ001,1,USD,ABH01,SYS01,KVGR6_1,USER01,TAXK8_01,XBL001,MTL001,AGR01,STA01,SW01,CTX001,PART01,1000.0,KNK001,SP01,PRL01,ENQ001,12,KALC1,BKVF01,KVGR7_1,VPR01,CRM_GUID_01,HITYP1,TAXK9_01,VGB001,13:45:00,IHREZ1,SUBM001,2025-01-15,VAR01,0,KVGR8_1,ERNAM01,NO_REASON,5000.0,VBKLA1,VTYP1,SBGRP1,STCL001,KVGR10_1,KNUMA1,SS01,CQCHK01,XEGDR1,BST001,0,1,LIFSK01,KVGR9_1,2025-01-05,WCLHDR1,2025-01-06,AW01,KURS1,2025-12-31,2025-12-31,1,ABHOD01,VKO01,2025-01-04,ZUONR1,2025-01-03,VS01,PMOP01,WEEKLY,HAND01,2025-01-10,BSTZD01,TAXK1_01,2025-01-20,2025-01-21,GRP02,HLOC01,QM01,KALSM1,Y,N,VTW01,1234567890,ORD001,PHASE1,TAXK2_01,KVGR1_1,GRP1,1,ABHOB1,US,KAL01,2025-01-01,BPN01,STG1,KKBER1,TAXK3_01,ABRVW1,C,KVGR2_1,KNUM01,2025-01-01,CODEGRP1,USD,VKBUR1,CTLP1,VSN01,RPL01,VBKLT1,1,TAXK4_01,CAT01,KVGR3_1,2025-06-30,AGRZR01,MILL01,BSARK01,CTRL01,GSB01,f,2025-06-01 12:01:00,0
200,511,COST02,MAH02,MSR002,0,TAXK5_02,KVGR4_2,AMT02,TRV2,2025-02-01,2025-02-02,INACTIVE,2025-06-01 12:03:00,OR02,2025-11-30,GRP2,SM02,TAXK6_02,TXN002,KVGR5_2,GSK2,VKG02,PM02,Sales Order 2,PSP002,FK02,2025-02-10,EUR,KOKR02,CUST002,2,REG02,TAS02,1,FKR02,TAXK7_02,2025-02-12,2025-02-13,OBJ002,0,EUR,ABH02,SYS02,KVGR6_2,USER02,TAXK8_02,XBL002,MTL002,AGR02,STA02,SW02,CTX002,PART02,2000.0,KNK002,SP02,PRL02,ENQ002,14,KALC2,BKVF02,KVGR7_2,VPR02,CRM_GUID_02,HITYP2,TAXK9_02,VGB002,15:30:00,IHREZ2,SUBM002,2025-02-15,VAR02,1,KVGR8_2,ERNAM02,DELAYED,10000.0,VBKLA2,VTYP2,SBGRP2,STCL002,KVGR10_2,KNUMA2,SS02,CQCHK02,XEGDR2,BST002,1,0,LIFSK02,KVGR9_2,2025-02-05,WCLHDR2,2025-02-06,AW02,KURS2,2025-11-30,2025-11-30,0,ABHOD02,VKO02,2025-02-04,ZUONR2,2025-02-03,VS02,PMOP02,MONTHLY,HAND02,2025-02-10,BSTZD02,TAXK1_02,2025-02-20,2025-02-21,GRP03,HLOC02,QM02,KALSM2,N,Y,VTW02,987654321,ORD002,PHASE2,TAXK2_02,KVGR1_2,GRP2,0,ABHOB2,DE,KAL02,2025-02-01,BPN02,STG2,KKBER2,TAXK3_02,ABRVW2,C,KVGR2_2,KNUM02,2025-02-01,CODEGRP2,EUR,VKBUR2,CTLP2,VSN02,RPL02,VBKLT2,0,TAXK4_02,CAT02,KVGR3_2,2025-07-31,AGRZR02,MILL02,BSARK02,CTRL02,GSB02,t,2025-06-01 12:04:00,1
113,VB0003,COsT325,MAh426,MSR761,-2,TaXK59_012,KVGR49_7,aMT029,TRV13,2025-01-24,2025-01-19,INAcTIvE8,2025-06-01 12:01:56,OR0151,2025-12-15,gRP1,sM52,TAxK61_018,tXN0329,KVgr5_1,GSK99,VKG019,PM02862,SalEs OrdEr 2,PsP0005,Fk06,2025-01-19,euR,KoKR094,CUSt0030,-2,REG99,TaS224,-3,FKr07,tAxK7_017,2025-01-12,2025-01-27,ObJ102,8,uSd,ABh72,sYs02,KVgR63_13,UsER713,TAXK8_01472,XBL0012,mTL0723,AGR50,STA115,SW01383,CTX8727,paRT011,1072.0,KNK421,SP014,pRl02,ENQ0025,22,kaLC2,BKVf000,kVGR70_26,vPr029,CrM_GUId_01,hITYP81,TAXK9_024,vGb0023,2025-10-27T15:11:33.046132,IHrEz2,SUbm0021,2025-01-21,VAR010,-2,kVgR8_21,ERNAM026,deLAYED,9351.0,VBKLA5,vtYP15,sBgRP25,STCL0960,kVgR10_27,KnUMa28,Ss03,CqCHK52,XEGdr2,BST7084,-4,-9,LIfSK929,KVgR96_11,2025-01-09,WCLhDr24,2025-01-17,AW029,kuRS1,2025-12-30,2025-12-28,-4,ABHOd61,Vko024,2025-01-14,ZUoNR59,2025-01-15,Vs091,PmOP009,MOntHLY0,HAnd024,2025-01-16,bStZD020,TAXK7_010,2025-02-09,2025-02-10,GrP924,HLOc51,qM091,kAlSM2,Y7,N1,VtW033,1002691773,ORD074,phASE19,TAXK28_913,KvGR1_18,GRp7,8,ABHOB1775,de,KAL012,2025-01-23,Bpn01,STG7,KKbER7,TaXK6_028,AbRvW24,C655,KVGr2_49,KnuM02,2025-01-12,CODeGrP15,USD881,VKBUr02,CTLP1147,VSN104,rpL021,VBKLT68,-8,TAXk46_023,CAt00,KVGR3_0,2025-07-27,AGRzR036,MILL099,BSarK01,CTrl027,gSB620,t671,2025-06-01 12:01:15,-1
194,VB0026,COSt00,MAh043,msR0013,1,TAXK54_09,kVgR4_16,AMT02445,TrV83,2025-01-23,2025-01-09,aCTIvE,2025-06-01 12:02:49,Or113,2025-12-28,grP23,Sm52,tAXK61_02,tXN0031,KVGR52_14,Gsk19,VkG31,PM365,Sales Order 86,PSP009,Fk810,2025-02-03,EUR951,KOKr71,CUsT0061,-8,REG026,TaS050,9,FKr06,TAXk7_00,2025-02-08,2025-01-17,OBJ1725,4,euR6,ABH66,SyS128,KVgr6_10,UsER11,TAXK87_02,XBL709,MtL302,AGr053,Sta015,Sw048,CtX501,PaRt011,1327.0,KNK105,Sp72,PRL02996,ENQ006,17,KALc84,BKVF58,KVGr1_18,vpR019,CRm_GUID_62,hItYP15,tAXK93_022,Vgb0024,2025-10-27T14:07:38.500306,IHREZ10,SUBM0746,2025-02-07,vaR012,9,KvgR8_28,ERnAM715,NO7_REASoN8,9281.0,VBkLa10,VTyp13,SBgRp2,STCL401,KVGR105_03,kNUmA12,SS025,CQcHK92,xeGDR13,bST081,10,-2,lIFSK093,KVgR90_12,2025-01-16,WCLhdR2,2025-02-02,aW094,KuRs1,2025-12-19,2025-12-26,-2,aBHoD011,VkO003,2025-01-27,ZuoNR17,2025-01-18,VS012,PMOP024,WeEKLy8,HanD02,2025-01-26,BSTZD83,TAXK71_01,2025-02-13,2025-01-22,GRP039,HLOC61,Qm32,KALSM1956,Y5,Y8,vTW52,988978916,ORD3078,PhASe1,TAXk2_913,KVgR15_26,gRp13,-3,ABhOb10,US3,KAl41,2025-01-22,BPn091,STG6,KKbeR2,taXK3_01,ABRVW65,C374,KVGR51_21,kNUm026,2025-01-31,CoDEGrP1,eUr,vKBUR7,CTlp16,VsN711,rPl018,VBkLT95,-1,TaxK4_017,cAT610,KVGr5_13,2025-07-17,aGrZR014,MILL01738,BSaRk017,CTRL014,GSb31,f8,2025-06-01 12:03:35,-6
185,VB0049,COst01,MAh045,mSR0035,-9,tAXK4_021,kVgR4_17,AMT62,TRV1478,2025-01-10,2025-01-19,ACTIVE210,2025-06-01 12:02:24,OR018,2025-12-20,grP20,Sm32,TAXK64_076,tXN0517,KVgR2_2,gSk20,VkG038,pM421,Sales Order 14,PSP9087,fK320,2025-01-10,USD5,KOKr04,CUSt802,3,REG01607,tAS719,-4,Fkr01,TAxK5_020,2025-02-04,2025-02-03,OBJ0821,-6,usD7,ABH023,sYS098,KVGR6_15,UseR01,tAxK8_020,XBL1619,mTL0411,AGR658,STA350,sW005,CTX0270,PART82,2002.0,KNK020,Sp323,Prl011,ENq0011,20,KAlC43,BKVf228,kVGR8_11,vPR825,cRm_GUID_022,HITYP20,TAXK4_517,VGb0511,2025-10-27T13:54:34.254477,ihREZ24,SUbM0617,2025-02-02,vAR525,11,KvGR8_6,ErnAM010,DELAyEd2,6544.0,VBkLa25,vTYp2,sBGRP6,STCL704,KVGR10_1758,KnUMa18,Ss422,CqCHk022,xEGdR2,bST0327,-7,-1,LIFsk02,KVGr90_1,2025-01-05,WCLhDr11,2025-02-02,aW05,KUrs23,2025-12-01,2025-12-02,-8,ABHOD727,vKo013,2025-01-06,zUoNR26,2025-01-20,vS72,PMOP027,WEEKLY6,hANd013,2025-01-13,BStZD229,TAXk5_02,2025-01-28,2025-02-19,GrP923,HLOC024,QM78,kALSM94,Y6,Y963,VtW128,1204183633,OrD402,PhASE63,TAXk2_811,KVGR1_94,gRp1,-6,ABHoB15,DE6,KAl076,2025-01-10,bpN023,stG1,kKBeR20,TaxK3_014,ABRVW1700,C6,KVgR0_13,KNUM524,2025-01-13,cODEgRP23,eUr9,VKbUR36,cTLp11,VSn017,Rpl01,VbkLT11,-2,TAxK4_02,caT016,KVGR3_12,2025-06-30,AGRzR041,mIlL021,BSARK013,CTrL09,gSB05,f6,2025-06-01 12:01:39,4
192,VB0018,COsT128,Mah019,MSR7011,-7,TAXK5_029,KVGR44_21,AMT091,Trv10,2025-01-28,2025-02-01,INACTIVE4,2025-06-01 12:01:37,OR012,2025-12-29,GRP33,sM00,TaXK65_022,TXN0324,KvGR3_11,gsK12,VkG72,pm022,Sales Order 15,pSp0018,fK052,2025-01-31,USD4,KoKr010,cuST002,-1,REG013,tAS07,5,FKR373,TAxK5_02,2025-01-23,2025-01-27,OBJ0071,-3,EUR845,ABh72,sYS626,KVGr3_10,UsER077,TAXk82_014,xBL007,mTL0128,AGr12,STA029,sW091,CTX0027,pART071,1890.0,kNK0524,sp025,PRl01,Enq002,5,KALC14,BKVF001,KVgR6_1,vPr011,CRM_GUID_024,HITYP18,TAXK0_096,vGB0125,2025-10-27T13:58:10.402252,ihREZ17,suBM0026,2025-01-25,VAR028,8,kVGR8_63,ERnAM920,dELaYED3,8251.0,VBKlA57,VTYP12,SBgRP44,StCL0720,kVGR10_92,knUMA18,Ss09,cqCHK02,xEGdR1,BST0774,-1,7,lIFsK017,KvGR3_12,2025-01-28,WcLHdR27,2025-02-04,aW067,KURS22,2025-12-14,2025-12-11,3,ABHOd07,VKO342,2025-01-08,zuONR2,2025-01-26,Vs817,PMoP03,WeEkLY0,HAnD51,2025-01-19,BStzD028,TAxK11_027,2025-02-17,2025-02-15,GRP522,HLOC012,QM890,KALsM45,Y3,N6,VTW012,1000114137,Ord0029,PHaSe13,TAXK2_01158,kVgR1_20,GRp12,2,aBHOb23,US5,Kal015,2025-01-26,BpN009,stG26,KKbeR12,TaxK3_02,ABRVW29,C493,KVGr5_2,kNUm01,2025-01-14,CODEGRP2151,Eur9,VKBUR27,cTLp12,vSn020,RPL02552,vBkLT1,6,TAxK4_095,CaT812,KVgR8_1,2025-07-02,AGRZR028,miLL029,BsARK04,CtRl020,gSB057,f385,2025-06-01 12:01:12,3
141,VB0009,COsT425,MAH393,MSR7217,8,TAxK5_04,kVGr4_2,AMt324,TrV6,2025-01-14,2025-01-26,aCTIVe5,2025-06-01 12:02:32,Or921,2025-12-04,Grp2,sm027,taXK6_011,TXN702,kVGR5_7,gSK33,vKG523,pM428,SaLes ORder 2,PsP2025,FK53,2025-01-31,usD2,KOkR07,CUST001377,-8,REg91,TaS055,3,FKr510,TAxK73_013,2025-01-13,2025-01-30,ObJ1012,-10,Usd5,AbH040,SYS93,KVGR682_11,uSER412,TAXK82_327,XBL2716,mtL0017,AGr916,StA08,Sw009,CTX4222,PARt06,1039.0,KNk0074,SP010,PRL927,ENQ0770,11,KaLc19,BKVf065,kVGr7_2,vPR065,CRM_GUID4_319,HItYP9,TAXk9_51,VGb5025,2025-10-27T13:59:06.707667,IHRez11,SUBm0321,2025-01-28,VAR757,10,kvGR8_13,ERnaM023,NO_rEASoN1,9597.0,VBKla2,VTYP23,SBGRP1496,StCL702,KvGR80_2,kNuMA13,SS523,CQcHK42,XEGdR47,Bst001,3,-8,LIFSK01625,KVgR99_1,2025-01-18,WClHDr15,2025-02-04,Aw614,KurS12,2025-12-19,2025-12-25,6,ABHOd71,VKo089,2025-01-26,ZUONR2606,2025-01-25,Vs419,pMoP010,wEeKLY1,hAND028,2025-02-04,bSTZd015,TAXK15_031,2025-02-06,2025-02-17,grP03,HlOc015,QM04,KALSM99,N994,Y4,VTW083,1154922647,oRD0077,PhAsE19,TAXk20_026,KvGR9_26,GrP99,-3,ABHoB6,DE3,KAL414,2025-01-02,BpN081,sTg2,kKBER80,TAXk3_512,aBrVW23,C9,kVGR22_19,KNUm716,2025-01-29,CODEGrp27,Usd6,VKBuR41,CTLp54,vSN12,RPl21,VBKLT55,10,TaxK4_01,cAT225,KvGR30_25,2025-07-02,AGRZr824,MILL02603,BSARK27,cTrL011,GSB024,f448,2025-06-01 12:01:27,11
128,VB0034,COST011,mAH085,MsR000,2,TAXk55_029,KVGr1_12,AmT06,tRv2,2025-01-16,2025-01-24,INaCTiVE2,2025-06-01 12:01:44,OR71,2025-12-22,Grp12,sM413,TAXK8_02,Txn0028,KvGR1_1,gSK94,VKG014,pM078,Sales OrdEr8 25,pSP0920,FK92,2025-02-08,EUR9,kOKR090,CuSt001,10,rEG00,tAS229,-10,Fkr015,TaXK7_06,2025-02-09,2025-01-16,ObJ0423,6,eUr,abH01,SYS246,KVGR6_12,USER569,tAXK86_016,xBl0013,mtL001,AgR000,STA01874,SW02518,CTX291,PaRT054,1490.0,KNK0547,SP93,PRL683,eNQ052,20,kaLC16,BkVf028,KVGr76_24,VPR022,CRM8_GUiD_021,hITYp17,TAXk1_02,VgB0089,2025-10-27T14:59:14.731105,IhREZ73,SUbM0095,2025-01-20,Var014,-5,KVGR6_1,ERNAM42,DeLAYEd1,9831.0,vBKLa19,VTyP06,SbGRP6,STCL012,KVGR1019_2,kNuMA25,sS056,CQCHk078,xEGdR2,BST0160,6,8,liFSK025,KVGR97_8,2025-01-20,WCLHdr19,2025-01-28,aW05,KUrs13,2025-12-12,2025-12-04,8,ABHOD028,vkO016,2025-01-25,ZUoNr2,2025-01-12,VS01999,PMOp92,mONThLY0,HAND02926,2025-02-02,BSTZD01751,TaXK1_119,2025-01-23,2025-01-24,GRP02722,HLOc052,qM724,kAlSM22,Y670,N5,VTW180,1080820606,ORD7099,PHaSe16,TAxK2_517,kVGR1_72,GRp6,9,ABHOb3,de0,KAL017,2025-01-16,bPN923,Stg2,kKBEr2,TaXk3_02,abRVW14,C6,kVGr2_20,kNUM228,2025-01-09,cODEGRP0,uSd5,VkbUR1,cTLp22,vSN610,RPL021,vbKLT26,-4,tAXK4_09,CAT58,KvGR3_93,2025-07-25,agRZR02,MILL013,BsARK925,ctRL01,GSB585,f3,2025-06-01 12:02:55,0
199,VB0025,CosT018,MAH079,MsR8029,0,TAXk58_01,KvGR4_0,AMt41,trV28,2025-01-16,2025-01-20,iNACTiVE0,2025-06-01 12:01:24,or023,2025-12-22,GRP23,SM663,TAXK3_026,TXN4024,KVGR5_18,GSK16,VkG03,pM91,SALes Order 29,PSp7013,FK0172,2025-01-22,usD3,KOKR600,CUST0028,10,REG01535,TAs62,3,FkR61,TAXK7_012,2025-02-11,2025-02-12,OBJ0015,6,USD793,Abh027,Sys021,KVGr8_2,uSER016,taXK8_01,xBl0018,MtL402,AGr229,stA012,sW058,Ctx0016,PARt04,1337.0,kNK0069,sP929,prL029,EnQ0057,5,kaLC29,BKVF025,KVGr7_04,VPr71,CRM_GUID_014,HitYP2,TAxK3_014,VgB0217,2025-10-27T14:31:48.954117,IhReZ2,SUBM3919,2025-01-25,vAR017,-1,KvGR3_11,eRNaM026,NO_REASon7,7306.0,VBKLA25,VTYP21,SBGRP168,STCL6211,KvGR60_1,KnuMA27,sS52,CQcHk015,XeGDr2,BST091,3,5,LIFsK91,kVGr9_1,2025-01-17,wCLHdR29,2025-01-21,Aw419,KurS1,2025-12-24,2025-12-27,-10,AbHOD316,VKo08,2025-01-06,ZUOnR19,2025-01-05,Vs082,PMoP01,mOnTHLY7,HaND05,2025-01-29,BStZD010,TAxk1_023,2025-02-14,2025-02-18,gRP054,HLoc023,QM011,KalSM2,N8,Y376,vTw02,1042623091,ORD0544,PhAsE28,TAXK4_05,KVGR1_27,gRP01,-3,AbHOb10,DE8,KAL019,2025-01-10,bPN42,STg5,kKBER50,tAXK3_05,AbRVw2,C4,KVGR27_8,kNUM412,2025-01-15,CODegRP14,Eur9,VkbUR16,cTlP1,VSn626,rPL418,vBKlT2,9,tAXk4_021,Cat025,KVGR50_2,2025-07-16,AGrZR057,mILL428,BSArk010,CTRl086,GSb06,t960,2025-06-01 12:03:02,1
155,VB0079,COSt813,maH017,MSR007,-4,tAXK5_22,KvgR4_2,aMT08,Trv2,2025-01-31,2025-01-06,aCTIVe6,2025-06-01 12:00:45,OR141,2025-12-27,gRP80,Sm010,TAXk6_002,txN0025,kVGr5_19,gSK85,vkG011,Pm033,Sales OrDer4 2,pSP302,FK026,2025-02-01,USD2,KOKR822,CuST082,-8,reG025,TaS00,-2,fKr012,TAXK0_628,2025-02-04,2025-02-04,OBJ001257,9,usD,ABh61,sYs021,KVgr6_22,USER63,TAXK87_71,XBl008,Mtl0029,AgR006,StA21,SW076,cTx0011,PART75,1242.0,KNK7227,Sp043,PRl915,ENQ0028,11,KALc4,bKVF312,kVGR71_11,VPR010,CRM0_GUID_04,HItYP96,TAXk9_112,VGB0014,2025-10-27T15:29:36.690893,IHREz3,sUBm002,2025-02-13,VAR467,-6,KVGR87_60,erNAM020,NO5_REaSON4,4997.0,vBKlA13,VTYp7,SBgrP21,StCL2022,KvGR108_27,KnUMA01,ss015,CQChK223,XEGdr22,bSt0028,-9,-3,LifSK025,KVGr9_94,2025-01-06,WClhDR29,2025-01-14,Aw826,KuRS57,2025-12-19,2025-12-03,0,aBHOD916,VKo087,2025-02-02,zUONR71,2025-01-21,VS014,PmOp024,MONTHLY577,HanD02,2025-02-05,BSTzD618,TaXK1_078,2025-02-10,2025-02-10,GRP934,HlOC429,qm010,KaLsM21,Y218,Y0,vtW028,1172436833,ORD402,pHaSE1,taXK2_016,KVGr8_1,grP29,-3,aBHOb17,US1,KAL212,2025-01-29,BpN82,STg72,KKBER15,TAXK3_01204,aBRvW11,C2,KvGR21_1,KNUM020,2025-01-16,cODeGRP20,Usd8,vKBUr2,cTLP18,vsN011,RPL02325,VBklT28,-7,TAXk2_026,CAt043,KVGr3_31,2025-07-11,AgRZR091,MilL014,bSArK011,cTRl018,gsB028,t5,2025-06-01 12:02:18,1
