source_relation,_fivetran_synced,asin,link,rank,title,website_display_group
amazon_selling_partner.public,2024-04-12 06:55:44,B0E7STG6605,amazon.com/B0E7STG6605,4001,Electronics,wireless_display_on_website
amazon_selling_partner.public,2024-07-11 07:45:16,B0E7STG6684,amazon.com/B0E7STG6684,4002,Cell Phones & Accessories,ce_display_on_website
amazon_selling_partner.public,2024-02-08 06:24:11,B0E7STG4721,amazon.com/B0E7STG4721,4003,"Clothing, Shoes & Jewelry",clothes_display_on_website
amazon_selling_partner.public,2024-07-31 11:21:12,B0E7STG7286,amazon.com/B0E7STG7286,4004,Food,games_display_on_website
amazon_selling_partner.public,2024-01-27 16:13:49,B0E7STG6845,amazon.com/B0E7STG6845,4005,Video Games,wireless_display_on_website
amazon_selling_partner.public,2025-01-19 09:21:28,B0E7STG9922,amazon.com/B0E7STG9922,4006,Pet supplies,ce_display_on_website
amazon_selling_partner.public,2024-09-24 01:51:33,B0E7STG1865,amazon.com/B0E7STG1865,4007,Kitchenware,clothes_display_on_website
amazon_selling_partner.public,2024-12-29 02:34:50,B0E7STG4397,amazon.com/B0E7STG4397,4008,Home Decor,games_display_on_website
amazon_selling_partner.public,2024-09-26 06:32:51,B0E7STG6340,amazon.com/B0E7STG6340,4009,Bedding,wireless_display_on_website
amazon_selling_partner.public,2024-05-16 21:05:57,B0E7STG1461,amazon.com/B0E7STG1461,4010,Electronics,ce_display_on_website
amazon_selling_partner.public,2024-07-28 14:39:31,B0E7STG1446,amazon.com/B0E7STG1446,4011,Cell Phones & Accessories,clothes_display_on_website
amazon_selling_partner.public,2025-01-07 08:17:22,B0E7STG5396,amazon.com/B0E7STG5396,4012,"Clothing, Shoes & Jewelry",games_display_on_website
amazon_selling_partner.public,2025-01-08 18:35:37,B0E7STG3434,amazon.com/B0E7STG3434,4013,Food,wireless_display_on_website
amazon_selling_partner.public,2024-09-05 20:08:07,B0E7STG5263,amazon.com/B0E7STG5263,4014,Video Games,ce_display_on_website
amazon_selling_partner.public,2024-11-22 03:20:38,B0E7STG5688,amazon.com/B0E7STG5688,4015,Pet supplies,clothes_display_on_website
amazon_selling_partner.public,2024-07-24 01:40:40,B0E7STG7997,amazon.com/B0E7STG7997,4016,Kitchenware,games_display_on_website
amazon_selling_partner.public,2024-03-05 02:17:25,B0E7STG6585,amazon.com/B0E7STG6585,4017,Home Decor,wireless_display_on_website
amazon_selling_partner.public,2024-12-10 17:41:12,B0E7STG2159,amazon.com/B0E7STG2159,4018,Bedding,ce_display_on_website
amazon_selling_partner.public,2025-01-03 05:20:51,B0E7STG5684,amazon.com/B0E7STG5684,4019,Electronics,clothes_display_on_website
