log_id,sync_id,created_at,connection_id,event_type,message_data,event_subtype,transformation_id
9Gktalz7uFZbVYKR7zlDeUd4nSM=,456abc,2021-02-13 13:34:03.343,legislative_lazy,WARNING,"{""type"":""table_excluded_by_system"",""message"":""salesforce.affectlayer__AffectLayer_User_Setting__ChangeEvent has been Excluded by system. Reason : Not queryable""}",warning,123
f7EVPLOIMhuOs45jlXWN3lutVEc=,456abc,2021-02-12 08:15:05.555,paint_wedges,INFO,"{""method"":""GET"",""uri"":""https://google.com""}",api_call,123
fJk+tL6p9gQE83WaCPdevLs9FXU=,456abc,2021-12-09 14:27:00.504,this_connection,INFO,,sync_end,123
f7UkkDoGwEVnG7M2tFQFy7FSoDM=,456abc,2021-12-09 14:26:52.433,this_connection,INFO,"{""schema"":""instagram_business"",""count"":4,""operationType"":""REPLACED_OR_INSERTED"",""table"":""fivetran_audit""}",records_modified,123
qAihN0e5BULEPL7M9uwJ6Kyy9x8=,456abc,2021-12-09 14:26:52.242,this_connection,INFO,"{""table"":""fivetran_audit""}",write_to_table_end,123
OblnLHyCtL16oC4niA5+tYnOPo0=,456abc,2021-12-09 14:26:51.703,this_connection,INFO,"{""table"":""fivetran_audit""}",write_to_table_end,123
dfjD9Lt4zcYcKSd/XOxCXjDnKhg=,456abc,2021-12-09 14:26:44,this_connection,INFO,"{""table"":""fivetran_audit""}",write_to_table_start,123
tPQov43eYhIesRb7bHvmhlk6kr4=,456abc,2021-12-09 14:26:42.084,this_connection,INFO,"{""schema"":""instagram_business"",""count"":9,""operationType"":""REPLACED_OR_INSERTED"",""table"":""media_history""}",records_modified,123
03F1Ja3wG4EAjlPUHyYS6UPSE3I=,456abc,2021-12-09 14:26:42.029,this_connection,INFO,"{""schema"":""instagram_business"",""count"":5,""operationType"":""REPLACED_OR_INSERTED"",""table"":""media_insights""}",records_modified,123
6dq4Y552vJGY0ONeD4WZu6Lodvo=,456abc,2021-12-09 14:26:41.886,this_connection,INFO,"{""table"":""media_history""}",write_to_table_end,123
BT3RzERiPYzSQs99qeL8bNO9ScE=,456abc,2021-12-09 14:26:41.875,this_connection,INFO,"{""table"":""media_insights""}",write_to_table_end,123
B+GRNp7ayvSHYnWGoq9b7vNaKW4=,456abc,2021-12-09 14:26:40.88,this_connection,INFO,"{""table"":""media_history""}",write_to_table_end,123
TCvFRB2TzpEiVV3y8tUHdhuqdhU=,456abc,2021-12-09 14:26:40.737,this_connection,INFO,"{""table"":""media_insights""}",write_to_table_end,123
Ps84wKmF1+daFzbwsOU7j7Zb4MY=,456abc,2021-12-09 14:26:39.469,this_connection,INFO,"{""schema"":""instagram_business"",""count"":1,""operationType"":""REPLACED_OR_INSERTED"",""table"":""user_history""}",records_modified,123
KDeFiMYLlB+GIFzQU9Huc3Qj6eo=,456abc,2021-12-09 14:26:39.446,this_connection,INFO,"{""schema"":""instagram_business"",""count"":11624686068,""operationType"":""REPLACED_OR_INSERTED"",""table"":""user_insights""}",records_modified,123
nZdGbakpx39P1l2HOYUzxh9l5Vw=,456abc,2021-12-09 14:26:39.092,this_connection,INFO,"{""table"":""user_insights""}",write_to_table_end,123
KY3fOFG038Dsx7OTowE5jYw7kBE=,456abc,2021-12-09 14:26:39.087,this_connection,INFO,"{""table"":""user_history""}",write_to_table_end,123
wVCLYJ0JurBy4JaN5odnOOY94oQ=,456abc,2021-12-09 14:26:37.735,this_connection,INFO,"{""table"":""user_history""}",write_to_table_end,123
jkLxnPUfQ/9mHaWCmxUppphul8ZA=,456abc,2021-12-09 14:26:37.691,this_connection,INFO,"{""table"":""user_insights""}",write_to_table_end,123
TAnUngGvt/9+vOSde9OI357BEnE=,456abc,2021-12-09 14:26:29.86,this_connection,INFO,"{""table"":""media_history""}",write_to_table_start,123
H6AsShJjRoy1n75oVRxjQ08perA=,456abc,2021-12-09 14:26:29.814,this_connection,INFO,"{""table"":""user_insights""}",write_to_table_start,123
bCgsj8twLxBBhaiBN9N4S35grkI=,456abc,2021-12-09 14:26:29.744,this_connection,INFO,"{""table"":""user_history""}",write_to_table_start,123
UcIZasAY/eulDQF2SQM6Y5W83gU=,456abc,2021-12-09 14:26:29.719,this_connection,INFO,"{""table"":""media_insights""}",write_to_table_start,123
mm0QUb+ldnbSWknrBrF/v24YGvo=,456abc,2021-12-09 14:26:05.907,this_connection,INFO,,sync_start,123
Z/kZAi7u6DzO7UrZeWK/ZsAkbno=,456abc,2021-12-10 14:27:00.504,this_connection,INFO,,sync_end,
+IX63qGrDFPaTy9/6epjpppk4JI=,456abc,2021-12-10 14:26:41.875,this_connection,INFO,"{""table"":""media_insights""}",write_to_table_end,123
ZZLSXVYxirh8aKlgdCzo5fvd71g=,456abc,2021-12-10 14:26:42.029,this_connection,INFO,"{""schema"":""instagram_business"",""count"":5,""operationType"":""REPLACED_OR_INSERTED"",""table"":""media_insights""}",records_modified,123
D7UqnKYn6OT04HkUcPNjXA95ttI=,456abc,2021-12-10 14:26:29.719,this_connection,INFO,"{""table"":""media_insights""}",write_to_table_start,123
V3H62Gj5c6nB8bY+OdxMHvp/hNs=,456abc,2021-12-10 14:26:05.907,this_connection,INFO,,sync_start,123
jkLxnPUfQ/9mHaWCmxUQEhul8ZA=,,2023-11-09 11:31:31.579,protestations_mourned,INFO,"{""actor"":""me@me.com"",""properties"":{""endpoint"":""************"",""apiKey"":""************"",""customEvents"":[],""syncMode"":""AllEvents"",""isE2ETest"":false,""events"":[],""customEventSyncMode"":""AllEvents""},""id"":""iterable""}",create_connection,
R7UqnKYn6OT04HkUcPNjXA95qqI=,456abc,2021-12-10 16:26:29.719,intrinsic_departed,INFO,says actor but not a json,status,
D7UqnKYn6OT04HkUcPNjXA95qqp=,456abc,2024-11-18 16:26:29.719,aft_gleeful,INFO,"{""total_queries"":15,""total_rows"":4810}",extract_summary,
h7UqnKYn6OT04HkUcPNjXA95qlp=,456abc,2024-11-19 16:26:29.719,aft_gleeful,INFO,"{""totalQueries"":5,""total_rows"":4810}",extract_summary,
D7UqnKYn6OT04HkUcPNjXA95ttI=,456abc,2025-12-13 14:26:29.719,this_connection,INFO,"{""table"":""media_insights""}",write_to_table_start,123
D7UqnKYn6OT04HkUcPNjXA95ttI=,456abc,2025-12-15 14:26:29.719,this_connection,INFO,"{""table"":""media_insights""}",write_to_table_start,123
