dbn,phone_number,admissionspriority12,requirement4_8,grade9swdapplicantsperseat9,interest7,admissionspriority22,prgdesc3,code5,seats9ge10,prgdesc1,auditioninformation6,admissionspriority38,school_accessibility_description,requirement5_5,requirement3_1,seats9swd9,method6,interest2,method8,requirement6_3,requirement7_1,seats107,seats3specialized,prgdesc5,academicopportunities5,applicants5specialized,language_classes,requirement6_1,transfer,admissionspriority33,requirement6_10,admissionspriority29,diplomaendorsements,method7,requirement2_2,prgdesc7,bus,requirement6_5,grade9gefilledflag4,code3,appperseat4specialized,appperseat6specialized,seats9ge1,advancedplacement_courses,requirement4_9,auditioninformation7,ptech,seats6specialized,program1,grade9geapplicantsperseat2,prgdesc2,college_career_rate,overview_paragraph,pbat,offer_rate1
02M296,212-586-0963,,,,,,,,,Regents-based courses and a 12-unit sequence in hospitality management in which students earn 2 industry certifications.,,,2.0,,,,,,,,,,,,"Hunter College Teaching Assistant Program, Navy Junior Reserve Officer Training Corps (NJROTC)",,Italian,,,,,,,,,,"M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, X12, X14, X30, X42",,,,,,90.0,"AP English Literature and Composition, AP Studio Art: 2-D Design, AP World History",,,,,High School of Hospitality Management,,,0.54,"The High School of Hospitality Management (HSHM) is a New York City public high school established in 2004. HSHM is located in the heart of the resurgent Clinton area of Manhattan, where there is the highest concentration of hotel and hospitality establishments in New York City. We provide traditional academic courses as well as career and technical courses. The curriculum enables students to develop problem-solving skills that prepare them for post-secondary education, as well as exciting careers in hospitality management and the culinary arts. Our professional staff, parents, and students are equal stakeholders in the creation of an invigorating and supportive learning environment.",,
06M348,212-781-0524,,,,,,,,,Students participate in interdisciplinary learning across all subject areas.,,,2.0,,,,,Humanities & Interdisciplinary,,,,,,,"Crew AdvisoryÃÂ¢ÃÂÃÂ15 students work with a staff member to receive leadership development, college prep, and community building.",,Spanish,,,,,,,,,,"Bx11, Bx13, Bx18, Bx3, Bx35, Bx36, Bx7, M100, M101, M3, M4, M5, M98",,,,,,67.0,"AP English Language and Composition, AP Spanish",,,,,Washington Heights Expeditionary Learning School for New Students,N/A - continuing program,Guaranteed offer to continuing 8th grade students,0.56,"We provide a small, nurturing environment for adolescents, a place where high expectations, excellent academic practices, and dedicated faculty provide differentiated instruction to students. Our mission is to work with families to prepare each student academically, emotionally, intellectually, and socially to succeed in college and beyond. Our unique internship program allows students to take advantage of partnerships with New York City organizations and businesses. Consider our school if you strive to become a skilled problem-solver and effective communicator, adventurous and willing to take intellectual risks, and an active and positive contributor to the school and local community.",,-89% of offers went to this group
19K764,718-277-1572,,,,,,,,,Prepares students for careers in the medical assisting field and beyond.,,,2.0,,,,,,,,,,,,,,Spanish,,,,,,,,,,"B13, Q56",,,,,,67.0,"AP Calculus AB, AP Chemistry, AP English Literature and Composition, AP U.S. Government and Politics, AP U.S. History",,,,,The Urban Assembly School for Collaborative Healthcare,,,,"At UASCH, we prepare students for college and careers with a broad and deep focus on unique healthcare sectors. Coursework is as challenging as it is supportive with a strong emphasis on cross-curricular and project-based learning. As a member of the highly successful Urban Assembly network, UASCH has established partnerships with top-tier healthcare facilities that work in order to bring timely healthcare topics into the classroom and expose students to modern healthcare facilities. UASCH values parents as partners and cultivates a strong school-parent relationship. Our trimester system allows students to rapidly accumulate credits thereby making it possible for them to pursue off-site educational opportunities in the 12th grade.",,
13K419,718-243-9413,Open to New York City residents,,,,,Challenging courses in the field of engineering.,K78F,,Focuses on using hands-on and research techniques. All students are required to take four years of mathematics (eight credits) and four years of Science (eight credits).,,,2.0,,,,Screened,Science & Math,,,,,,Challenging courses in the field of pharmaceutical science and internship experience at a local pharmacy to prepare students to major in pharmaceutical science in college.,"Dual Credit Courses-Medgar Evers, College Now, CUNY College Now, Law, Organic Chemistry, Psychology, Drama, Science Technology Entry Program (STEP)",,"French, Spanish",,,,,,,,Punctuality,,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B65, B67, B69",,N,K78C,,,45.0,"AP Biology, AP Computer Science, AP English Language and Composition, AP Environmental Science, AP French, AP Music Theory, AP Psychology, AP U.S. History",,,,,Science Skills Center,2,"Challenging academic program that prepares students for majors in nursing, medicine, research, and other scientific studies at competitive universities.",0.68,"Science Skills Center High School is a small, early college learning community designed to empower students with the knowledge of science, engineering, mathematics, humanities, and the arts through the use of technology. There is a strong emphasis on academic excellence, college experiences, community service, and college and career planning before graduation. Our dedicated and dynamic staff are eager to prepare students for their futures.",,
13K439,718-643-9315,,,,,,,,,"Thematic-based, interdisciplinary course structure.",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B65, B67, B69",,,,,,67.0,,,,,,Brooklyn International High School,,,0.63,"Brooklyn International helps English Language Learners develop language, intellectual, and collaborative abilities so that they may become active participants in today's world. Students work collaboratively on interdisciplinary projects that they present to community members. To ensure our goal of college and career readiness, students complete internships in 11th grade, gaining real-world work experience, and exploring career paths. With access to a computer lab, digital fabrication lab, and one-to-one laptop program, graduates leave with the skills necessary to succeed in our rapidly evolving world. Finally, students' native languages and cultures are an asset to our school-we are proud to honor them, and to learn from and about them.",1.0,
30Q258,718-472-0536,,,,,,,,,"Students take rigorous STEM coursework in preparation for college-level math, science, and engineering courses as early as 10th grade through a partner college. Students declare an electrical or mechanical concentration by the end of 12th grade, in preparation for intensive study and internship opportunities in 12th-14th grades. Pathways focus on engineering and technology careers in the energy/utility industry, with varied opportunities for field trips, job shadowing, industry mentoring, etc.",,,,,,,,,,,,,,,"Monthly Town Hall meetings, weekly advisory groups, extended day/week/year; tutoring and office hours available; student leadership opportunities.",,Spanish,,,,,,"Math, Science",,,,"Q101, Q102, Q66, Q69",,,,,,83.0,AP Spanish,,,1.0,,Energy Tech High School,,,,"At Energy Tech, students interested in engineering, science, math, and technology follow a unique pathway to college degrees and high-demand tech careers. To prepare for these competitive engineering careers and courses of study, we provide extensive in-school and out-of-school programs, mentoring, and advisement. Our students problem solve in and out of the classroom through partnerships with LaGuardia Community College, Con Edison, and National Grid. Students can remain at our school for up to six years, earning a high school diploma and an engineering Associate degree-free of cost-while participating in internships and other career activities. Students leave ready to go directly into careers or as strong candidates for four-year college.",,-100% of offers went to this group
17K528,718-230-6300,Open to New York City residents,,,,,"This program is designed to build student interest and engagement in computer science and prepare more students for great career opportunities that require computational thinking. The program comprises introductory, foundation, and specialty courses.",,,"This program is taught by certified Project Lead the Way teachers. Engineering students engage in open-ended problem solving, learn and apply the engineering design process, and use the same industry-leading technology and software as are used in the world's companies. Students are immersed in design as they investigate topics such as ethics, sustainability, mechatronics, forces, structure, aerodynamics, digital electronics, circuit design, manufacture, and the environment.",,,2.0,,,,,Health Professions,,,,,,,"Elective art courses (Visual Arts, Drama, Photography)",,"French, Spanish",,,,,,,,,,"B41, B43, B44-SBS, B45, B48, B49",,N,K32C,,,19.0,AP Computer Science,,,,,Engineering,5,"From the moment students walk into the classroom, they are immersed in the mysterious death of Anna and asked to investigate, document, and analyze evidence to solve the case. Case-based scenarios like this one span all PLTW biomedical science courses. Students explore a range of careers in biomedical sciences as they learn content in the context of real-world, hands-on activities, projects, and problems.",0.33,We provide students with a rigorous college preparatory education that provides them with the skills and knowledge necessary to compete both academically and economically in a global society. We offer our students a challenging academic program in a personalized school environment with a relentless focus on college and career readiness.,,
02M282,212-225-0890,,,,,,,,,"Typical 9th grade schedules include Physics, Algebra or Geometry, US History, ELA, Health, Advisory, Physical Education, Foundations of Computer Science, and Foundations of Design. Priority given to students who are eligible for Free Lunch (based on family income) for up to 63% of seats.",,,1.0,,,,,,,,,,,,Partnership with BMCC and CUNY College Now for college courses.,,"American Sign Language, Spanish",,,,,,,,,,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M55, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8",,,,,,90.0,"AP English Language and Composition, AP Environmental Science, AP U.S. History",,,,,Urban Assembly Maker Academy,,,,"UA Maker prepares students to find and solve challenges and create positive change. Our school uses design thinking and mastery-based grading to support all students for college and career success. All students take classes in coding and graphic design in addition to Regents based classes. You will use a laptop in class to support your studies in school e as you develop the technology skills essential to a 21st century world. Your classes will challenge you to explore new ideas and technologies. UA Maker is a community of learners dedicated to growth mindset, self-awareness, and mastery.",,
17K543,718-564-2540,,,,,,,,,"STAR is a participating Brooklyn STEAM school. The ""Brooklyn STEAM Center"" is a technical education hub being developed at the Brooklyn Navy Yard that will allow students from eight high schools to participate in a STEAM (science, technology, engineering, arts, and math) program model focused on five industry areas including information technology, media and design, engineering, construction, and culinary arts. Each school year a cohort of 25 9th grade students are selected to participate.",,,2.0,,"Course Grades: English (75-100), Math (77-100), Science (75-100), Social Studies (77-100)",,,,,,,,,,,,"French, Spanish",Writing Exercise (on-site),,,,,,,,,"B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4",,,,,,64.0,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP U.S. Government and Politics",,,,,Early College,,,0.83,"Science, Technology and Research Early College High School at Erasmus (STAR) is a small Early College Network school. Our dynamic team of high school teachers and Brooklyn College professors are eager to prepare students interested in science, mathematics, and technology for college and the world of work. With our partners, we offer a range of challenging academic courses that give students first-hand exposure to the demands of high school and college by using field-based and hands-on methods of instruction. Students use the rich resources on the Brooklyn College and other City University of New York (CUNY) campuses as their learning laboratories. In addition to their high school diploma, students may earn 30 or more college credits.",,-35% of offers went to this group
19K615,718-647-5204,Open to New York City residents,,,Computer Science & Technology,,"Prepares students for Green careers in residential and commercial electrical wiring systems. Students are provided with theoretical and practical knowledge, necessary to install and repair these systems. Certificates/Industry exams-OSHA 10hr, Skills USA Construction Wiring & C-Tech Energy Management. Students are eligible for direct employment with MTA agencies including NYC Transit.",K69N,,"Prepares students for careers in computer forensics and law enforcement. The course focuses on concepts of computers and transitions into security awareness, hacking, and mobile device and advanced computer forensics. Certificates/Industry exams-IC3, IT Fundamentals, and Cyber-Security.",,,2.0,,,,Ed. Opt.,Engineering,,,,Yes-10,,"Prepares students for careers in computers and wired and wireless networks. The program focuses on building, maintaining and troubleshooting computers, mobile devices, printers, and networks. Certificates/Industry exams: IC3, IT Fundamentals, A+ Computer Repair and C-Tech Copper & Fiber.","CUNY College Now courses, Advanced Placement courses, College-Level CTE courses, Skills USA, National Technical Honor Society, Industry Certifications",,Spanish,,,,,,CTE,Ed. Opt.,Punctuality,"Prepares students for careers in computer information systems. Students will learn digital literacy, which includes basic computer skills such as hardware and software, Microsoft Office, internet connectivity, and network setup and obtain an entry level IT help-desk position at the completion of the course. At the completion of the program students are offered multiple industry-recognized certifications. Certificates/Industry Exams: IC3, IT Fundamentals, and A+ Computer Repair.","B13, B14, Q24, Q7, Q8",,N,K69L,,,50.0,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Psychology, AP Statistics, AP U.S. History",,,,,Computer Forensic Science and Technology,1,"Prepares students for careers in the electronics field. Students will develop knowledge of computer circuitry, micro-technology, analog and digital electronics, basic electronics, and circuit boards. Students learn about electricity basics, voltage, and current. Students are eligible for direct employment with MTA agencies including NYC Transit. Certificates/Industry Exams: Electronics Technician Association (ETA).",0.45,"Transit Tech offers a comprehensive curriculum of technical and academic programs that prepare students to be both college and career ready. Through our college and industry partners and unique partnership with MTA New York City Transit, students access college level and advance placement pre-engineering/STEM courses in addition to paid internship and apprenticeship opportunities that will lead to lucrative careers.",,
