school_name,code1,requirement3_2,shared_space,borough,requirement1_8,seats104,school_10th_seats,grade9gefilledflag9,school_sports,admissionspriority28,code6,common_audition3,seats9swd7,seats5specialized,interest9,seats4specialized,common_audition7,school_email,latitude,common_audition8,longitude,method4,campus_name,method10,method1,requirement2_7,seats9ge7,requirement5_6,grade9geapplicants8,program6,admissionspriority15,requirement4_7,requirement1_2,requirement5_2,requirement5_10,requirement7_3,requirement6_4,interest3,seats108,requirement6_8,requirement4_5,start_time,offer_rate7,seats9ge8,seats9ge2,program9,seats9ge4,bin,grade9geapplicantsperseat10,interest4,admissionspriority24,program2,grade9geapplicantsperseat3,code2,seats9swd4,requirement2_5,seats9ge5,requirement6_6
Urban Assembly Gateway School for Technology,A23A,,Yes,MANHATTAN,,,,,"Cheerleading, Flag Football, Handball, Martial Arts, Ping Pong, Running, Skateboarding, Soccer, Tennis, Weight Training",,,,,,,,,admissions@uagateway.org,40.76337,,-73.990593,,Graphics Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:15am,,,,,,1026646.0,,,,,,,,,,
The Global Learning Collaborative,A17A,,Yes,MANHATTAN,,,,,,,,,,,,,,casillas@theglcnyc.org,40.785803,,-73.974614,,Louis D. Brandeis Educational Complex,,Ed. Opt.,,,,,,,,,,,,,,,,,8:30am,,,,,,1032128.0,,,,,,,,,,
High School for Health Careers and Sciences,M33A,,Yes,MANHATTAN,,,Y,,"(NCAA Cleared) Aerobics, Cardio-Fitness, Competitive Cycling, Dance, Fencing, Swimming, Weight Training, Yoga, Zumba",,,,,,,,,Jtrejo@schools.nyc.gov,40.855954,,-73.927051,,George Washington Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,,,,1076751.0,,,,,,,,,,
High School for Community Leadership,Q33A,,Yes,QUEENS   ,Individual Interview (on-site),,,,"(NCAA Cleared) Cheerleading, Weightlifting",,,,,,,,,Cborrero@schools.nyc.gov,40.713218,,-73.797237,,Jamaica Educational Campus,,Ed. Opt.,Writing Exercise (on-site),,,,,,,Individual Interview (on-site),,,,,,,,,9am,-100% of offers went to this group,,,,,4448806.0,,,,,,,,Writing Exercise (on-site),,
Brooklyn Lab School,L46A,,Yes,BROOKLYN ,,,Y,,NCAA Cleared,,,,,,,,,Ghenry3Schools.nyc.gov,40.691146,,-73.868328,,Franklin K. Lane Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,,,,3090738.0,,,,,,,,,,
Middle College High School at LaGuardia Community College,Q30J,"Course Grades: English (67-100), Math (65-100), Science (65-100), Social Studies (67-100)",Yes,QUEENS   ,Attendance,,Y,,NCAA Cleared,,,,,,,,,jgonzalez10@schools.nyc.gov,40.744412,,-73.93364,,Middle College Educational Campus,,Screened,Punctuality,,,,,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (1.9-4.5)",Attendance,,,,,,,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (1.9-4.5)",8am,-96% of offers went to this group,,,,,4003442.0,,,,,,,,Punctuality,,
Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),X80A,,No,BRONX    ,,,,,"(NCAA Cleared) Baseball, Cheerleading, Faculty-Student Games, High School Field Day, RKA Dancers, Running, Step, Tennis, Volleyball, Yoga",,,,,,,,,jprince4@schools.nyc.gov,40.888338,,-73.913486,,,,Screened,,,,,,,,,,,,,,,,,8:20am,,,,,,2085870.0,,,,,,,,,,
High School of Language and Innovation,Y52A,,Yes,BRONX    ,,,Y,,,,,,,,,,,info@languageandinnovation.org,40.859665,,-73.861006,,Christopher Columbus Educational Campus,,Screened: Language,,,,,,,,,,,,,,,,,8:20am,,,,,,2050179.0,,,,,,,,,,
Marble Hill High School for International Studies,X43A,,Yes,BRONX    ,,,Y,,(NCAA Cleared) See Campus PSAL sports listed above.,,,,,,,,,Ireyes@marblehillschool.org,40.877105,,-73.912256,,John F. Kennedy Educational Campus,,Screened,,,,,,,,,,,,,,,,,8:30am,,,42,,,1064532.0,,,,International Academy,,X43B,,,,
Academy for Careers in Television and Film (ACTV),Q01A,,Yes,QUEENS   ,,,,,NCAA Cleared,,,,,,,,,info@actvf.org,40.742956,,-73.959196,,Hunter's Point Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,9am,,,,,,4538588.0,,,,,,,,,,
El Puente Academy for Peace and Justice,K75A,,No,BROOKLYN ,,,,,"Intramural Boys & Girls Basketball, Volleyball after-school opportunities",,,,,,,,,Wvazque3@schools.nyc.gov,40.705898,,-73.955611,,,,Ed. Opt.,,,,,,,,,,,,,,,,,9am,,,,,,3379706.0,,,,,,,,,,
The Michael J. Petrides School,R15J,,No,STATEN IS,,,,,(NCAA Cleared) Cheerleading,,,,,,,,,ATabbit@schools.nyc.gov,40.608517,,-74.102078,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,N/A - continuing program,,,5113169.0,,,,Comprehensive Academic for Current Students,,R15K,,,,
Stuyvesant High School,NO CODE,,Yes,MANHATTAN,,,Y,,NCAA Cleared,,,,,,,,,02M475@schools.nyc.gov,40.71759,,-74.013748,,,,Test,,,,,,,,,,,,,,,,,8am,,,,,,1084587.0,,,,,,,,,,
Tottenville High School,R30B,Course Grades: Average (92-100),Yes,STATEN IS,,Yes,Y,,"(NCAA Cleared) Cheerleading, Dance Team",,,,,,,,,31R455@schools.nyc.gov,40.528092,,-74.192032,Zoned Guarantee,,,Ed. Opt.,,,,,,,,Attendance,Honors/Accelerated Coursework,,,,Science & Math,,,,8am,,,54,,N/A - zoned program,5082634.0,,Zoned,,Classics Institute,18,R30C,N/A - zoned program,,,
Queens Collegiate: A College Board School,Q05A,,Yes,QUEENS   ,,,,,Cheerleading,,,,,,,,,MrErskine@queenscollegiate.org,40.713218,,-73.797237,,Jamaica Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:20am,,,N/A - continuing program,,,4448806.0,,,,Queens Collegiate for Current Students,,Q05B,,,,
Queens Preparatory Academy,Q04R,,Yes,QUEENS   ,,,,,(NCAA Cleared) QPA Weightlifting Club,,,,,,,,,thaywoo2@queensprepacademy.org,40.668235,,-73.756839,,Springfield Gardens Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:10am,-100% of offers went to this group,,,,,4280845.0,,,,,,,,,,
Bronx Theatre High School,X38A,,Yes,BRONX    ,,,Y,,NCAA Cleared,,,,,,,,,DAlbett@schools.nyc.gov,40.877105,,-73.912256,,John F. Kennedy Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:40am,,,48,,,1064532.0,,,,Performance and Production,,X38B,,,,
The Maxine Greene High School for Imaginative Inquiry,M11R,,Yes,MANHATTAN,,,Y,,"(NCAA Cleared) Baseball, Basketball, Soccer, Volleyball, Wrestling",,,,,,,,,pmartinez@schools.nyc.gov,40.774351,,-73.984753,,"Martin Luther King, Jr. Educational Campus",,Ed. Opt.,,,,,,,,,,,,,,,,,8:01am,,,,,,1030343.0,,,,,,,,,,
Cambria Heights Academy,Q44A,,No,QUEENS   ,Test: coding session (on-site),,Y,,"Basketball, Bowling, Flag Football, Soccer, Track",,,,,,,,,Ms.Malary@nycacademy.org,40.711849,,-73.771195,,,,Ed. Opt.,,,,,,,,Test: coding session (on-site),,,,,,,,,8:20am,-98% of offers went to this group,,,,,4222072.0,,,,,,,,,,
Humanities Preparatory Academy,M99A,,Yes,MANHATTAN,,,,,(NCAA Cleared) Soccer,,,,,,,,,Hilda@humanitiesprep.org,40.742867,,-74.002136,,Bayard Rustin Educational Campus,,Screened,,,,,,,,,,,,,,,,,8:39am,,,,,,1013096.0,,,,,,,,,,
John Adams High School,Q10A,,Yes,QUEENS   ,,Yes-10,Y,,"(NCAA Cleared) Badminton Tournament, Chess, Intramural Sports Soccer Tournament",,Q10F,,5,,,,,MPanindranauth@schools.nyc.gov,40.679639,,-73.837298,Ed. Opt.,,,Screened,Punctuality,25,,N/A - zoned program,STEM Academy,Open to New York City residents,"Standardized Test Scores: English Language Arts (1.5-4.5), Math (1.5-4.5)",,,,,,Health Professions,Yes,,,8:15am,,N/A - zoned program,85,,85,4202849.0,,Performing Arts/Visual Art & Design,,Law and International Studies Academy,4,Q10B,17,,85.0,
Stephen T. Mather Building Arts & Craftsmanship High School,M18A,,Yes,MANHATTAN,,,Y,,"(NCAA Cleared) 3-on-3 Student Basketball Tournament, Aerobic Training, Annual Student vs. Staff Basketball Game, Dance, Flag Football, Intramural Soccer, Martial Arts, Running Club, Weightlifting, Yoga, and others upon request",,,,,,,,,MrRogers@MatherHSNYC.org,40.76337,,-73.990593,,Graphics Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:55am,,,,,,1026646.0,,,,,,,,,,
High School for Dual Language and Asian Studies,M59A,,Yes,MANHATTAN,,,,,"Badminton, Ping-Pong, Saturday Fitness, Swimming, Taekwondo, Team Sports",,,,,,,,,LYan@schools.nyc.gov,40.716778,,-73.989337,,Seward Park Educational Campus,,Screened: Language & Academics,,,,,,,,,,,,,,,,,8am,,,,,,1005283.0,,,,,,,,,,
FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,K62X,,Yes,BROOKLYN ,,,,,NCAA Cleared,,,,,,,,,JAnders@schools.nyc.gov,40.667456,,-73.894747,,Thomas Jefferson Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,,,,3084440.0,,,,,,,,,,
Gramercy Arts High School,M66A,Attendance and Punctuality,Yes,MANHATTAN,,,Y,,,,,,,,,,,sdicicco@schools.nyc.gov,40.735494,,-73.987659,,Washington Irving Educational Campus,,Audition,,,,,,,,Course Grades: Average (69-100),,,,,Humanities & Interdisciplinary,,,,8:20am,,,53,,,1017828.0,,,,Performing Arts,3,M66B,,,,
Channel View School for Research,Q97A,,Yes,QUEENS   ,,,,,"(NCAA Cleared) Archery, Basketball, Floor Hockey, New York City Road Runners Track Club",,,,,,,,,Dharper22@schools.nyc.gov,40.586066,,-73.822624,,Beach Channel Educational Campus,,Ed. Opt.,,,,,,,,,,,,,Humanities & Interdisciplinary,,,,8am,-50% of offers went to this group,,N/A - continuing program,,,4303773.0,,,,Channel View College & Career Readiness for Current Students,6,Q97W,,,,
