phone_number,requirement6_2,website,prgdesc8,earlycollege,requirement5_4,bbl,common_audition4,appperseat3specialized,academicopportunities3,interest1,requirement1_10,seats9swd6,requirement4_4,method5,offer_rate2,grade9swdfilledflag5,seats9ge9,requirement7_5,admissionspriority34,code7,grade9swdfilledflag7,common_audition2,psal_sports_coed,requirement6_7,requirement1_7,applicants6specialized,grade9geapplicants5,grade9swdfilledflag1,seats9swd10,requirement5_8,requirement2_1,applicants4specialized,grade9gefilledflag7,common_audition6,seats101,grade9geapplicants10,grade9geapplicantsperseat6,grade9geapplicants1,requirement5_9,common_audition9,admissionspriority11,grade9geapplicants3,interest10,prgdesc6,admissionspriority41,grade9swdapplicants6,requirement7_2,applicants3specialized,admissionspriority21,extracurricular_activities,grade9gefilledflag6,seats105,admissionspriority16,ell_programs,grade9geapplicantsperseat4,program10,finalgrades,code8,grade9geapplicants4,international
6-5032,,mybrooklynstudio.com,,,,3063290032.0,,,Inclusive Special Education Program grounded in the Instructional Co-Teaching model; Supportive English as a New Language program in ELA and core academic courses.,Performing Arts,,,,,-98% of offers went to this group,,,,,,,,,,,,,Y,,,,,,,No,,,215.0,,,Priority to District 21 students or residents,N/A - continuing program,,,,,,,Then to Brooklyn students or residents,"Anime Club, Arista/Archon, Chess, Coding Club, Concert Band, Honor Roll (Merit and Principal's List), Jazz Band, Jewish Club, Modern Dance, Senior Activities, Senior Committee, Student Consultative Council, Student Government, Work-Based Learning, Yearbook",,,,English as a New Language,,,6 to 12,,,
212-675-6206,,nycmuseumschool.org,,,,1007410010.0,,,Our instructional periods are longer and there are only six throughout the day (53 minutes each) in addition to lunch.,Humanities & Interdisciplinary,,,,,,,,,,,,,Golf,,,,,Y,,,Punctuality,,,,Yes-5,,,3122.0,,,Priority to District 2 students or residents,,,,,,,,Then to New York City residents,"ARCHIVE Literary Magazine, AV Squad, Bollywood Dance Club, Book Club, Cheerleading, GSA, Hudson River Community Sailing Programs, Japanese Club, Red Cross Club, Running Club, Student Government and Activities Council, Yearbook Design Club",,,,English as a New Language,,,9 to 12,,,
212-677-5190,,nestmk12.net,,,,1003350001.0,,,Ninth grade theater and literacy program,Science & Math,,,,,,,,,,,,,,,,,,Y,,,Standardized Test Scores: Average (3.6-4.5),,,,Yes-10,,,5462.0,,,Priority to continuing 8th graders,,,,,,,,Then to New York City residents,"Art Exhibitions, Bi-annual Writing Competitions, Black Student Union, Borough Advisory Student Council, Chess Competitions, Comedy Troupe, Creative Writing Club, Debate, Dream Team, Girls Who Code, GSA, Hackathons, Key Club, Literary Magazine, Math Team/Contests, Model United Nations, Muslim Student Association, National Honor Society, NHS Peer Tutoring, Open Mic Events, Peer Leaders, Robotics, Student Government, Talent Show, Winter and Spring School Plays",,,,English as a New Language,,,K to 12,,,
212-362-2015,,fmhsnyc.org,,,,1012150001.0,,,Mini term twice a year for 11th and 12th grade academic electives (Intersession).,Project-Based Learning,,,,,,,,,,,,,,,,,,Y,,,Course Grades: Average (76-100),,,,Yes-6,,,1345.0,,,Open to New York City residents,,,,,,,,,"Clubs ideas are generated by students and staff and vary each year. This year's offerings include: Art Club, Astrophysics Club, Black Student Union, Dance, Key Club, Model United Nations, Newspaper, Outdoors Club, STEP, Student Government, Video Game Club",,,,English as a New Language,,,9 to 12,,,
647-520,,transittechhs.org,,,,3041550075.0,,,"Project Lead the Way: STEM courses in Introduction to Engineering Design, Digital Electronics, and Computer Science",Computer Science & Technology,,13,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.7-4.5)",Screened,,N,,,,K69R,N,,Cricket,,,,71,N,,,,,N,,Yes-5,,2,336.0,,,Open to New York City residents,82,,"Prepares students for careers in computer engineering. Students are trained on the basic concepts and functions of computers from an engineering perspective. Students acquire knowledge of motherboards, hard drives, RAM, CPU, GPU, computer peripherals, and various operating systems. Additionally, students are trained in security, preventative maintenance. Certificates/Industry exams: IC3, IT Fundamentals, and A+ Computer Repair.",,50,,,,"Career Exploration, Chemistry, Chess, Colombia Model Congress, Community Service, Conflict Resolution, Debate, Guitar, Honor Society, Model United Nations, Moot Court and Mock Trial, Mouse Squad (Student IT Specialist), National Technical Honor Society, Peer Mediation, SkillsUSA, Steppers, Student Council, Student Mentoring, Student Peer College Advisors, Train, Transit Yearbook Club, Yale and Columbia Model Congress",N,Yes-5,Open to New York City residents,English as a New Language,2.0,,9 to 12,,118.0,
212-696-0195,,mhacademy.net,,,,1008897501.0,,,Each major subject area offers Honors-level work to all students. Honors courses are infused in everyday classes.,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,N/A - transfer school,,,,,,,Yes-40,,,267.0,,,Priority to Manhattan students or residents,,,,,,,,Then to New York City residents,"After-School Opportunities for Students: Individualized Tutoring, Regents, and SAT Preparation (STARS); BEATS Music and Poetry, Community Service, Dance, Film, Green Team, GSA, International Trips, Mentoring with various organizations, MOUSE Squad/Tech Squad, National Honor Society, NYPD Youth Explorers, Peer Mediation, Saturday Tutoring, School Newspaper, Student Activities (COSA), Students Against Destructive Decisions, Student Government, Student Voice Collaborative, Visual Arts, Yearbook",,,,English as a New Language,,,9 to 12,,,
718-891-0037,,originshighschool.org,,,,3074250002.0,,,"We offer individualized college, academic, and career counseling, a junior/senior internship program, and CUNY College NOW courses",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-10,,,179.0,,,Priority to Brooklyn students or residents,,,,,,,,Then to New York City residents,"After-School Tutoring, Peer Mediation, and Student Council are available year round; We also offer a variety of clubs and enrichment activities throughout the year, based on student interest, including: Ceramics & Painting, Cheerleading, Dance, Digital Photography, GSA, Green Team/Garden Club, Mock Trial, Moot Court, Robotics and Space, Rock and Pop Music Program, Yearbook, Young Women's and Young Men's Groups",,,,English as a New Language,,,9 to 12,,,
718-665-4128,,ichs.weebly.com,,,,2022860036.0,,,"Chancellor's Equity & Excellence Initiatives: Single Shepherd, College Access for All, and Computer Science For All",Humanities & Interdisciplinary,,,,,,,,,,,,,"Outdoor Track, Table Tennis",,,,,Y,,,,,,,Yes-10,,,216.0,,,,,,,,,,,,"Advisory, ASPIRA Leadership Program, Ballroom/Hip-Hop Dance, Before & After-School Tutoring, Capoeira, Center for Urban Pedagogy, Computer Science/Website Design, Drama, Internship Program, John McEnroe Tennis Academy, LOVE Mentoring, Math Wizard Competition, Model UN, Peer Mediation, Poetry Club, Repertorio EspaÃÂÃÂ±ol Theater Group, SAT Prep Classes, Saturday Family Programs, Sauti Yetu Debate Club, Senior Committee, STEM Club, Student Government, Studio Art, Sunday Baseball Clinic",,,,English as a New Language,,,9 to 12,,,1.0
718-455-0746,,gothamacademy.org,,,,3011410005.0,,,We are a College Access for All school. Annual college and career days and college visits expose all students to college and career options.,Performing Arts/Visual Art & Design,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-8,,,222.0,,,Open to New York City residents,,,,,,,,,"Anime Club, Fashion Club, Improv Acting Club, Dance Club, GSA, Peer Group Connection (student-to-student mentoring program), Before- and After-School Tutoring and Academic Support, Saturday Enrichment (once a month)",,,,English as a New Language,,,9 to 12,,,
718-472-0536,,energytechschool.org,,1.0,,4003430001.0,,,Internship and other career opportunities required; offsite technical training; networking fairs and career classes offered to all students.,Engineering,,,,,-100% of offers went to this group,,,,,,,,,,,,,Y,,,,,,,Yes-5,,,1186.0,,,Priority to Queens students or residents,,,,,,,,Then to New York City residents,"ACE Mentoring, Art Club, Book Club, Community Service/NYCares Club, Computer Programming, Gaming, Gardening Club, GSA, Korean, Math Team, Peer Mediation, Peer Tutoring, Robotics (FTC, FRC, & VEX), SAT/PSAT Prep, Saturday Academy, School Ambassadors, Science Olympiad, Shakespeare Festival, Student Government, Summer Enrichment, Theater/Improv Club, Urban Explorers, Women in STEM, Yearbook, and other student-proposed clubs and activities",,,,English as a New Language,,,9 to 14,,,
