caseno,lot,detail_caseno,tax_lot,total_tenant_exemption_amount,total_prior_year_exemption,total_final_exempt_taxable
26591127,1838,26591127,1838,209858.0,209458.0,0.0
26590604,1769,26590604,1769,268151.0,267641.0,0.0
26587453,1016,26587453,1016,2519628.0,2538248.0,0.0
26590390,1738,26590390,1738,157392.0,157093.0,0.0
26587437,1004,26587437,1004,257472.0,8446042.0,0.0
26592730,2058,26592730,2058,116313.0,118198.0,0.0
26590112,1630,26590112,1630,231439.0,234762.0,0.0
26587392,1,26587392,1,20180610.0,212553900.0,0.0
26589285,1507,26589285,1507,168212.0,170627.0,0.0
26589740,1573,26589740,1573,183047.0,185674.0,0.0
26587469,1027,26587469,1027,134061.0,135051.0,0.0
26591439,1878,26591439,1878,215686.0,215276.0,0.0
26587777,1124,26587777,1124,2648961.0,2668531.0,0.0
26588167,1186,26588167,1186,2270424.0,2287201.0,0.0
26587495,1046,26587495,1046,147673.0,148763.0,0.0
26592979,2075,26592979,2075,125703.0,127699.0,0.0
26593464,2109,26593464,2109,270862.0,275164.0,0.0
26588703,1429,26588703,1429,192034.0,194791.0,0.0
26590863,1805,26590863,1805,189979.0,189613.0,0.0
26593107,2085,26593107,2085,238473.0,242258.0,0.0
26593169,2089,26593169,2089,144602.0,146898.0,0.0
26592264,2022,26592264,2022,113839.0,115647.0,0.0
26594131,2216,26594131,2216,71817.0,75771.0,0.0
26593831,2133,26593831,2133,111986.0,113803.0,0.0
26588389,1220,26588389,1220,2289158.0,2306068.0,0.0
26593238,2093,26593238,2093,128177.0,130249.0,0.0
26588137,1182,26588137,1182,1239028.0,1248186.0,0.0
26589576,1550,26589576,1550,132504.0,134407.0,0.0
26590501,1756,26590501,1756,262321.0,261822.0,0.0
26589140,1486,26589140,1486,165102.0,167472.0,0.0
26589017,1471,26589017,1471,199519.0,202383.0,0.0
26588751,1437,26588751,1437,157944.0,160212.0,0.0
26590287,1721,26590287,1721,233174.0,232731.0,0.0
26591136,1839,26591136,1839,233174.0,232731.0,0.0
26592201,2017,26592201,2017,125168.0,127156.0,0.0
27020743,1258,27020743,1258,0.0,6126.0,0.0
26589911,1602,26589911,1602,223424.0,226631.0,0.0
26587580,1078,26587580,1078,75282.0,75839.0,0.0
26588601,1411,26588601,1411,224654.0,227879.0,0.0
26592293,2024,26592293,2024,108975.0,110706.0,0.0
26587371,1,26587371,1,502754580.0,212553900.0,0.0
26587507,1052,26587507,1052,160299.0,159092.0,0.0
26594519,2240,26594519,2240,73290.0,77323.0,0.0
26592600,2048,26592600,2048,115459.0,117293.0,0.0
26590432,1746,26590432,1746,201637.0,201249.0,0.0
26592985,2076,26592985,2076,158618.0,161136.0,0.0
26587546,1068,26587546,1068,2177970.0,2194063.0,0.0
26589340,1517,26589340,1517,309696.0,314140.0,0.0
26592309,2025,26592309,2025,86321.0,87693.0,0.0
26590648,1776,26590648,1776,145732.0,145457.0,0.0
