phone,total_vehicle_safety_violations,fatal_crashes,latitude,longitude,latitude_1,longitude_1
718-888-0402,0.2,0.0,40.764583,-73.83384,40.764583,-73.83384
718-651-1166,0.13,0.0,40.737289,-73.89592,40.737289,-73.89592
718-482-8585,0.09,0.0,40.735627,-73.93612,40.735627,-73.93612
718-743-8042,0.26,0.0,40.592698,-73.948855,40.592698,-73.948855
718-898-1000,0.06,0.0,40.740878,-73.942043,40.740878,-73.942043
718-232-3434,0.04,0.0,40.602225,-73.99315,40.602225,-73.99315
212-629-8000,0.26,0.0,40.756839,-73.999141,40.756839,-73.999141
718-585-8500,0.0,0.0,40.803251,-73.90843,40.803251,-73.90843
718-777-5555,0.06,0.0,40.765944,-73.912989,40.765944,-73.912989
646-665-7536,0.06,0.0,40.75273,-74.006408,40.75273,-74.006408
718-633-4800,0.0,0.0,40.615053,-73.98053,40.615053,-73.98053
646-844-6564,0.06,0.0,40.74393,-73.98819,40.74393,-73.98819
718-881-0707,0.02,0.0,40.871273,-73.847835,40.871273,-73.847835
917-500-4381,0.0,0.0,40.625703,-73.939761,40.625703,-73.939761
718-788-1234,0.09,0.0,40.681771,-73.98047,40.681771,-73.98047
917-903-0829,0.05,0.0,40.830027,-73.9723,40.830027,-73.9723
212-304-8080,0.11,0.0,40.864833,-73.92718,40.864833,-73.92718
347-666-6666,0.09,0.0,40.701122,-73.83138,40.701122,-73.83138
718-230-0202,0.03,0.0,40.675852,-73.96356,40.675852,-73.96356
718-845-0577,0.19,0.0,40.688403,-73.819306,40.688403,-73.819306
718-446-8700 or 718-446-8793,0.1,0.0,40.752792,-73.88013,40.752792,-73.88013
646-665-7473,2.44,0.0,40.75273,-74.00641,40.75273,-74.00641
718-773-0020,0.03,0.0,40.680078,-73.958011,40.680078,-73.958011
718-507-6363,0.34,0.0,40.752235,-73.85365,40.752235,-73.85365
718-472-1000,0.26,0.0,40.82848,-73.394994,40.82848,-73.394994
718-328-1111,0.11,0.0,40.819497,-73.88907,40.819497,-73.88907
201-477-3200,0.0,0.0,40.922042,-74.069773,40.922042,-74.069773
718-383-8300,0.21,0.0,40.711192,-73.951373,40.711192,-73.951373
718-746-4670,0.01,0.0,40.779966,-73.898038,40.779966,-73.898038
718-424-1250,0.06,0.0,40.733779,-73.635348,40.733779,-73.635348
212-647-8400,0.0,0.0,40.823087,-74.155516,40.823087,-74.155516
718-442-0022,0.07,0.0,40.617782,-74.101897,40.617782,-74.101897
718-703-3333,1.92,0.0,40.59092,-73.961,40.59092,-73.961
212-364-2000,0.03,0.0,40.751777,-73.930235,40.751777,-73.930235
718-544-4444,0.0,0.0,40.717166,-73.857354,40.717166,-73.857354
516-741-1515,0.04,0.0,40.782137,-73.826104,40.782137,-73.826104
212-663-8080,0.16,0.0,40.807098,-73.952675,40.807098,-73.952675
