phone,industry_sector,category,count,avg_value,total_value,max_value
212-663-8080,livery,low fatality,1,0.0,0.0,0.0
718-651-1166,luxury limo,low fatality,1,0.0,0.0,0.0
212-304-8080,livery,low fatality,1,0.0,0.0,0.0
718-383-8300,livery,low fatality,1,0.0,0.0,0.0
718-777-5555,livery,low fatality,1,0.0,0.0,0.0
718-703-3333,livery,low fatality,8,0.0,0.0,0.0
516-741-1515,luxury limo,low fatality,1,0.0,0.0,0.0
718-442-0022,livery,low fatality,1,0.0,0.0,0.0
718-845-0577,livery,low fatality,1,0.0,0.0,0.0
347-666-6666,black car,low fatality,1,0.0,0.0,0.0
718-746-4670,luxury limo,low fatality,1,0.0,0.0,0.0
718-743-8042,luxury limo,low fatality,1,0.0,0.0,0.0
201-477-3200,luxury limo,low fatality,1,0.0,0.0,0.0
718-232-3434,livery,low fatality,1,0.0,0.0,0.0
917-903-0829,luxury limo,low fatality,1,0.0,0.0,0.0
718-788-1234,livery,low fatality,1,0.0,0.0,0.0
212-364-2000,livery,low fatality,2,0.0,0.0,0.0
718-507-6363,livery,low fatality,1,0.0,0.0,0.0
718-230-0202,livery,low fatality,1,0.0,0.0,0.0
718-703-3333,black car,low fatality,8,0.0,0.0,0.0
718-888-0402,black car,low fatality,1,0.0,0.0,0.0
718-482-8585,black car,low fatality,1,0.0,0.0,0.0
718-898-1000,luxury limo,low fatality,1,0.0,0.0,0.0
718-446-8700 or 718-446-8793,livery,low fatality,1,0.0,0.0,0.0
646-665-7473,black car,low fatality,24,0.0,0.0,0.0
718-633-4800,livery,low fatality,1,0.0,0.0,0.0
917-500-4381,black car,low fatality,1,0.0,0.0,0.0
212-647-8400,luxury limo,low fatality,1,0.0,0.0,0.0
646-665-7536,black car,low fatality,4,0.0,0.0,0.0
718-472-1000,black car,low fatality,1,0.0,0.0,0.0
212-629-8000,black car,low fatality,1,0.0,0.0,0.0
646-844-6564,black car,low fatality,1,0.0,0.0,0.0
212-629-8000,livery,low fatality,1,0.0,0.0,0.0
718-743-8042,black car,low fatality,1,0.0,0.0,0.0
718-585-8500,luxury limo,low fatality,1,0.0,0.0,0.0
718-328-1111,livery,low fatality,1,0.0,0.0,0.0
718-881-0707,livery,low fatality,1,0.0,0.0,0.0
718-424-1250,black car,low fatality,1,0.0,0.0,0.0
718-544-4444,livery,low fatality,1,0.0,0.0,0.0
718-773-0020,livery,low fatality,1,0.0,0.0,0.0
