schooldbn,locationname,phone,nyceec_others_some,bin,programname2,programname3,rezoning,prek_type,programcode2,singlegender,enhancedlang_note,community_board,council_district,postcode,hours,district_zonedsib,nta,pkc_outdistrict_all,nyceec_services_some,bus,accessibility,lpga,nyceec_current_all
18KBOW,Friends of Crown Heights 4,718-284-2184,,3108957.0,,,,NYCEEC,,,,17.0,41.0,11203.0,Contact program,,East Flatbush-Farragut                                                     ,,,"B12, B35, B44, B46",Contact program,,x
09X110,P.S. 110 Theodore Schoenfeld,718-861-0759,,2009718.0,,,,District School,,,,3.0,16.0,10456.0,8am-2:20pm,x,Morrisania-Melrose                                                         ,,,"Bx11, Bx15, Bx17, Bx21, Bx35, Bx41, Bx41-SBS",Not Accessible,,
02MAUN,Eisman Day Nursery,212-876-9200,,1076333.0,,,,NYCEEC,,,,8.0,5.0,10128.0,Contact program,,Yorkville                                                                  ,,,"BxM1, BxM10, BxM6, BxM7, BxM8, BxM9, M101, M102, M103, M15, M15-SBS, M31, M86-SBS, M96, M98",Contact program,,x
17KBVX,Yeled V'Yalda 667,718-686-3700,,3032753.0,,,,NYCEEC,,Single-gender program (Boys only),,8.0,35.0,11213.0,Contact program,,Crown Heights North                                                        ,,,"B43, B44, B44-SBS, B45, B49, B65",Contact program,,
04M057,James Weldon Johnson,212,,1083184.0,Spanish Dual Language Program,,,District School,04M057FDPKSP,,,11.0,8.0,10029.0,Contact program,x,East Harlem North                                                          ,,,"BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M106, M116, M15, M15-SBS, M2, M3, M35, M4, M98",Not Accessible,,
07X154,P.S. 154 Jonathan D. Hyatt,718-292-4742,,2097030.0,,,,District School,,,,1.0,8.0,10454.0,8:15am-2:35pm,,Mott Haven-Port Morris                                                     ,,,"Bx1, Bx15, Bx17, Bx2, Bx21, Bx32, Bx33, M100, M15, M15-SBS",Not Accessible,"Last year, this program admitted students from all priority groups.",
09X126,P.S. 126 Dr Marjorie H Dunbar,718-681-6120,,2003495.0,,,,District School,,,,4.0,16.0,10452.0,Contact program,x,Highbridge                                                                 ,,,"Bx11, Bx13, Bx18, Bx35, Bx6, M2",Not Accessible,,
16KAZQ,Bedford Stuyvesant Early Childhood Development Center,347-763-8699,,3045801.0,,,,NYCEEC,,,,3.0,36.0,11221.0,Contact program,,Stuyvesant Heights                                                         ,,,"B15, B25, B26, B38, B43, B46, B47, B52",Contact program,,x
09XARD,Bronx Early Learning Center,718-466-3915,,2009578.0,,,,NYCEEC,,,,6.0,15.0,10457.0,8:40am-3pm,,Claremont-Bathgate                                                         ,,,"Bx1, Bx15, Bx17, Bx2, Bx36, Bx40, Bx41, Bx41-SBS, Bx42",Contact program,,x
13KCEH,Imagine Brooklyn Heights,718-624-7520,x,3001917.0,,,,NYCEEC,,,,2.0,33.0,11201.0,Contact program,,Brooklyn Heights-Cobble Hill                                               ,,,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69",Contact program,,x
04MAVS,"Boys & Girls Harbor, Inc.",212-427-2244,x,1051499.0,,,,NYCEEC,,,,11.0,8.0,10029.0,Contact program,,East Harlem South                                                          ,,,"M1, M101, M102, M106, M2, M3, M96, M98",Contact program,,x
!10XAOM,Belmont Community Day Care Center,718-584-1576,x,2012517.0,Spanish Dual Language Program,,,NYCEEC,10XAOMFDPKSP,,Enhanced Language Support: Spanish,6.0,15.0,10458.0,8:15am-2:35pm,,Belmont                                                                    ,,,"Bx12, Bx15, Bx17, Bx19, Bx22, Bx36, Bx9",Contact program,,x
15KCPP,Kings Bay Y at Windsor Terrace,718-407-6377,,3000000.0,,,,NYCEEC,,,,7.0,39.0,11218.0,8:40am-3pm,,Windsor Terrace                                                            ,,,"B103, B16, B61, B67, B68, B69, BM3, BM4",Contact program,,x
20K229,P.S. 229 Dyker,718-236-5447,,3167212.0,,,,District School,,,,11.0,43.0,11228.0,8:10am-2:30pm,,Bath Beach                                                                 ,,,"B1, B64, B8, X28, X38",Partially Accessible,,
09X,The New American Academy at Roberto Clemente State Park,718-901-9703,,2009253.0,,,,District School,,,,5.0,16.0,10453.0,Contact program,x,University Heights-Morris Heights                                          ,,,"Bx18, Bx3, Bx36, Bx40, Bx42, M100, M101, M3",Partially Accessible,,
06MAEE,Incarnation School,212-795-1030,,1063153.0,,,,NYCEEC,,,,12.0,10.0,10033.0,8am-2:20pm,,Washington Heights South                                                   ,,,"Bx11, Bx13, Bx3, Bx35, Bx7, M100, M101, M2, M3, M4, M5, M98",Contact program,,x
08XARR,"Kiderific Nursery School, Inc.",718-518-7170,x,2045852.0,,,,NYCEEC,,,,10.0,13.0,10461.0,8:45am-3:05pm,,Pelham Bay-Country Club-City Island                                        ,,,"Bx21, Bx24, Bx40, Bx42, Bx5, Bx8, BxM8",Contact program,,x
21K215,P.S. 215 Morris H. Weiss,%718-339-2464,,3178584.0,,,,District School,,,,15.0,47.0,11223.0,Contact program,x,Homecrest                                                                  ,,,"B3, B68, B82",Partially Accessible,,
12X458,Samara Community School,718-860-5332,,2010786.0,Spanish Dual Language Program,,,District School,12X458FDPKSP,,,3.0,17.0,10460.0,Contact program,x,Crotona Park East                                                          ,,,"Bx11, Bx17, Bx19, Bx21, Bx27, Bx36, Bx4, Bx4A",Not Accessible,,
19K214,P.S. 214 Michael Friedsam,718-647-1740,,3095254.0,,,,District School,,,,5.0,37.0,11208.0,Contact program,x,Cypress Hills-City Line                                                    ,,,"B13, B14, B15, B20, BM5, Q24, Q7, Q8",Not Accessible,,
05M092,P.S. 92 Mary Mcleod Bethune,212-690-5915,,1058808.0,,,,District School,,,,10.0,9.0,10030.0,8am-2:20pm,x,Central Harlem North-Polo Grounds                                          ,,,"Bx15, Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M60-SBS, M7",Partially Accessible,,
10X009,P.S. 9 Ryer Avenue Elementary School,718-584-3291,,2013561.0,,,,District School,,,,5.0,15.0,10458.0,Contact program,x,Fordham South                                                              ,,,"Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx2, Bx22, Bx3, Bx32, Bx34, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, Bx9, BxM4",Fully Accessible,,
17KASG,Edwards L. Cleaveland,718-778-6559,,3324613.0,,,,NYCEEC,,,,8.0,36.0,11213.0,9am-3:20pm,,Crown Heights North                                                        ,,,"B14, B15, B17, B25, B43, B44, B45, B46, B65",Contact program,,x
06MAXJ,Fort George Head Start Center # 1,212-927-2210,,1063981.0,,,,NYCEEC,,,,12.0,10.0,10033.0,Contact program,,Washington Heights North                                                   ,,,"Bx11, Bx13, Bx3, Bx35, M100, M101, M3, M4, M5, M98",Contact program,,x
10XBAH,The Learning Experience,718-708-5884,,2083672.0,Half-Day Program,,,NYCEEC,Contact program to apply.,,,8.0,11.0,10463.0,Contact program,,Spuyten Duyvil-Kingsbridge                                                 ,,,"Bx1, Bx10, Bx2, Bx20, Bx3, Bx7, Bx9, BxM1, BxM18, BxM2",Contact program,,x
05MAWM,ABC/Echo Park ECDC,646-459-6032,,1054495.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,11.0,9.0,10035.0,Contact program,,East Harlem North                                                          ,,,"Bx15, Bx33, M1, M100, M101, M103, M116, M15, M15-SBS, M35, M7, M98",Contact program,,x
03M009,P.S. 9 Sarah Anderson,212-678-2812,,1032119.0,,,,District School,,,,7.0,6.0,10024.0,Contact program,,Upper West Side                                                            ,,,"BxM2, M10, M104, M11, M5, M7, M79, M86-SBS",Partially Accessible,,
